stage,gain,balanced_accuracy
fine,0.07432544468767006,0.537512025012025
coarse,0.0625,0.5361231361231361
fine,0.08838834764831845,0.5216029341029341
coarse,0.125,0.46743626743626737
coarse,0.25,0.3799062049062049
coarse,0.5,0.325571188071188
coarse,1.0,0.3032227032227032
coarse,4.0,0.2908910533910534
coarse,2.0,0.27372534872534876
coarse,8.0,0.2706529581529582
coarse,16.0,0.2630772005772006
