stage,gain,balanced_accuracy
fine,0.07432544468767006,0.46760461760461763
fine,0.08838834764831845,0.46204906204906204
coarse,0.0625,0.4606601731601732
coarse,0.125,0.4551046176046177
coarse,0.25,0.39336219336219336
coarse,0.5,0.3678090428090428
coarse,1.0,0.3399951899951899
coarse,2.0,0.2590788840788841
coarse,4.0,0.2528920153920154
coarse,8.0,0.22911255411255413
coarse,16.0,0.2132034632034632
