method,n_runs,test_BA_mean,test_BA_sd,test_accuracy_mean,test_macro_f1_mean
count_linear,1,0.5562169312169313,,0.5473684210526316,0.548820612365504
stacked_bin_snn,3,0.4691909171075838,0.007038939892375055,0.4596491228070175,0.4578165550703914
