method,seed,split,best_epoch,accuracy,balanced_accuracy,macro_f1,l1_fr,l2_fr,l3_fr,out_fr
count_linear,,train,,1.0,1.0,1.0,,,,
count_linear,,val,,0.7142857142857143,0.7077050264550264,0.7066720517807474,,,,
count_linear,,test,,0.5473684210526316,0.5562169312169313,0.548820612365504,,,,
stacked_bin_snn,11.0,train,144.0,0.9382911392405063,0.9351142276000756,0.9384398282376055,0.01463568965090981,0.06313391576839399,0.12204578254796282,0.04698213343881857
stacked_bin_snn,11.0,val,144.0,0.6031746031746031,0.6003968253968254,0.6031707348665954,0.011254689050099206,0.04872543092757937,0.09748961433531746,0.03943452380952381
stacked_bin_snn,11.0,test,144.0,0.4631578947368421,0.47420634920634924,0.47150697885992005,0.018588096217105263,0.06925498560855263,0.12130705180921053,0.042653508771929825
stacked_bin_snn,23.0,train,159.0,0.9604430379746836,0.9597807427920234,0.961677734689312,0.015440156188192247,0.06281811677956883,0.14665705041040347,0.047814477848101264
stacked_bin_snn,23.0,val,159.0,0.626984126984127,0.6304563492063492,0.6146599801729473,0.01209077380952381,0.05012439546130952,0.11965118892609126,0.041087962962962965
stacked_bin_snn,23.0,test,159.0,0.45263157894736844,0.46114417989417994,0.4481361176949412,0.019964278371710525,0.06609657689144736,0.1436022306743421,0.040515350877192984
stacked_bin_snn,101.0,train,102.0,0.9224683544303798,0.9225076491124954,0.9267643646061247,0.013403397572191455,0.05526231210443038,0.1087045790273932,0.04559763976793249
stacked_bin_snn,101.0,val,102.0,0.5476190476190477,0.5403439153439153,0.5210712808434935,0.009914822048611112,0.040126255580357144,0.08010718936011904,0.04013723544973545
stacked_bin_snn,101.0,test,102.0,0.4631578947368421,0.47222222222222215,0.4538065686563129,0.01742136101973684,0.05929147820723684,0.10219212582236842,0.04396929824561403
