method,architecture,hidden_width,tau_mem_ms,seed,test_balanced_accuracy,test_macro_f1
linear,linear,,,,0.5491064491064491,0.5370805878304427
ff_snn,ff,64.0,1000.0,11.0,0.22813020313020313,0.20313837737437057
ff_snn,ff,64.0,1000.0,23.0,0.2471889221889222,0.22429099737452138
ff_snn,ff,64.0,1000.0,37.0,0.2606657231657232,0.2296594684385382
ff_snn,ff,64.0,1000.0,53.0,0.23879037629037625,0.2173187126848454
ff_snn,ff,64.0,1000.0,71.0,0.30530858030858027,0.27905844155844156
ff_snn,ff,128.0,250.0,11.0,0.2944069819069819,0.2465078062631856
ff_snn,ff,128.0,250.0,23.0,0.23891663891663892,0.21555583047843108
ff_snn,ff,128.0,250.0,37.0,0.2606199356199356,0.22517004820842793
ff_snn,ff,128.0,250.0,53.0,0.20293179043179044,0.17704593619648726
ff_snn,ff,128.0,250.0,71.0,0.2409389221889222,0.22884344361681974
rsnn_snn,rsnn,64.0,1000.0,11.0,0.34509726384726386,0.3439155273689673
rsnn_snn,rsnn,64.0,1000.0,23.0,0.2969461094461095,0.27605698002311246
rsnn_snn,rsnn,64.0,1000.0,37.0,0.3306131368631368,0.33845065295378257
rsnn_snn,rsnn,64.0,1000.0,53.0,0.38259518259518255,0.3920928144710216
rsnn_snn,rsnn,64.0,1000.0,71.0,0.34730477855477854,0.3468449343695144
rsnn_snn,rsnn,128.0,250.0,11.0,0.3327228327228327,0.33514364059906193
rsnn_snn,rsnn,128.0,250.0,23.0,0.3756528194028194,0.38337755067973545
rsnn_snn,rsnn,128.0,250.0,37.0,0.2772352647352648,0.2552318972313713
rsnn_snn,rsnn,128.0,250.0,53.0,0.3686591186591186,0.34503715635809873
rsnn_snn,rsnn,128.0,250.0,71.0,0.39217241092241095,0.3898030656802587
