representation,decoder,split_seed,accel30_test_ba,angular30_test_ba,combined60_test_ba,combined_minus_accel,combined_minus_angular,angular_minus_accel
fixed250,gru,11,0.6261574074074073,0.5655092592592592,0.6881944444444444,0.06203703703703711,0.12268518518518523,-0.06064814814814812
fixed250,gru,23,0.48700396825396813,0.4435515873015874,0.49976851851851856,0.012764550264550423,0.056216931216931165,-0.04345238095238074
fixed250,gru,37,0.5214285714285715,0.5462301587301587,0.6236111111111111,0.10218253968253965,0.07738095238095244,0.024801587301587213
fixed250,gru,53,0.49652777777777773,0.39831349206349204,0.3898809523809524,-0.10664682539682535,-0.008432539682539653,-0.0982142857142857
fixed250,gru,71,0.5773809523809524,0.5641534391534392,0.587797619047619,0.010416666666666519,0.023644179894179773,-0.013227513227513255
fixed250,linear,11,0.6902777777777778,0.6256944444444444,0.725462962962963,0.03518518518518521,0.09976851851851853,-0.06458333333333333
fixed250,linear,23,0.4721891534391534,0.4785714285714286,0.5327050264550265,0.06051587301587308,0.054133597883597895,0.006382275132275184
fixed250,linear,37,0.5658730158730159,0.6055555555555555,0.6492063492063491,0.08333333333333326,0.04365079365079361,0.03968253968253965
fixed250,linear,53,0.4136904761904762,0.5570436507936507,0.4583333333333333,0.044642857142857095,-0.09871031746031739,0.14335317460317448
fixed250,linear,71,0.4778439153439153,0.5892857142857142,0.5044642857142857,0.026620370370370405,-0.08482142857142849,0.1114417989417989
fixed250,local,11,0.7041666666666667,0.6256944444444444,0.7115740740740741,0.007407407407407418,0.0858796296296297,-0.07847222222222228
fixed250,local,23,0.4695436507936508,0.442228835978836,0.5011243386243387,0.031580687830687904,0.058895502645502695,-0.027314814814814792
fixed250,local,37,0.5916666666666667,0.6194444444444445,0.6420634920634921,0.05039682539682544,0.02261904761904765,0.02777777777777779
fixed250,local,53,0.42410714285714285,0.5466269841269841,0.4985119047619047,0.07440476190476186,-0.04811507936507936,0.12251984126984122
fixed250,local,71,0.5241402116402115,0.5892857142857142,0.5044642857142857,-0.01967592592592582,-0.08482142857142849,0.06514550264550267
fixed250,local_transition,11,0.6328703703703703,0.6402777777777778,0.7078703703703703,0.07499999999999996,0.06759259259259243,0.007407407407407529
fixed250,local_transition,23,0.45069444444444445,0.5215939153439154,0.5358465608465609,0.08515211640211645,0.014252645502645489,0.07089947089947096
fixed250,local_transition,37,0.5777777777777778,0.6055555555555555,0.6234126984126984,0.045634920634920584,0.017857142857142905,0.02777777777777768
fixed250,local_transition,53,0.4136904761904762,0.5228174603174603,0.5446428571428571,0.13095238095238088,0.021825396825396748,0.10912698412698413
fixed250,local_transition,71,0.49520502645502645,0.5892857142857142,0.5707671957671957,0.07556216931216925,-0.01851851851851849,0.09408068783068774
fixed250,transition,11,0.7347222222222222,0.6525462962962963,0.7465277777777778,0.011805555555555625,0.09398148148148144,-0.08217592592592582
fixed250,transition,23,0.5143187830687831,0.4452380952380952,0.5374669312169312,0.02314814814814814,0.09222883597883602,-0.06908068783068788
fixed250,transition,37,0.5638888888888889,0.6313492063492063,0.584920634920635,0.021031746031746068,-0.046428571428571375,0.06746031746031744
fixed250,transition,53,0.42410714285714285,0.572420634920635,0.5401785714285715,0.11607142857142866,-0.03224206349206349,0.14831349206349215
fixed250,transition,71,0.5056216931216931,0.5059523809523808,0.5333994708994709,0.02777777777777779,0.02744708994709011,0.0003306878306876815
relative10,gru,11,0.6349537037037037,0.6527777777777778,0.6129629629629628,-0.02199074074074092,-0.03981481481481497,0.017824074074074048
relative10,gru,23,0.41220238095238093,0.604265873015873,0.5460648148148148,0.1338624338624339,-0.05820105820105814,0.19206349206349205
relative10,gru,37,0.5214285714285715,0.6273809523809524,0.6265873015873016,0.10515873015873012,-0.0007936507936507908,0.10595238095238091
relative10,gru,53,0.5133928571428572,0.5069444444444445,0.5287698412698413,0.015376984126984072,0.021825396825396748,-0.0064484126984126755
relative10,gru,71,0.5886243386243386,0.6359126984126983,0.5477843915343915,-0.04083994708994709,-0.08812830687830675,0.04728835978835966
relative10,linear,11,0.800925925925926,0.8277777777777778,0.8537037037037036,0.05277777777777759,0.025925925925925797,0.026851851851851793
relative10,linear,23,0.673015873015873,0.7770502645502645,0.7866402116402117,0.11362433862433874,0.009589947089947204,0.10403439153439153
relative10,linear,37,0.5660714285714284,0.7027777777777778,0.6720238095238095,0.10595238095238102,-0.030753968253968367,0.1367063492063494
relative10,linear,53,0.581845238095238,0.6587301587301587,0.6473214285714285,0.06547619047619047,-0.01140873015873023,0.0768849206349207
relative10,linear,71,0.7161044973544973,0.7982804232804234,0.8263888888888888,0.11028439153439151,0.02810846560846547,0.08217592592592604
relative10,local,11,0.7916666666666666,0.8287037037037037,0.8342592592592593,0.042592592592592626,0.005555555555555536,0.03703703703703709
relative10,local,23,0.6713955026455026,0.7558862433862434,0.7863095238095239,0.11491402116402127,0.030423280423280463,0.08449074074074081
relative10,local,37,0.5660714285714284,0.7027777777777778,0.6672619047619047,0.10119047619047628,-0.03551587301587311,0.1367063492063494
relative10,local,53,0.613095238095238,0.6691468253968255,0.6592261904761905,0.04613095238095244,-0.009920634920634996,0.056051587301587436
relative10,local,71,0.6883267195767196,0.7786044973544975,0.8263888888888888,0.1380621693121692,0.04778439153439129,0.0902777777777779
relative10,local_transition,11,0.7999999999999999,0.8277777777777778,0.8759259259259259,0.07592592592592595,0.04814814814814805,0.0277777777777779
relative10,local_transition,23,0.686904761904762,0.7677910052910053,0.8122354497354497,0.12533068783068768,0.0444444444444444,0.08088624338624328
relative10,local_transition,37,0.5660714285714284,0.7027777777777778,0.6720238095238095,0.10595238095238102,-0.030753968253968367,0.1367063492063494
relative10,local_transition,53,0.6473214285714285,0.6552579365079365,0.6577380952380952,0.01041666666666674,0.0024801587301587213,0.00793650793650802
relative10,local_transition,71,0.7161044973544973,0.7890211640211642,0.8263888888888888,0.11028439153439151,0.03736772486772466,0.07291666666666685
relative10,transition,11,0.800925925925926,0.825925925925926,0.8787037037037039,0.07777777777777783,0.05277777777777792,0.02499999999999991
