representation,decoder,split_seed,accel30_nonlinear_gain,angular30_nonlinear_gain,combined60_nonlinear_gain,combined_gain_minus_angular_gain,combined_gain_minus_accel_gain
fixed250,local,11,0.01388888888888895,0.0,-0.01388888888888884,-0.01388888888888884,-0.02777777777777779
fixed250,transition,11,0.0444444444444444,0.026851851851851904,0.021064814814814814,-0.0057870370370370905,-0.023379629629629584
fixed250,local_transition,11,-0.05740740740740746,0.014583333333333393,-0.017592592592592715,-0.03217592592592611,0.03981481481481475
fixed250,local,23,-0.0026455026455026176,-0.03634259259259259,-0.03158068783068779,0.0047619047619048005,-0.028935185185185175
fixed250,transition,23,0.042129629629629683,-0.03333333333333338,0.004761904761904745,0.038095238095238126,-0.03736772486772494
fixed250,local_transition,23,-0.021494708994708955,0.04302248677248682,0.0031415343915344174,-0.039880952380952406,0.024636243386243373
fixed250,local,37,0.025793650793650813,0.01388888888888895,-0.0071428571428570065,-0.021031746031745957,-0.03293650793650782
fixed250,transition,37,-0.001984126984126977,0.025793650793650813,-0.06428571428571417,-0.09007936507936498,-0.06230158730158719
fixed250,local_transition,37,0.011904761904761973,0.0,-0.025793650793650702,-0.025793650793650702,-0.037698412698412676
fixed250,local,53,0.01041666666666663,-0.01041666666666663,0.0401785714285714,0.050595238095238027,0.029761904761904767
fixed250,transition,53,0.01041666666666663,0.015376984126984294,0.08184523809523819,0.0664682539682539,0.07142857142857156
fixed250,local_transition,53,0.0,-0.034226190476190355,0.08630952380952378,0.12053571428571414,0.08630952380952378
fixed250,local,71,0.046296296296296224,0.0,0.0,0.0,-0.046296296296296224
fixed250,transition,71,0.027777777777777846,-0.08333333333333337,0.02893518518518523,0.1122685185185186,0.0011574074074073848
fixed250,local_transition,71,0.01736111111111116,0.0,0.06630291005291,0.06630291005291,0.04894179894179884
relative10,local,11,-0.009259259259259411,0.0009259259259258856,-0.019444444444444375,-0.02037037037037026,-0.010185185185184964
relative10,transition,11,0.0,-0.0018518518518518823,0.025000000000000244,0.026851851851852127,0.025000000000000244
relative10,local_transition,11,-0.0009259259259261077,0.0,0.022222222222222254,0.022222222222222254,0.023148148148148362
relative10,local,23,-0.0016203703703703276,-0.021164021164021052,-0.0003306878306877925,0.02083333333333326,0.001289682539682535
relative10,transition,23,0.014914021164021185,0.023478835978836043,-0.021164021164021163,-0.044642857142857206,-0.03607804232804235
relative10,local_transition,23,0.013888888888889062,-0.00925925925925919,0.025595238095238004,0.034854497354497194,0.011706349206348943
relative10,local,37,0.0,0.0,-0.004761904761904745,-0.004761904761904745,-0.004761904761904745
relative10,transition,37,0.011904761904761973,0.011904761904761862,0.037698412698412676,0.025793650793650813,0.025793650793650702
relative10,local_transition,37,0.0,0.0,0.0,0.0,0.0
relative10,local,53,0.03125,0.01041666666666674,0.011904761904761973,0.0014880952380952328,-0.019345238095238027
relative10,transition,53,0.07291666666666674,0.01041666666666674,1.1102230246251565e-16,-0.01041666666666663,-0.07291666666666663
relative10,local_transition,53,0.06547619047619047,-0.00347222222222221,0.01041666666666674,0.01388888888888895,-0.055059523809523725
relative10,local,71,-0.02777777777777768,-0.01967592592592582,0.0,0.01967592592592582,0.02777777777777768
relative10,transition,71,0.0,-0.02314814814814814,-0.00925925925925919,0.01388888888888895,-0.00925925925925919
relative10,local_transition,71,0.0,-0.00925925925925919,0.0,0.00925925925925919,0.0
