representation,channel_set,split_seed,linear_test_ba,local_test_ba,transition_test_ba,local_transition_test_ba,gru_test_ba,local_minus_linear,transition_minus_linear,local_transition_minus_linear,gru_minus_linear,transition_minus_local,local_transition_minus_transition,local_transition_minus_local,local_transition_minus_gru
fixed250,accel30,11,0.6902777777777778,0.7041666666666667,0.7347222222222222,0.6328703703703703,0.6261574074074073,0.01388888888888895,0.0444444444444444,-0.05740740740740746,-0.06412037037037044,0.030555555555555447,-0.10185185185185186,-0.07129629629629641,0.006712962962962976
fixed250,accel30,23,0.4721891534391534,0.4695436507936508,0.5143187830687831,0.45069444444444445,0.48700396825396813,-0.0026455026455026176,0.042129629629629683,-0.021494708994708955,0.014814814814814725,0.0447751322751323,-0.06362433862433864,-0.018849206349206338,-0.03630952380952368
fixed250,accel30,37,0.5658730158730159,0.5916666666666667,0.5638888888888889,0.5777777777777778,0.5214285714285715,0.025793650793650813,-0.001984126984126977,0.011904761904761973,-0.0444444444444444,-0.02777777777777779,0.01388888888888895,-0.01388888888888884,0.05634920634920637
fixed250,accel30,53,0.4136904761904762,0.42410714285714285,0.42410714285714285,0.4136904761904762,0.49652777777777773,0.01041666666666663,0.01041666666666663,0.0,0.08283730158730152,0.0,-0.01041666666666663,-0.01041666666666663,-0.08283730158730152
fixed250,accel30,71,0.4778439153439153,0.5241402116402115,0.5056216931216931,0.49520502645502645,0.5773809523809524,0.046296296296296224,0.027777777777777846,0.01736111111111116,0.09953703703703715,-0.01851851851851838,-0.010416666666666685,-0.028935185185185064,-0.08217592592592599
fixed250,angular30,11,0.6256944444444444,0.6256944444444444,0.6525462962962963,0.6402777777777778,0.5655092592592592,0.0,0.026851851851851904,0.014583333333333393,-0.06018518518518523,0.026851851851851904,-0.012268518518518512,0.014583333333333393,0.07476851851851862
fixed250,angular30,23,0.4785714285714286,0.442228835978836,0.4452380952380952,0.5215939153439154,0.4435515873015874,-0.03634259259259259,-0.03333333333333338,0.04302248677248682,-0.0350198412698412,0.0030092592592592116,0.0763558201058202,0.07936507936507942,0.07804232804232802
fixed250,angular30,37,0.6055555555555555,0.6194444444444445,0.6313492063492063,0.6055555555555555,0.5462301587301587,0.01388888888888895,0.025793650793650813,0.0,-0.05932539682539684,0.011904761904761862,-0.025793650793650813,-0.01388888888888895,0.05932539682539684
fixed250,angular30,53,0.5570436507936507,0.5466269841269841,0.572420634920635,0.5228174603174603,0.39831349206349204,-0.01041666666666663,0.015376984126984294,-0.034226190476190355,-0.15873015873015867,0.025793650793650924,-0.04960317460317465,-0.023809523809523725,0.12450396825396831
fixed250,angular30,71,0.5892857142857142,0.5892857142857142,0.5059523809523808,0.5892857142857142,0.5641534391534392,0.0,-0.08333333333333337,0.0,-0.025132275132275006,-0.08333333333333337,0.08333333333333337,0.0,0.025132275132275006
