channel_set,representation,split_seed,eval_split,exp02_linear_ba,exp01_linear_ba,difference,abs_difference
accel30,fixed250,11,val,0.3923611111111111,0.3923611111111111,0.0,0.0
accel30,fixed250,11,test,0.6902777777777778,0.6902777777777778,0.0,0.0
accel30,fixed250,23,val,0.5238095238095238,0.5238095238095238,0.0,0.0
accel30,fixed250,23,test,0.4721891534391534,0.4721891534391534,0.0,0.0
accel30,fixed250,37,val,0.5657407407407408,0.5657407407407408,0.0,0.0
accel30,fixed250,37,test,0.5658730158730159,0.5658730158730159,0.0,0.0
accel30,fixed250,53,val,0.553207671957672,0.553207671957672,0.0,0.0
accel30,fixed250,53,test,0.4136904761904762,0.4136904761904762,0.0,0.0
accel30,fixed250,71,val,0.5914351851851852,0.5914351851851852,0.0,0.0
accel30,fixed250,71,test,0.4778439153439153,0.4778439153439153,0.0,0.0
accel30,relative10,11,val,0.5570436507936508,0.5570436507936508,0.0,0.0
accel30,relative10,11,test,0.800925925925926,0.800925925925926,0.0,0.0
accel30,relative10,23,val,0.6666666666666666,0.6666666666666666,0.0,0.0
accel30,relative10,23,test,0.673015873015873,0.673015873015873,0.0,0.0
accel30,relative10,37,val,0.7208333333333333,0.7208333333333333,0.0,0.0
accel30,relative10,37,test,0.5660714285714284,0.5660714285714284,0.0,0.0
accel30,relative10,53,val,0.7544642857142857,0.7544642857142857,0.0,0.0
accel30,relative10,53,test,0.581845238095238,0.581845238095238,0.0,0.0
accel30,relative10,71,val,0.8043981481481483,0.8043981481481483,0.0,0.0
accel30,relative10,71,test,0.7161044973544973,0.7161044973544973,0.0,0.0
angular30,fixed250,11,val,0.36061507936507936,0.3606150793650793,5.551115123125783e-17,5.551115123125783e-17
angular30,fixed250,11,test,0.6256944444444444,0.6256944444444444,0.0,0.0
angular30,fixed250,23,val,0.5669642857142857,0.5669642857142857,0.0,0.0
angular30,fixed250,23,test,0.4785714285714286,0.4785714285714286,0.0,0.0
angular30,fixed250,37,val,0.5546296296296296,0.5546296296296296,0.0,0.0
angular30,fixed250,37,test,0.6055555555555555,0.6055555555555555,0.0,0.0
angular30,fixed250,53,val,0.5347222222222222,0.5347222222222222,0.0,0.0
angular30,fixed250,53,test,0.5570436507936507,0.5570436507936507,0.0,0.0
angular30,fixed250,71,val,0.5729166666666666,0.5729166666666666,0.0,0.0
angular30,fixed250,71,test,0.5892857142857142,0.5892857142857142,0.0,0.0
angular30,relative10,11,val,0.5664682539682538,0.5664682539682538,0.0,0.0
angular30,relative10,11,test,0.8277777777777778,0.8277777777777778,0.0,0.0
angular30,relative10,23,val,0.7559523809523809,0.7559523809523809,0.0,0.0
angular30,relative10,23,test,0.7770502645502645,0.7770502645502645,0.0,0.0
angular30,relative10,37,val,0.7969907407407408,0.7969907407407408,0.0,0.0
angular30,relative10,37,test,0.7027777777777778,0.7027777777777778,0.0,0.0
angular30,relative10,53,val,0.8257605820105819,0.8257605820105819,0.0,0.0
angular30,relative10,53,test,0.6587301587301587,0.6587301587301587,0.0,0.0
angular30,relative10,71,val,0.7037037037037037,0.7037037037037037,0.0,0.0
angular30,relative10,71,test,0.7982804232804234,0.7982804232804234,0.0,0.0
combined60,fixed250,11,val,0.3968253968253968,0.3968253968253968,0.0,0.0
combined60,fixed250,11,test,0.725462962962963,0.725462962962963,0.0,0.0
combined60,fixed250,23,val,0.6220238095238095,0.6220238095238095,0.0,0.0
combined60,fixed250,23,test,0.5327050264550265,0.5327050264550265,0.0,0.0
combined60,fixed250,37,val,0.6599537037037037,0.6599537037037037,0.0,0.0
combined60,fixed250,37,test,0.6492063492063491,0.6492063492063491,0.0,0.0
combined60,fixed250,53,val,0.5975529100529101,0.5975529100529101,0.0,0.0
combined60,fixed250,53,test,0.4583333333333333,0.4583333333333333,0.0,0.0
combined60,fixed250,71,val,0.6377314814814814,0.6377314814814814,0.0,0.0
combined60,fixed250,71,test,0.5044642857142857,0.5044642857142857,0.0,0.0
combined60,relative10,11,val,0.5520833333333334,0.5520833333333334,0.0,0.0
combined60,relative10,11,test,0.8537037037037036,0.8537037037037036,0.0,0.0
combined60,relative10,23,val,0.775297619047619,0.775297619047619,0.0,0.0
combined60,relative10,23,test,0.7866402116402117,0.7866402116402117,0.0,0.0
combined60,relative10,37,val,0.8416666666666667,0.8416666666666667,0.0,0.0
combined60,relative10,37,test,0.6720238095238095,0.6720238095238095,0.0,0.0
combined60,relative10,53,val,0.7979828042328042,0.7979828042328042,0.0,0.0
combined60,relative10,53,test,0.6473214285714285,0.6473214285714285,0.0,0.0
combined60,relative10,71,val,0.8055555555555557,0.8055555555555557,0.0,0.0
combined60,relative10,71,test,0.8263888888888888,0.8263888888888888,0.0,0.0
