representation,channel_set,decoder,n_splits,mean_test_ba,sd_test_ba,mean_test_accuracy,sd_test_accuracy,mean_test_macro_f1,sd_test_macro_f1,mean_delta_vs_linear,sd_delta_vs_linear,improved_splits
fixed250,accel30,gru,5,0.5416997354497355,0.05884152529044842,0.5412092919674294,0.06591898296375753,0.5258957079673193,0.05601038488418077,0.01772486772486771,0.07332290718708546,3
fixed250,accel30,linear,5,0.5239748677248677,0.10768540372083484,0.5254484993853513,0.101598176446688,0.5184735726169072,0.10455001210591341,0.0,0.0,0
fixed250,accel30,local,5,0.5427248677248677,0.10980641913765533,0.543189699179767,0.10075044893371726,0.5347482150242168,0.10542718877286637,0.01875,0.018434029912630084,4
fixed250,accel30,local_transition,5,0.5140476190476191,0.09030587399781828,0.5149125282612583,0.08344869369058328,0.5104060152658663,0.08658583125320848,-0.009927248677248656,0.030446728656495375,2
fixed250,accel30,transition,5,0.548531746031746,0.11553789055043483,0.5451295013755673,0.11600552412680605,0.5472866924222087,0.11564052919647388,0.024556878306878315,0.020118782371307382,4
fixed250,angular30,gru,5,0.5035515873015873,0.07747234137228323,0.5159449583403395,0.07882313798662084,0.4891236973806633,0.08352599153137,-0.0676785714285714,0.053134494204789544,0
fixed250,angular30,linear,5,0.5712301587301587,0.05757059069974232,0.571701787431721,0.06236077450024664,0.565187952334677,0.054247168334295374,0.0,0.0,0
fixed250,angular30,local,5,0.5646560846560846,0.07524550497241356,0.5656598939796347,0.0776497316857253,0.558898993414913,0.07070145715515001,-0.006574074074074054,0.018748999744696043,1
fixed250,angular30,local_transition,5,0.5759060846560846,0.052368965663261345,0.5790330658886571,0.05251665441346037,0.5653853570475929,0.05191384011528266,0.004675925925925972,0.027954063556970776,2
fixed250,angular30,transition,5,0.5615013227513227,0.08644357760402746,0.5641151248066055,0.08767590283435062,0.5584294409979227,0.07612271271625404,-0.009728835978835948,0.047971580956906755,3
fixed250,combined60,gru,5,0.5578505291005291,0.11597210576950591,0.5657658523209257,0.11354577459411921,0.55026256461665,0.11959044190972695,-0.01618386243386243,0.05798589942148033,1
fixed250,combined60,linear,5,0.5740343915343915,0.11013206433148955,0.5755189503872444,0.10566515586365927,0.5688124627512499,0.1097760105817303,0.0,0.0,0
fixed250,combined60,local,5,0.571547619047619,0.09921406660899725,0.5716111867978988,0.09620960890968767,0.5721517358070056,0.09205124409297838,-0.0024867724867724482,0.026573760091613337,1
fixed250,combined60,local_transition,5,0.5965079365079365,0.07098914103134968,0.5972937556457973,0.06634600079487986,0.5888618376981548,0.06941276810422488,0.022473544973544958,0.050756254878212365,3
fixed250,combined60,transition,5,0.5884986772486773,0.09077581350608363,0.5859943972069555,0.08921766443392869,0.5835764932995045,0.08924928863681106,0.014464285714285763,0.052651840793587416,4
relative10,accel30,gru,5,0.5341203703703703,0.08454695644321186,0.5459750568524487,0.08121793477002773,0.5155255855255854,0.09549806547269919,-0.13347222222222216,0.0857703178390382,0
relative10,accel30,linear,5,0.6675925925925925,0.09723650317584252,0.6730633697542492,0.0942540008331508,0.663731853359495,0.09835032752512438,0.0,0.0,0
relative10,accel30,local,5,0.6661111111111111,0.08529987757688433,0.6696941031493167,0.08452411443476614,0.6647617987036819,0.08617565401179667,-0.0014814814814814836,0.021363245209583045,1
relative10,accel30,local_transition,5,0.6832804232804233,0.08623371295505027,0.6891445177008103,0.08637523617345068,0.6801862588038385,0.087528464023067,0.015687830687830685,0.028505920149209232,2
relative10,accel30,transition,5,0.6875396825396825,0.08177879096833351,0.6939388439419452,0.08158551576028866,0.6841991774297603,0.08192266842005493,0.01994708994708998,0.030379103320708964,3
relative10,angular30,gru,5,0.6054563492063492,0.05777890542136116,0.6041153989856405,0.06168886735321006,0.5945586160796822,0.06475556828466372,-0.14746693121693127,0.04133348934302354,0
relative10,angular30,linear,5,0.7529232804232804,0.0700526465511597,0.7566958273292321,0.07392406838205565,0.7503608152253664,0.06933399542330451,0.0,0.0,0
relative10,angular30,local,5,0.7470238095238095,0.06278937743171506,0.7506423782354386,0.06485488471585353,0.7436929152033811,0.06193366522591308,-0.005899470899470849,0.013878070396041029,2
relative10,angular30,local_transition,5,0.7485251322751323,0.0690718367339222,0.7525063120846609,0.07097633362684126,0.7454354515005343,0.06722154071245377,-0.004398148148148118,0.004658474953124526,0
relative10,angular30,transition,5,0.7570833333333333,0.06419357108084266,0.7618196831999776,0.06701433490738927,0.7566888512991623,0.06276717398777125,0.0041600529100529245,0.017707498103008677,3
relative10,combined60,gru,5,0.5724338624338624,0.04411539638837761,0.5786523346034393,0.03780740937613338,0.5546146254223385,0.05852913667409793,-0.18478174603174602,0.09855275050542302,0
relative10,combined60,linear,5,0.7572156084656084,0.09259464873945294,0.7631184520665364,0.09201559225163339,0.7561134833232357,0.09561661251045313,0.0,0.0,0
relative10,combined60,local,5,0.7546891534391534,0.08548216588137815,0.761774308691243,0.08469204656485126,0.7550206081901127,0.08540965451377636,-0.002526455026454988,0.011299114922876408,1
relative10,combined60,local_transition,5,0.7688624338624338,0.09795335709555204,0.7733690773814635,0.0958103702345213,0.7670467308051775,0.09803060366239605,0.0116468253968254,0.012033366205778745,3
relative10,combined60,transition,5,0.7636706349206349,0.09019603665153371,0.7703058644034604,0.0877591934990006,0.7612381352326499,0.09123387161475684,0.0064550264550265355,0.024348938175851244,3
