channel_set,representation,decoder,decoder_family,split_seed,best_epoch,n_trainable_params,n_time_bins,channel_count,feature_dim,train_ba,val_ba,test_ba,test_accuracy,test_macro_f1,test_delta_vs_linear
accel30,fixed250,gru,standalone_recurrent,11,77.0,6540,16,30,480,0.9121768124245744,0.44940476190476186,0.6261574074074073,0.6330275229357798,0.5997783603652497,-0.06412037037037044
accel30,fixed250,gru,standalone_recurrent,23,106.0,6540,16,30,480,0.9819401444788441,0.5788690476190477,0.48700396825396813,0.4787234042553192,0.4686813315683285,0.014814814814814725
accel30,fixed250,gru,standalone_recurrent,37,125.0,6540,16,30,480,0.9963768115942028,0.5627314814814814,0.5214285714285715,0.5066666666666667,0.5068844410949674,-0.0444444444444444
accel30,fixed250,gru,standalone_recurrent,53,77.0,6540,16,30,480,0.9279403691647938,0.6092592592592593,0.49652777777777773,0.5,0.48551994960663686,0.08283730158730152
accel30,fixed250,gru,standalone_recurrent,71,97.0,6540,16,30,480,0.9797466946351386,0.5949074074074074,0.5773809523809524,0.5876288659793815,0.5686144572014138,0.09953703703703715
accel30,fixed250,linear,linear,11,,5772,16,30,480,1.0,0.3923611111111111,0.6902777777777778,0.6880733944954128,0.6827527262898779,0.0
accel30,fixed250,linear,linear,23,,5772,16,30,480,1.0,0.5238095238095238,0.4721891534391534,0.48936170212765956,0.4782774440859871,0.0
accel30,fixed250,linear,linear,37,,5772,16,30,480,1.0,0.5657407407407408,0.5658730158730159,0.5466666666666666,0.539007289007289,0.0
accel30,fixed250,linear,linear,53,,5772,16,30,480,1.0,0.553207671957672,0.4136904761904762,0.4186046511627907,0.400117310636896,0.0
accel30,fixed250,linear,linear,71,,5772,16,30,480,1.0,0.5914351851851852,0.4778439153439153,0.4845360824742268,0.4922130930644863,0.0
accel30,fixed250,local,frozen_linear_residual,11,19.0,3552,16,30,480,1.0,0.4181547619047619,0.7041666666666667,0.6972477064220184,0.6904513027965039,0.01388888888888895
accel30,fixed250,local,frozen_linear_residual,23,100.0,3552,16,30,480,1.0,0.613095238095238,0.4695436507936508,0.48936170212765956,0.4726511863895766,-0.0026455026455026176
accel30,fixed250,local,frozen_linear_residual,37,28.0,3552,16,30,480,1.0,0.6039351851851852,0.5916666666666667,0.5733333333333334,0.5602510915010915,0.025793650793650813
accel30,fixed250,local,frozen_linear_residual,53,34.0,3552,16,30,480,1.0,0.6014550264550264,0.42410714285714285,0.43023255813953487,0.40955759085891,0.01041666666666663
accel30,fixed250,local,frozen_linear_residual,71,19.0,3552,16,30,480,1.0,0.6261574074074073,0.5241402116402115,0.5257731958762887,0.5408299035750016,0.046296296296296224
accel30,fixed250,local_transition,frozen_linear_residual,11,52.0,7392,16,30,480,1.0,0.4389880952380953,0.6328703703703703,0.6330275229357798,0.6296130469118085,-0.05740740740740746
accel30,fixed250,local_transition,frozen_linear_residual,23,39.0,7392,16,30,480,1.0,0.581845238095238,0.45069444444444445,0.46808510638297873,0.44940455093963866,-0.021494708994708955
accel30,fixed250,local_transition,frozen_linear_residual,37,24.0,7392,16,30,480,1.0,0.6606481481481482,0.5777777777777778,0.56,0.5543576793576794,0.011904761904761973
accel30,fixed250,local_transition,frozen_linear_residual,53,17.0,7392,16,30,480,1.0,0.5689484126984127,0.4136904761904762,0.4186046511627907,0.4097939214357979,0.0
accel30,fixed250,local_transition,frozen_linear_residual,71,16.0,7392,16,30,480,1.0,0.5960648148148148,0.49520502645502645,0.4948453608247423,0.5088608776844071,0.01736111111111116
accel30,fixed250,transition,frozen_linear_residual,11,30.0,3840,16,30,480,1.0,0.4181547619047619,0.7347222222222222,0.7339449541284404,0.7303454937784929,0.0444444444444444
accel30,fixed250,transition,frozen_linear_residual,23,49.0,3840,16,30,480,1.0,0.6339285714285715,0.5143187830687831,0.5212765957446809,0.520576495228198,0.042129629629629683
accel30,fixed250,transition,frozen_linear_residual,37,40.0,3840,16,30,480,1.0,0.6444444444444444,0.5638888888888889,0.5466666666666666,0.5544026636131899,-0.001984126984126977
accel30,fixed250,transition,frozen_linear_residual,53,39.0,3840,16,30,480,1.0,0.6077050264550264,0.42410714285714285,0.4186046511627907,0.4114434176934177,0.01041666666666663
accel30,fixed250,transition,frozen_linear_residual,71,15.0,3840,16,30,480,1.0,0.6273148148148148,0.5056216931216931,0.5051546391752577,0.5196653917977448,0.027777777777777846
angular30,fixed250,gru,standalone_recurrent,11,72.0,6540,16,30,480,0.8367413516790115,0.5689484126984127,0.5655092592592592,0.5779816513761468,0.5621241623873203,-0.06018518518518523
angular30,fixed250,gru,standalone_recurrent,23,63.0,6540,16,30,480,0.8567298761609908,0.6294642857142857,0.4435515873015874,0.4574468085106383,0.432591545091545,-0.0350198412698412
angular30,fixed250,gru,standalone_recurrent,37,80.0,6540,16,30,480,0.9621767001114828,0.5293981481481481,0.5462301587301587,0.56,0.519047619047619,-0.05932539682539684
angular30,fixed250,gru,standalone_recurrent,53,69.0,6540,16,30,480,0.8451243233927647,0.6539351851851852,0.39831349206349204,0.4069767441860465,0.3726273869462724,-0.15873015873015867
angular30,fixed250,gru,standalone_recurrent,71,128.0,6540,16,30,480,0.9876775271512114,0.5694444444444445,0.5641534391534392,0.5773195876288659,0.5592277734305598,-0.025132275132275006
angular30,fixed250,linear,linear,11,,5772,16,30,480,1.0,0.36061507936507936,0.6256944444444444,0.6330275229357798,0.6306068309924934,0.0
angular30,fixed250,linear,linear,23,,5772,16,30,480,1.0,0.5669642857142857,0.4785714285714286,0.46808510638297873,0.48159494945485654,0.0
angular30,fixed250,linear,linear,37,,5772,16,30,480,1.0,0.5546296296296296,0.6055555555555555,0.6,0.5752738604131793,0.0
angular30,fixed250,linear,linear,53,,5772,16,30,480,1.0,0.5347222222222222,0.5570436507936507,0.5697674418604651,0.5556459257117151,0.0
angular30,fixed250,linear,linear,71,,5772,16,30,480,1.0,0.5729166666666666,0.5892857142857142,0.5876288659793815,0.5828181951011403,0.0
angular30,fixed250,local,frozen_linear_residual,11,1.0,3552,16,30,480,1.0,0.36061507936507936,0.6256944444444444,0.6330275229357798,0.6306068309924934,0.0
angular30,fixed250,local,frozen_linear_residual,23,30.0,3552,16,30,480,1.0,0.6101190476190477,0.442228835978836,0.43617021276595747,0.4438690914348809,-0.03634259259259259
angular30,fixed250,local,frozen_linear_residual,37,26.0,3552,16,30,480,1.0,0.5858796296296296,0.6194444444444445,0.6133333333333333,0.5895711858947154,0.01388888888888895
angular30,fixed250,local,frozen_linear_residual,53,30.0,3552,16,30,480,1.0,0.5699074074074074,0.5466269841269841,0.5581395348837209,0.5479019948060195,-0.01041666666666663
angular30,fixed250,local,frozen_linear_residual,71,7.0,3552,16,30,480,1.0,0.5868055555555555,0.5892857142857142,0.5876288659793815,0.5825458639464561,0.0
