cv_mode,rotation,test_fold,val_fold,train_samples,val_samples,test_samples,train_users,val_users,test_users,test_same_user_seen_fraction,test_same_user_class_seen_fraction
within_user,0,0,1,510,174,169.0,20,20,20,1.0,0.9585798816568047
within_user,1,1,2,510,169,174.0,20,20,20,1.0,0.9712643678160919
within_user,2,2,3,513,171,169.0,20,20,20,1.0,0.9704142011834319
within_user,3,3,4,512,170,171.0,20,20,20,1.0,0.9649122807017544
within_user,4,4,0,514,169,170.0,20,20,20,1.0,0.9705882352941176
cross_user,0,0,1,510,169,174.0,12,4,4,0.0,0.0
cross_user,1,1,2,512,172,169.0,12,4,4,0.0,0.0
cross_user,2,2,3,513,168,172.0,12,4,4,0.0,0.0
cross_user,3,3,4,515,170,168.0,12,4,4,0.0,0.0
cross_user,4,4,0,509,174,170.0,12,4,4,0.0,0.0
