cv_mode,cv_fold,n_samples,n_users,n_classes,users
within_user,0,169,20,12,user_0|user_1|user_10|user_11|user_12|user_13|user_14|user_15|user_16|user_18|user_19|user_2|user_20|user_3|user_4|user_5|user_6|user_7|user_8|user_9
within_user,1,174,20,12,user_0|user_1|user_10|user_11|user_12|user_13|user_14|user_15|user_16|user_18|user_19|user_2|user_20|user_3|user_4|user_5|user_6|user_7|user_8|user_9
within_user,2,169,20,12,user_0|user_1|user_10|user_11|user_12|user_13|user_14|user_15|user_16|user_18|user_19|user_2|user_20|user_3|user_4|user_5|user_6|user_7|user_8|user_9
within_user,3,171,20,12,user_0|user_1|user_10|user_11|user_12|user_13|user_14|user_15|user_16|user_18|user_19|user_2|user_20|user_3|user_4|user_5|user_6|user_7|user_8|user_9
within_user,4,170,20,12,user_0|user_1|user_10|user_11|user_12|user_13|user_14|user_15|user_16|user_18|user_19|user_2|user_20|user_3|user_4|user_5|user_6|user_7|user_8|user_9
cross_user,0,174,4,12,user_1|user_15|user_18|user_20
cross_user,1,169,4,12,user_10|user_12|user_2|user_6
cross_user,2,172,4,12,user_13|user_5|user_7|user_8
cross_user,3,168,4,12,user_0|user_14|user_16|user_3
cross_user,4,170,4,12,user_11|user_19|user_4|user_9
