user,cv_fold,n
user_0,0,4
user_0,1,5
user_0,2,5
user_0,3,4
user_0,4,4
user_1,0,12
user_1,1,12
user_1,2,12
user_1,3,12
user_1,4,12
user_10,0,6
user_10,1,6
user_10,2,7
user_10,3,7
user_10,4,7
user_11,0,9
user_11,1,9
user_11,2,9
user_11,3,9
user_11,4,8
user_12,0,8
user_12,1,9
user_12,2,8
user_12,3,9
user_12,4,8
user_13,0,6
user_13,1,6
user_13,2,6
user_13,3,7
user_13,4,7
user_14,0,8
user_14,1,9
user_14,2,8
user_14,3,8
user_14,4,8
user_15,0,8
user_15,1,8
user_15,2,9
user_15,3,9
user_15,4,8
user_16,0,9
user_16,1,8
user_16,2,8
user_16,3,8
user_16,4,9
user_18,0,6
user_18,1,6
user_18,2,6
user_18,3,6
user_18,4,6
user_19,0,9
user_19,1,9
user_19,2,8
user_19,3,8
user_19,4,8
user_2,0,9
user_2,1,9
user_2,2,8
user_2,3,9
user_2,4,9
user_20,0,8
user_20,1,9
user_20,2,8
user_20,3,8
user_20,4,9
user_3,0,13
user_3,1,13
user_3,2,12
user_3,3,12
user_3,4,13
user_4,0,9
user_4,1,9
user_4,2,9
user_4,3,9
user_4,4,8
user_5,0,8
user_5,1,9
user_5,2,8
user_5,3,9
user_5,4,8
user_6,0,10
user_6,1,10
user_6,2,10
user_6,3,10
user_6,4,10
user_7,0,11
user_7,1,11
user_7,2,11
user_7,3,11
user_7,4,11
user_8,0,8
user_8,1,9
user_8,2,9
user_8,3,8
user_8,4,9
user_9,0,8
user_9,1,8
user_9,2,8
user_9,3,8
user_9,4,8
