cv_mode,method,rotation,seed,split,accuracy,balanced_accuracy,macro_f1,objective_loss,n,best_epoch,parameter_count,test_same_user_seen_fraction,test_same_user_class_seen_fraction
within_user,raw250_linear,0,11,train,0.9980392156862745,0.9978632478632479,0.998001998001998,,510,,5760,1.0,0.9585798816568047
within_user,raw250_linear,0,11,val,0.7068965517241379,0.6969925363307716,0.6987138470418155,,174,,5760,1.0,0.9585798816568047
within_user,raw250_linear,0,11,test,0.5621301775147929,0.5483621319341133,0.5413173429580584,,169,,5760,1.0,0.9585798816568047
within_user,raw250_linear,1,23,train,1.0,1.0,1.0,,510,,5760,1.0,0.9712643678160919
within_user,raw250_linear,1,23,val,0.6449704142011834,0.6388071895424836,0.6317687908496732,,169,,5760,1.0,0.9712643678160919
within_user,raw250_linear,1,23,test,0.6954022988505747,0.6810643808805573,0.6791898960143592,,174,,5760,1.0,0.9712643678160919
within_user,raw250_linear,2,37,train,0.9980506822612085,0.9979674796747968,0.9980348638276229,,513,,5760,1.0,0.9704142011834319
within_user,raw250_linear,2,37,val,0.7134502923976608,0.716892666873317,0.7081066964309647,,171,,5760,1.0,0.9704142011834319
within_user,raw250_linear,2,37,test,0.6568047337278107,0.6502421802054156,0.6470404055533366,,169,,5760,1.0,0.9704142011834319
within_user,raw250_linear,3,53,train,0.998046875,0.998015873015873,0.998059654347728,,512,,5760,1.0,0.9649122807017544
within_user,raw250_linear,3,53,val,0.6352941176470588,0.6276486177221471,0.6225079988006933,,170,,5760,1.0,0.9649122807017544
within_user,raw250_linear,3,53,test,0.695906432748538,0.6943591342294902,0.6855644694524984,,171,,5760,1.0,0.9649122807017544
within_user,raw250_linear,4,71,train,1.0,1.0,1.0,,514,,5760,1.0,0.9705882352941176
within_user,raw250_linear,4,71,val,0.5325443786982249,0.5376971841368124,0.5270966669496081,,169,,5760,1.0,0.9705882352941176
within_user,raw250_linear,4,71,test,0.6058823529411764,0.6005129878291643,0.5976238307174929,,170,,5760,1.0,0.9705882352941176
within_user,a2_234x234,0,11,train,0.9098039215686274,0.9122971692971961,0.9120278262958643,0.6145611087481181,510,98.0,21760,1.0,0.9585798816568047
