cv_mode,method,split,user,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,n_mean,n_std
within_user,raw250_linear,train,user_0,1.0,0.0,1.0,0.0,1.0,0.0,13.2,0.8366600265340758
within_user,raw250_linear,train,user_1,1.0,0.0,1.0,0.0,1.0,0.0,36.0,0.0
within_user,raw250_linear,train,user_10,1.0,0.0,1.0,0.0,1.0,0.0,19.8,0.8366600265340756
within_user,raw250_linear,train,user_11,1.0,0.0,1.0,0.0,1.0,0.0,26.4,0.5477225575051664
within_user,raw250_linear,train,user_12,1.0,0.0,1.0,0.0,1.0,0.0,25.2,0.44721359549995815
within_user,raw250_linear,train,user_13,1.0,0.0,1.0,0.0,1.0,0.0,19.2,0.8366600265340759
within_user,raw250_linear,train,user_14,1.0,0.0,1.0,0.0,1.0,0.0,24.6,0.5477225575051664
within_user,raw250_linear,train,user_15,1.0,0.0,1.0,0.0,1.0,0.0,25.2,0.8366600265340757
within_user,raw250_linear,train,user_16,1.0,0.0,1.0,0.0,1.0,0.0,25.2,0.8366600265340753
within_user,raw250_linear,train,user_18,1.0,0.0,1.0,0.0,1.0,0.0,18.0,0.0
within_user,raw250_linear,train,user_19,1.0,0.0,1.0,0.0,1.0,0.0,25.2,0.8366600265340756
within_user,raw250_linear,train,user_2,1.0,0.0,1.0,0.0,1.0,0.0,26.4,0.547722557505166
within_user,raw250_linear,train,user_20,1.0,0.0,1.0,0.0,1.0,0.0,25.2,0.44721359549995815
within_user,raw250_linear,train,user_3,0.9945945945945945,0.012086853932431292,0.9944444444444445,0.012422599874998795,0.9948148148148149,0.011594426549998814,37.8,0.8366600265340751
within_user,raw250_linear,train,user_4,1.0,0.0,1.0,0.0,1.0,0.0,26.4,0.5477225575051664
within_user,raw250_linear,train,user_5,1.0,0.0,1.0,0.0,1.0,0.0,25.2,0.44721359549995815
within_user,raw250_linear,train,user_6,0.9866666666666667,0.018257418583505478,0.9888888888888889,0.015214515486254613,0.9866666666666667,0.018257418583505478,30.0,0.0
within_user,raw250_linear,train,user_7,1.0,0.0,1.0,0.0,1.0,0.0,33.0,0.0
within_user,raw250_linear,train,user_8,1.0,0.0,1.0,0.0,1.0,0.0,25.8,0.44721359549995765
within_user,raw250_linear,train,user_9,1.0,0.0,1.0,0.0,1.0,0.0,24.0,0.0
within_user,raw250_linear,val,user_0,0.55,0.22079402165819617,0.55,0.22079402165819617,0.43047619047619046,0.19548764539257665,4.4,0.5477225575051663
within_user,raw250_linear,val,user_1,0.8333333333333334,0.10206207261596574,0.8272727272727274,0.09315409787236004,0.7727272727272727,0.11833711630161597,12.0,0.0
within_user,raw250_linear,val,user_10,0.6904761904761905,0.35475391489884145,0.6904761904761905,0.35475391489884145,0.6416666666666667,0.39970089125386726,6.6,0.547722557505166
within_user,raw250_linear,val,user_11,0.55,0.21552405268078695,0.55,0.21552405268078695,0.43688888888888877,0.22670503185364912,8.8,0.44721359549995787
within_user,raw250_linear,val,user_12,0.4305555555555555,0.14566789557918772,0.4305555555555555,0.14566789557918772,0.3066666666666666,0.13155709875638089,8.4,0.5477225575051662
within_user,raw250_linear,val,user_13,0.7238095238095238,0.1628822035855911,0.7238095238095238,0.1628822035855911,0.6148148148148148,0.2280171606191057,6.4,0.5477225575051663
within_user,raw250_linear,val,user_14,0.7333333333333333,0.03726779962499654,0.7333333333333333,0.03726779962499654,0.6151851851851852,0.04343767115903158,8.2,0.44721359549995804
within_user,raw250_linear,val,user_15,0.6416666666666667,0.12044157438154886,0.6416666666666667,0.12044157438154886,0.5349999999999999,0.12052767499191828,8.4,0.5477225575051662
within_user,raw250_linear,val,user_16,0.7,0.22321825393298123,0.7,0.22321825393298123,0.63,0.2358200820776532,8.4,0.5477225575051661
within_user,raw250_linear,val,user_18,0.3333333333333333,0.20412414523193156,0.3333333333333333,0.20412414523193156,0.22632275132275126,0.1671936218970264,6.0,0.0
