cv_mode,method,split,class_index,class_label,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,support_mean,support_std
within_user,raw250_linear,train,0,A,1.0,0.0,1.0,0.0,1.0,0.0,39.6,3.2863353450309973
within_user,raw250_linear,train,1,B,1.0,0.0,1.0,0.0,1.0,0.0,42.6,4.615192303685729
within_user,raw250_linear,train,2,C,0.9956521739130434,0.009722034684781718,1.0,0.0,0.9978021978021978,0.004914435115384135,46.8,2.5884358211089573
within_user,raw250_linear,train,3,D,1.0,0.0,0.9903600464576074,0.013201646679101344,0.995121225643314,0.006681364815810402,44.4,3.361547262794322
within_user,raw250_linear,train,4,E,1.0,0.0,1.0,0.0,1.0,0.0,45.6,1.1401754250991383
within_user,raw250_linear,train,5,G,1.0,0.0,1.0,0.0,1.0,0.0,43.2,3.5637059362410928
within_user,raw250_linear,train,6,H,1.0,0.0,1.0,0.0,1.0,0.0,48.0,1.4142135623730943
within_user,raw250_linear,train,7,I,1.0,0.0,1.0,0.0,1.0,0.0,45.6,2.8809720581775875
within_user,raw250_linear,train,8,J,0.9911111111111112,0.012171612389003782,1.0,0.0,0.995505617977528,0.006154186039383899,45.0,2.0
within_user,raw250_linear,train,9,K,1.0,0.0,1.0,0.0,1.0,0.0,47.4,1.8165902124584954
within_user,raw250_linear,train,10,L,1.0,0.0,1.0,0.0,1.0,0.0,27.6,2.073644135332772
within_user,raw250_linear,train,11,X,1.0,0.0,0.9948717948717949,0.01146701526922965,0.9974025974025974,0.005807968772726768,36.0,2.7386127875258297
within_user,raw250_linear,val,0,A,0.6005709976298211,0.15113670938225873,0.5546735617323852,0.10527904637720134,0.5619593130181365,0.059876414171974805,13.2,2.5884358211089573
within_user,raw250_linear,val,1,B,0.6835364635364636,0.11407708719446094,0.6264799253034548,0.1698295223869049,0.644981684981685,0.12220314945126225,14.2,3.1144823004794877
within_user,raw250_linear,val,2,C,0.789782913165266,0.15319390617244227,0.8491251885369533,0.08832103838102022,0.8103501811281697,0.09557644916358658,15.6,1.6733200530681507
within_user,raw250_linear,val,3,D,0.6722902097902098,0.12009150254623932,0.5856550802139038,0.040872910934923665,0.6194623655913978,0.04372458712234495,14.8,2.280350850198276
within_user,raw250_linear,val,4,E,0.7336402387041774,0.16828849207263527,0.7379573367808662,0.17392394964935673,0.7253605015673982,0.12911966562617244,15.2,1.7888543819998317
within_user,raw250_linear,val,5,G,0.6017424242424243,0.11537172425103773,0.6297899159663866,0.19736768273734923,0.6113492063492063,0.14907214920612855,14.4,2.701851217221259
within_user,raw250_linear,val,6,H,0.5968421052631578,0.10453255224235662,0.6102777777777778,0.15749534580620878,0.6016940107262687,0.12681378236151047,16.0,1.2247448713915887
within_user,raw250_linear,val,7,I,0.6289133089133089,0.13415246045166038,0.6910275689223058,0.08089909557079708,0.6467569786535303,0.05017533642681586,15.2,2.1679483388678804
within_user,raw250_linear,val,8,J,0.6285470085470085,0.06951928905620561,0.6940686274509804,0.17466777246583756,0.6553244517319123,0.10818528911638853,15.0,1.8708286933869707
within_user,raw250_linear,val,9,K,0.6295149638802889,0.11051229484424518,0.6375067476383266,0.1337593888827726,0.6255869620575503,0.09954733541092053,15.8,2.16794833886788
within_user,raw250_linear,val,10,L,0.6384615384615384,0.0781946188819329,0.6145221445221445,0.1502318705293979,0.6161798985328397,0.10318659438266665,9.2,3.03315017762062
within_user,raw250_linear,val,11,X,0.5864357864357864,0.14747799489820917,0.49220779220779215,0.08740944763877322,0.5326600458365165,0.10694526204611814,12.0,1.8708286933869707
within_user,raw250_linear,test,0,A,0.5836363636363636,0.1380801061068514,0.48069812540400775,0.14760919479259568,0.5229490968801314,0.13907790925944927,13.2,2.588435821108957
within_user,raw250_linear,test,1,B,0.6953030303030303,0.13176391037084745,0.6358426704014939,0.09727741421357022,0.6565879977722082,0.08025848103416532,14.2,3.1144823004794873
within_user,raw250_linear,test,2,C,0.7383986928104574,0.11444675869150911,0.7329638009049774,0.09089433741272518,0.7286874304783092,0.061106140148273015,15.6,1.6733200530681511
within_user,raw250_linear,test,3,D,0.691978021978022,0.11194749877863255,0.6273663101604278,0.0633927348369406,0.6521379310344828,0.051619920550581046,14.8,2.280350850198276
within_user,raw250_linear,test,4,E,0.6951770451770451,0.08762587379809594,0.7097220426632191,0.12517733864611266,0.7006237006237006,0.099346765826447,15.2,1.7888543819998317
within_user,raw250_linear,test,5,G,0.6438319850084555,0.09201865991263704,0.6485014005602241,0.13611258268018228,0.6425101151571739,0.10298791759911209,14.4,2.701851217221259
within_user,raw250_linear,test,6,H,0.5869821990874622,0.11252389578470404,0.6716666666666666,0.18599861857312575,0.6224987183202193,0.1407335546594488,16.0,1.224744871391589
within_user,raw250_linear,test,7,I,0.5697222222222222,0.08014984038399733,0.6615037593984963,0.19331893005415154,0.5990363068304244,0.10551097499976338,15.2,2.16794833886788
within_user,raw250_linear,test,8,J,0.6073915558126084,0.0994781430231762,0.6523039215686275,0.20349777442159056,0.6208425415803122,0.13055402068835875,15.0,1.8708286933869709
within_user,raw250_linear,test,9,K,0.6927565898154133,0.09701887317886398,0.6912246963562753,0.1494754133742276,0.6848946442769644,0.10575689087002413,15.8,2.1679483388678804
within_user,raw250_linear,test,10,L,0.5961904761904762,0.2704325920595973,0.5920396270396271,0.2608191478747897,0.592063492063492,0.2648701769403289,9.2,3.0331501776206204
within_user,raw250_linear,test,11,X,0.5797619047619047,0.139570323792154,0.5150649350649351,0.17952073524676346,0.5389342922523701,0.1526050808818966,12.0,1.8708286933869709
within_user,a2_234x234,train,0,A,0.7485514485514486,0.2180401021667225,0.6900255841719256,0.3425585770384598,0.7029536392439166,0.2997673549071149,39.6,3.2863353450309973
within_user,a2_234x234,train,1,B,0.7694285872857302,0.25381013935852054,0.8554820709612041,0.10052740390117687,0.8005885966180084,0.19423304479395684,42.6,4.615192303685729
within_user,a2_234x234,train,2,C,0.8723918938204653,0.10881527011760105,0.8750974339669991,0.07416658749882263,0.8733094604139493,0.09095033901824996,46.8,2.5884358211089573
within_user,a2_234x234,train,3,D,0.8176688311688312,0.16849716649611782,0.7430387867001593,0.3160866494032824,0.7467602575739489,0.27480608006659535,44.4,3.361547262794322
within_user,a2_234x234,train,4,E,0.890232683982684,0.12122705257930524,0.8173301002625702,0.18045098337558632,0.8496834165251268,0.15361876452961234,45.6,1.1401754250991383
within_user,a2_234x234,train,5,G,0.7742004347638151,0.24396046711190783,0.813824673029339,0.16541375724768473,0.7880542031807855,0.20360184054946437,43.2,3.5637059362410928
within_user,a2_234x234,train,6,H,0.7089100959532749,0.23726603528686857,0.8390568068115313,0.11435112614378207,0.7616049572823125,0.19122760197577052,48.0,1.4142135623730943
within_user,a2_234x234,train,7,I,0.6900568437410542,0.22959825662707023,0.6210807356094343,0.3479147947983286,0.6385565359659388,0.298573529068107,45.6,2.8809720581775875
within_user,a2_234x234,train,8,J,0.7360477039048468,0.1264867964271283,0.6010727854888623,0.28125847052705516,0.6417211857410814,0.23845317279600026,45.0,2.0
within_user,a2_234x234,train,9,K,0.8215315107174945,0.15718044786184932,0.8042092198581561,0.23810091766329464,0.7989895855765138,0.19513806048845447,47.4,1.8165902124584954
within_user,a2_234x234,train,10,L,0.7488811299248823,0.2895311364792937,0.861118858153341,0.12906610376876732,0.7806919361543316,0.23783991391687953,27.6,2.073644135332772
within_user,a2_234x234,train,11,X,0.862124542124542,0.1762604477509683,0.6422279255831888,0.3722295652806556,0.7035135563847934,0.348128201405636,36.0,2.7386127875258297
within_user,a2_234x234,val,0,A,0.47334434571276673,0.18568109632162302,0.41968325791855204,0.2494619627488328,0.42358244840713277,0.19151798072628723,13.2,2.5884358211089573
within_user,a2_234x234,val,1,B,0.5405859010270775,0.2086016123564001,0.6268557422969188,0.08877376295317294,0.5606508320792166,0.15825921547574714,14.2,3.1144823004794877
within_user,a2_234x234,val,2,C,0.6682539682539682,0.1532259968062003,0.7065837104072398,0.19284633773362975,0.684589947089947,0.16585947399638798,15.6,1.6733200530681507
within_user,a2_234x234,val,3,D,0.533968253968254,0.12610109642875492,0.46506684491978606,0.22796737734563846,0.45030595267476825,0.11609825859037037,14.8,2.280350850198276
within_user,a2_234x234,val,4,E,0.7349386724386724,0.1012456427754314,0.7067183796595561,0.05583620290259978,0.7170121684026022,0.059391776140581,15.2,1.7888543819998317
within_user,a2_234x234,val,5,G,0.566421568627451,0.190395116442739,0.6072268907563025,0.0970608243091097,0.5748680078091842,0.1359242583357611,14.4,2.701851217221259
within_user,a2_234x234,val,6,H,0.454467288983418,0.19139601691306063,0.6580555555555556,0.140354764352847,0.5283129430955518,0.15943589724929197,16.0,1.2247448713915887
within_user,a2_234x234,val,7,I,0.34325396825396826,0.10444501736707823,0.25634085213032576,0.11532885848013787,0.2809351276742581,0.0840332862073208,15.2,2.1679483388678804
within_user,a2_234x234,val,8,J,0.44222222222222224,0.15916448515084428,0.30848039215686274,0.16983539790000762,0.34878306878306875,0.14490323865831348,15.0,1.8708286933869707
within_user,a2_234x234,val,9,K,0.6115312319259687,0.0880743799527431,0.6112921727395412,0.24845193445439362,0.5854396246577173,0.14120406297420734,15.8,2.16794833886788
within_user,a2_234x234,val,10,L,0.548768472906404,0.2848007402164778,0.48674048174048173,0.12930652521615385,0.47623604465709723,0.18279348922778021,9.2,3.03315017762062
