label,train,val,test
A,25,5,5
B,26,5,5
C,29,6,6
D,29,6,5
E,29,6,6
F,27,6,6
G,27,6,6
H,31,6,6
I,27,6,5
J,29,6,6
K,30,6,6
L,20,4,3
M,29,5,5
N,26,6,6
O,28,5,6
P,30,6,6
Q,30,5,5
R,31,6,6
S,18,3,3
T,22,5,4
U,28,6,6
V,28,4,5
W,28,6,6
X,24,4,4
Y,27,6,6
Z,24,6,6
a,27,5,6
b,27,5,4
c,30,4,6
d,29,5,6
e,30,6,6
f,26,6,6
g,27,6,6
h,31,6,6
i,28,6,6
j,27,6,6
k,27,6,6
l,23,4,4
m,29,5,5
n,25,6,6
o,30,5,6
p,30,5,6
q,30,5,5
r,31,6,6
s,23,4,4
t,25,5,3
u,29,6,6
v,27,4,6
w,30,6,6
x,22,4,2
y,26,5,5
z,25,6,6
