label_idx,label,test_samples,intra_cosine_distance
0,A,5,0.03741464316575471
1,B,5,0.08694597948683302
2,C,6,0.07059104030558605
3,D,5,0.06280743883691609
4,E,6,0.06176244250170959
5,F,6,0.0751931275163038
6,G,6,0.044518072171878975
7,H,6,0.03906649716766475
8,I,5,0.03749677749493385
9,J,6,0.10692611073855973
10,K,6,0.05735578110342421
11,L,3,0.03529662210948814
12,M,5,0.0325860112450187
13,N,6,0.08526725183131034
14,O,6,0.0849695696751247
15,P,6,0.05759731486406705
16,Q,5,0.047686968110466466
17,R,6,0.06387230914213426
18,S,3,0.03317867905604055
19,T,4,0.06373361405008626
20,U,6,0.14746572756202325
21,V,5,0.07438013135808741
22,W,6,0.03835062724995786
23,X,4,0.10536984163806695
24,Y,6,0.03673841887435547
25,Z,6,0.0498768642113786
26,a,6,0.05078754128086682
27,b,4,0.05944512177827077
28,c,6,0.0526339352866666
29,d,6,0.06179704683919052
30,e,6,0.08939967783748037
31,f,6,0.05425196186399672
32,g,6,0.043477759276856376
33,h,6,0.09481757989001693
34,i,6,0.09457945267252654
35,j,6,0.08666588420440202
36,k,6,0.055339996848639106
37,l,4,0.1318600397760984
38,m,5,0.12507011014331293
39,n,6,0.056787121126661066
40,o,6,0.04097491403088893
41,p,6,0.04979803016949136
42,q,5,0.05650301114030343
43,r,6,0.12192371009426684
44,s,4,0.1615717125558772
45,t,3,0.026148023827005873
46,u,6,0.04696448138999609
47,v,6,0.06353454424524563
48,w,6,0.05888797876284191
49,x,2,0.07582035395934827
50,y,5,0.06843652106101017
51,z,6,0.03522475993021834
