representation,dimension,train_ba,val_ba,test_ba,test_accuracy,test_macro_f1
r0_direct_l2,128,0.9312395565165112,0.5579184704184704,0.5758297258297258,0.5958904109589042,0.5647219342648474
r0a_integrated_128d,128,0.9312395565165112,0.5579184704184704,0.5758297258297258,0.5958904109589042,0.5647219342648474
r0b_analog_k,128,0.935454157070454,0.5406144781144782,0.5191849816849816,0.5342465753424658,0.5123571526512704
r1_raw_what,128,1.0,0.5405242905242905,0.5680666555666555,0.5753424657534246,0.5589994471005821
r1_norm_what,128,1.0,0.5511664261664262,0.5695547508047508,0.5821917808219178,0.5603351625492993
r2_mh_qraw,128,0.9745299473828856,0.5270562770562771,0.5569576257076257,0.5684931506849316,0.5398240696208964
r2_mh_qnorm,128,0.9983974358974358,0.5210377585377585,0.5355311355311355,0.541095890410959,0.5134419546264176
r2_ms_qraw,128,0.9761639343109901,0.5207431457431457,0.5553342490842491,0.5684931506849316,0.5386054686054685
r2_ms_qnorm,128,0.9983974358974358,0.514093314093314,0.5201541514041514,0.5273972602739726,0.49366756224972336
r2_mh_qraw_hard,128,0.9967948717948718,0.400012025012025,0.38362817737817734,0.3972602739726027,0.36490869663187087
r2_mh_qnorm_hard,128,0.9967948717948718,0.400012025012025,0.38362817737817734,0.3972602739726027,0.36490869663187087
r2_ms_qraw_hard,128,0.9761804645192501,0.40695045695045695,0.38241272616272615,0.3972602739726027,0.3667263661592155
r2_ms_qnorm_hard,128,0.9761804645192501,0.40695045695045695,0.38241272616272615,0.3972602739726027,0.3667263661592155
