representation,dimension,train_ba,val_ba,test_ba,test_accuracy,test_macro_f1
r0_direct_l2,128,0.8985211802679326,0.5597342472342473,0.5878697691197691,0.6027397260273972,0.5918189327859674
r0a_integrated_128d,128,0.9900386164786831,0.5583754208754209,0.5390873015873016,0.547945205479452,0.5277767784642319
r0b_analog_k,32,0.9678040503794744,0.566552429052429,0.5251103063603063,0.5342465753424658,0.5228795659678013
r1_raw_what,32,0.9445597654704172,0.5471079846079846,0.5150523088023087,0.5205479452054794,0.5031444727013613
r1_norm_what,32,0.9051748128477167,0.5122895622895622,0.4581730769230769,0.4589041095890411,0.44980483711891045
r2_mh_qraw,32,0.8701675709776325,0.5703823953823954,0.5567189754689753,0.5684931506849316,0.5553025875626495
r2_mh_qnorm,32,0.9166598700329666,0.556403318903319,0.5080107392607393,0.5136986301369864,0.5007379560011139
r2_ms_qraw,32,0.9283418193875064,0.5583814333814333,0.5469717782217781,0.5547945205479452,0.5396812291973583
r2_ms_qnorm,32,0.9247706586154533,0.5587181337181338,0.5222964535464535,0.5273972602739726,0.5157482802833503
r2_mh_qraw_hard,32,0.6557772766658428,0.4484968734968735,0.40266677766677766,0.410958904109589,0.3928010965364868
r2_mh_qnorm_hard,32,0.6557772766658428,0.4484968734968735,0.40266677766677766,0.410958904109589,0.3928010965364868
r2_ms_qraw_hard,32,0.7361113365980941,0.449392736892737,0.405581918081918,0.410958904109589,0.3980000023831629
r2_ms_qnorm_hard,32,0.7361113365980941,0.449392736892737,0.405581918081918,0.410958904109589,0.3980000023831629
