representation,dimension,train_ba,val_ba,test_ba,test_accuracy,test_macro_f1
r0_direct_l2,128,0.9312395565165112,0.5579184704184704,0.5758297258297258,0.5958904109589042,0.5647219342648474
r0a_integrated_128d,128,0.9524424209606818,0.5180615680615681,0.5161477411477411,0.5273972602739726,0.5037371394492463
r0b_analog_k,16,0.9586117388238612,0.5001743626743627,0.4378399378399378,0.4520547945205479,0.4269871505603912
r1_raw_what,16,0.894237537729066,0.5167087542087542,0.44792082917082915,0.4589041095890411,0.43460098783325335
r1_norm_what,16,0.8879702467386478,0.4862854737854738,0.43102869352869355,0.4383561643835616,0.42343414660550205
r2_mh_qraw,16,0.9207557379307704,0.5663780663780663,0.5023580586080586,0.5205479452054794,0.49356299621030475
r2_mh_qnorm,16,0.9405455357393914,0.5077501202501203,0.4749791874791874,0.4863013698630137,0.45497779373311364
r2_ms_qraw,16,0.9225168127310609,0.5532467532467532,0.49101245976245966,0.5136986301369864,0.4814512166974618
r2_ms_qnorm,16,0.9357984545707416,0.5063612313612313,0.4794434731934732,0.4863013698630137,0.45996985750822056
r2_mh_qraw_hard,16,0.614795620859612,0.39779341029341037,0.3957743645243645,0.4041095890410959,0.38966145374544886
r2_mh_qnorm_hard,16,0.614795620859612,0.39779341029341037,0.3957743645243645,0.4041095890410959,0.38966145374544886
r2_ms_qraw_hard,16,0.7104785496151943,0.38760221260221267,0.3801628926628926,0.3904109589041096,0.3598111385182324
r2_ms_qnorm_hard,16,0.7104785496151943,0.38760221260221267,0.3801628926628926,0.3904109589041096,0.3598111385182324
