representation,dimension,train_ba,val_ba,test_ba,test_accuracy,test_macro_f1
r0_direct_l2,128,0.8985211802679326,0.5597342472342473,0.5878697691197691,0.6027397260273972,0.5918189327859674
r0a_integrated_128d,128,0.8985211802679326,0.5597342472342473,0.5878697691197691,0.6027397260273972,0.5918189327859674
r0b_analog_k,64,0.9354227916844869,0.5693241943241943,0.5818944943944944,0.589041095890411,0.5884574757123776
r1_raw_what,64,0.9890449713567993,0.5810726310726311,0.5709054834054833,0.5753424657534246,0.5742485122929768
r1_norm_what,64,1.0,0.5526936026936027,0.5560266122766122,0.5684931506849316,0.5557431331425139
r2_mh_qraw,64,0.9407823544048973,0.5540464165464166,0.5894702519702519,0.5958904109589042,0.5939388936660889
r2_mh_qnorm,64,0.9932449304508127,0.5730699855699855,0.5442002442002442,0.5547945205479452,0.5363387849476269
r2_ms_qraw,64,0.9418365395198035,0.5421416546416546,0.5894702519702519,0.5958904109589042,0.5939388936660889
r2_ms_qnorm,64,0.9932449304508127,0.5730699855699855,0.5397359584859585,0.5547945205479452,0.5343894431900358
r2_mh_qraw_hard,64,0.9600750669563101,0.44663299663299666,0.4111395548895549,0.4178082191780822,0.4142509789061513
r2_mh_qnorm_hard,64,0.9600750669563101,0.44663299663299666,0.4111395548895549,0.4178082191780822,0.4142509789061513
r2_ms_qraw_hard,64,0.9584410800282055,0.4403198653198652,0.40164072039072035,0.410958904109589,0.40012466738551283
r2_ms_qnorm_hard,64,0.9584410800282055,0.4403198653198652,0.40164072039072035,0.410958904109589,0.40012466738551283
