representation,dimension,train_ba,val_ba,test_ba,test_accuracy,test_macro_f1
r0_direct_l2,128,0.9312395565165112,0.5579184704184704,0.5758297258297258,0.5958904109589042,0.5647219342648474
r0a_integrated_128d,128,0.9312395565165112,0.5579184704184704,0.5758297258297258,0.5958904109589042,0.5647219342648474
r0b_analog_k,64,0.9874109844286947,0.5490259740259741,0.5184045121545121,0.5273972602739726,0.49888742939464503
r1_raw_what,64,1.0,0.5911556036556037,0.5607905982905982,0.5684931506849316,0.5466558973217989
r1_norm_what,64,0.9967320261437909,0.5366582491582491,0.5368548118548119,0.541095890410959,0.5266394254634886
r2_mh_qraw,64,0.9842058562235666,0.6044131794131794,0.5087454212454212,0.5205479452054794,0.495393384354148
r2_mh_qnorm,64,0.9857769975005901,0.5241161616161616,0.5259802697302697,0.5342465753424658,0.5137959077089512
r2_ms_qraw,64,0.9858084203261308,0.6113576238576239,0.5087454212454212,0.5205479452054794,0.494666680502444
r2_ms_qnorm,64,0.9483558310734059,0.5296717171717171,0.5438374125874126,0.5547945205479452,0.5272802665809103
r2_mh_qraw_hard,64,0.9771189821007153,0.4074134199134199,0.43813131313131315,0.4452054794520548,0.4186667385309151
r2_mh_qnorm_hard,64,0.9771189821007153,0.4074134199134199,0.43813131313131315,0.4452054794520548,0.4186667385309151
r2_ms_qraw_hard,64,0.9833825986584497,0.3981541606541607,0.4305555555555555,0.4383561643835616,0.4123367372825835
r2_ms_qnorm_hard,64,0.9833825986584497,0.3981541606541607,0.4305555555555555,0.4383561643835616,0.4123367372825835
