representation,dimension,train_ba,val_ba,test_ba,test_accuracy,test_macro_f1
r0_direct_l2,128,0.8985211802679326,0.5597342472342473,0.5878697691197691,0.6027397260273972,0.5918189327859674
r0a_integrated_128d,128,0.9900386164786831,0.5583754208754209,0.5390873015873016,0.547945205479452,0.5277767784642319
r0b_analog_k,128,0.9823213957791728,0.5465067340067341,0.5462031024531023,0.5547945205479452,0.5444697907647161
r1_raw_what,128,0.9889844313637767,0.5540885040885041,0.5600559163059162,0.5753424657534246,0.5654789034994142
r1_norm_what,128,0.9647756738786121,0.474549062049062,0.4889270451770451,0.4931506849315068,0.4921260696408416
r2_mh_qraw,128,0.9292664501073618,0.5416786916786916,0.5875450937950937,0.5958904109589042,0.5828384903052491
r2_mh_qnorm,128,0.9382153203612633,0.5728655603655602,0.5775883838383838,0.589041095890411,0.5719054421569277
r2_ms_qraw,128,0.9292664501073618,0.5416786916786916,0.5875450937950937,0.5958904109589042,0.5828384903052491
r2_ms_qnorm,128,0.9382153203612633,0.5728655603655602,0.5716360028860029,0.5821917808219178,0.5666551369066225
r2_mh_qraw_hard,128,0.780771606489544,0.2778138528138528,0.3184197746697746,0.3219178082191781,0.3345759795759795
r2_mh_qnorm_hard,128,0.780771606489544,0.2778138528138528,0.3184197746697746,0.3219178082191781,0.3345759795759795
r2_ms_qraw_hard,128,0.7785475905078528,0.2569805194805195,0.3184197746697746,0.3219178082191781,0.3338163673244319
r2_ms_qnorm_hard,128,0.7785475905078528,0.2569805194805195,0.3184197746697746,0.3219178082191781,0.3338163673244319
