representation,dimension,train_ba,val_ba,test_ba,test_accuracy,test_macro_f1
r0_direct_l2,128,0.9142970468060572,0.5677308802308801,0.5951208513708514,0.6027397260273972,0.5886323296910186
r0a_integrated_128d,128,0.9142970468060572,0.5677308802308801,0.5951208513708514,0.6027397260273972,0.5886323296910186
r0b_analog_k,64,0.9442837176374436,0.5592712842712843,0.5573253135753136,0.5616438356164384,0.5460845648341035
r1_raw_what,64,0.9610833713671286,0.5593073593073593,0.5342983405483405,0.541095890410959,0.5241432764754709
r1_norm_what,64,0.9924679644856749,0.5477272727272727,0.5386273448773449,0.547945205479452,0.5274638244452485
r2_mh_qraw,64,0.9791476903995848,0.5606601731601731,0.5242667055167055,0.5273972602739726,0.5102178698540928
r2_mh_qnorm,64,0.9407545996369496,0.5512265512265512,0.558317377067377,0.5616438356164384,0.549639126883709
r2_ms_qraw,64,0.9791476903995848,0.5444564694564694,0.524724580974581,0.5273972602739726,0.5039616659181877
r2_ms_qnorm,64,0.9434427716799604,0.5373376623376623,0.5523649961149961,0.5547945205479452,0.5426260541236073
r2_mh_qraw_hard,64,0.7822447605503767,0.44993987493987503,0.49176101676101674,0.4931506849315068,0.4813453936650031
r2_mh_qnorm_hard,64,0.7822447605503767,0.44993987493987503,0.49176101676101674,0.4931506849315068,0.4813453936650031
r2_ms_qraw_hard,64,0.7866192019223672,0.42910654160654166,0.4841852591852592,0.4863013698630137,0.47671941249103433
r2_ms_qnorm_hard,64,0.7866192019223672,0.42910654160654166,0.4841852591852592,0.4863013698630137,0.47671941249103433
