epoch,target_grad_ratio,calibration_ratio_median,kappa,warmup_scale,regularizer_multiplier,effective_lambda_p2,effective_lambda_a1,train_task_loss,train_p2,train_a1,train_base_regularizer,train_weighted_regularizer,train_total_loss,train_weighted_reg_to_task_loss_ratio,val_wholecount_ba,val_wholecount_loss,val_objective_loss,last_progress_epoch,epochs_since_progress,early_stop_triggered,first_batch_task_hidden_grad_norm,first_batch_base_reg_hidden_grad_norm,first_batch_base_reg_to_task_hidden_grad_ratio,first_batch_effective_reg_to_task_hidden_grad_ratio,first_batch_task_reg_hidden_grad_cosine,train_p2_hidden_1,train_p2_hidden_2
1,0.2,0.022794675517044782,8.773978811431181,0.1,0.8773978811431182,0.008773978811431183,0.08773978811431182,2.483598182205489,8.822169595998319e-05,0.0011062521592468638,0.00011150743478455095,9.783638793569965e-05,2.483696067189596,3.939300191016359e-05,0.08333333333333333,2.4849069118499756,2.4849069118499756,1,0,False,0.0030730102278525486,6.52937614811095e-05,0.021247492406407466,0.018642504816986406,0.11693519579848594,0.00015943017118492624,1.701322034995289e-05
2,0.2,0.022794675517044782,8.773978811431181,0.2,1.7547957622862365,0.017547957622862365,0.17547957622862365,2.4786149413162994,9.004968323098839e-05,0.0009083142562203507,9.173192128042367e-05,0.0001609707869459689,2.478775927614222,6.494384596119773e-05,0.08333333333333333,2.4849069118499756,2.4849069118499756,1,1,False,,,,,,0.00016523237817435047,1.4866986383322861e-05
3,0.2,0.022794675517044782,8.773978811431181,0.3,2.6321936434293542,0.026321936434293543,0.2632193643429354,2.476158555731716,9.62184512368187e-05,0.0008745281037388821,8.841499690198469e-05,0.00023272538644509316,2.476391293300819,9.398646379343902e-05,0.08333333333333333,2.4849069118499756,2.4849069118499756,1,2,False,,,,,,0.00017763089715513576,1.4806005957182945e-05
4,0.2,0.022794675517044782,8.773978811431181,0.4,3.509591524572473,0.03509591524572473,0.3509591524572473,2.4740376074424915,0.00010570029845281317,0.0008764198990041797,8.86989936950695e-05,0.00031129723910094844,2.474348873772022,0.00012582558897427127,0.08333333333333333,2.4849069118499756,2.4849069118499756,1,3,False,,,,,,0.00019704131191622837,1.4359285490324468e-05
5,0.2,0.022794675517044782,8.773978811431181,0.5,4.386989405715591,0.043869894057155905,0.4386989405715591,2.4718942424721644,0.00011863794242440228,0.0008307835262504417,8.42647324586704e-05,0.00036966850171218305,2.472263892628445,0.00014954867217234754,0.08333333333333333,2.4849069118499756,2.4849069118499756,1,4,False,0.0008134520251455847,3.886808871323379e-05,0.047781660763924594,0.2096176395588335,-0.16112834615366636,0.0002234231891221144,1.3852690562450871e-05
6,0.2,0.022794675517044782,8.773978811431181,0.6,5.2643872868587085,0.052643872868587085,0.5264387286858708,2.470080312476101,0.0001353339903038989,0.0007687296620978879,7.822630798629294e-05,0.0004118135701480246,2.470492150820471,0.00016672072080733575,0.08333333333333333,2.4849069118499756,2.4849069118499756,1,5,False,,,,,,0.00025760974143327193,1.3058236284806031e-05
7,0.2,0.022794675517044782,8.773978811431181,0.7,6.141785168001826,0.061417851680018266,0.6141785168001827,2.468857890767608,0.00015562758852648366,0.0007228272483746638,7.383900107788811e-05,0.000453503290271441,2.469311423227832,0.0001836895075926948,0.08333333333333333,2.4849069118499756,2.4849069118499756,1,6,False,,,,,,0.00029892540760634854,1.2329776096418212e-05
8,0.2,0.022794675517044782,8.773978811431181,0.8,7.019183049144946,0.07019183049144946,0.7019183049144946,2.468076174928071,0.000180107024851938,0.0007002356875144433,7.182463954522221e-05,0.0005041502989995295,2.468580336661019,0.00020426853276286027,0.08333333333333333,2.4849069118499756,2.4849069118499756,1,7,False,,,,,,0.0003482035362532782,1.2010507808912869e-05
9,0.2,0.022794675517044782,8.773978811431181,0.9,7.896580930288064,0.07896580930288064,0.7896580930288064,2.4665775130825076,0.0002074411941677005,0.0007068026912472373,7.275468256567378e-05,0.0005745132156790406,2.467152032097112,0.0002329191815914455,0.08333333333333333,2.4849069118499756,2.4849069118499756,1,8,False,,,,,,0.00040265790567726935,1.2224480661469851e-05
10,0.2,0.022794675517044782,8.773978811431181,1.0,8.773978811431181,0.08773978811431181,0.8773978811431182,2.463596962815513,0.00023487194143908928,0.0006995357562713294,7.230229365821526e-05,0.0006343788274891655,2.464231345001063,0.0002575010592496298,0.08333333333333333,2.4849069118499756,2.4849069118499756,1,9,False,0.0012194286796515543,3.153074925327949e-05,0.02585698514347657,0.22686863977635427,-0.4124935791427379,0.0004577816314430244,1.1962258672759627e-05
11,0.2,0.022794675517044782,8.773978811431181,1.0,8.773978811431181,0.08773978811431181,0.8773978811431182,2.4638100839933306,0.0002619186546008316,0.0006487919696928892,6.749838423287446e-05,0.0005922294143172985,2.464402303843408,0.0002403713736561286,0.08333333333333333,2.4849069118499756,2.4849069118499756,1,10,False,,,,,,0.0005127836654777037,1.1053648143853194e-05
12,0.2,0.022794675517044782,8.773978811431181,1.0,8.773978811431181,0.08773978811431181,0.8773978811431182,2.4628168506589487,0.0002878126401270671,0.0006061878379233175,6.349691131317318e-05,0.0005571205814055644,2.463373953216868,0.00022621275360224278,0.08333333333333333,2.4849069118499756,2.4849069118499756,1,11,False,,,,,,0.0005652012628873428,1.0424021490042663e-05
13,0.2,0.022794675517044782,8.773978811431181,1.0,8.773978811431181,0.08773978811431181,0.8773978811431182,2.4612458187208324,0.00031031101633291274,0.0005857805734886604,6.168116950387899e-05,0.0005411892965946526,2.4617870473615477,0.00021988429293743662,0.08333333333333333,2.4849069118499756,2.4849069118499756,1,12,False,,,,,,0.0006106706049009555,9.951422892576963e-06
14,0.2,0.022794675517044782,8.773978811431181,1.0,8.773978811431181,0.08773978811431181,0.8773978811431182,2.4608866770378284,0.00033063281714401676,0.0005672505140331014,6.00313809292556e-05,0.0005267140934529927,2.4614134520138395,0.000214034274055642,0.08333333333333333,2.4849069118499756,2.4849069118499756,1,13,False,,,,,,0.000651901295703552,9.364331684218762e-06
15,0.2,0.022794675517044782,8.773978811431181,1.0,8.773978811431181,0.08773978811431181,0.8773978811431182,2.4599575290581446,0.0003485714450876089,0.0005547111846844019,5.895683400933238e-05,0.0005172860349621464,2.460474811199405,0.00021028250644644346,0.08333333333333333,2.4849069118499756,2.4849069118499756,1,14,False,,,,,,0.0006881967444804765,8.94616391163844e-06
16,0.2,0.022794675517044782,8.773978811431181,1.0,8.773978811431181,0.08773978811431181,0.8773978811431182,2.459310905042901,0.0003640620715065784,0.0005448552481902253,5.812614636287124e-05,0.0005099975918297433,2.4598209160330375,0.00020737418387564412,0.08333333333333333,2.4849069118499756,2.4849069118499756,1,15,False,,,,,,0.0007194387354798256,8.685409106553526e-06
17,0.2,0.022794675517044782,8.773978811431181,1.0,8.773978811431181,0.08773978811431181,0.8773978811431182,2.458820132093052,0.00037801983839793777,0.000548381653606127,5.861836566564526e-05,0.0005143163219672747,2.459334434207253,0.00020917199890073572,0.08333333333333333,2.4849069118499756,2.4849069118499756,1,16,False,,,,,,0.0007472829390301172,8.756744397751406e-06
18,0.2,0.022794675517044782,8.773978811431181,1.0,8.773978811431181,0.08773978811431181,0.8773978811431182,2.4575691756611233,0.00039050463348003537,0.0005669760618562427,6.060265603492505e-05,0.0005317264476052859,2.458100858120418,0.0002163627591326065,0.08333333333333333,2.4849069118499756,2.4849069118499756,1,17,False,,,,,,0.0007719926851867296,9.016593541983449e-06
19,0.2,0.022794675517044782,8.773978811431181,1.0,8.773978811431181,0.08773978811431181,0.8773978811431182,2.4560768616589335,0.00040131583548368957,0.0005572154645514699,5.973470717636073e-05,0.0005241110748587346,2.4566010017198048,0.00021339359652805363,0.08333333333333333,2.4849069118499756,2.4849069118499756,1,18,False,,,,,,0.0007935084452453468,9.123228826994032e-06
20,0.2,0.022794675517044782,8.773978811431181,1.0,8.773978811431181,0.08773978811431181,0.8773978811431182,2.4543579470064882,0.0004103198291240148,0.0005715464398542598,6.125784345421913e-05,0.0005374750428844689,2.454895462308611,0.00021898804269361452,0.08333333333333333,2.4849069118499756,2.4849069118499756,1,19,False,0.0009999382044792629,2.260115571666727e-05,0.0226025524531661,0.19831431630834123,-0.5932767428329697,0.0008113454168152686,9.294243694757246e-06
21,0.2,0.022794675517044782,8.773978811431181,1.0,8.773978811431181,0.08773978811431181,0.8773978811431182,2.4521994287093616,0.0004181723918772997,0.0005861332587154002,6.279505047608142e-05,0.0005509624697597418,2.4527504497468984,0.00022468093879694103,0.08333333333333333,2.4849069118499756,2.4849069118499756,1,20,False,,,,,,0.0008268508805273014,9.493896990762815e-06
22,0.2,0.022794675517044782,8.773978811431181,1.0,8.773978811431181,0.08773978811431181,0.8773978811431182,2.4505715998027493,0.0004246190651468195,0.0006144616492180773,6.569235600231948e-05,0.0005763833689653248,2.451148013855217,0.0002352036435139128,0.08333333333333333,2.4849069118499756,2.4849069118499756,1,21,False,,,,,,0.0008392814469079707,9.956690409597352e-06
23,0.2,0.022794675517044782,8.773978811431181,1.0,8.773978811431181,0.08773978811431181,0.8773978811431182,2.448380747268204,0.00043065531825303726,0.0006763260958238589,7.193916221014015e-05,0.0006311927147787914,2.4490119339882197,0.00025780006458678804,0.08333333333333333,2.4849069118499756,2.4849069118499756,1,22,False,,,,,,0.0008502715392873371,1.1039105041017985e-05
