epoch,target_grad_ratio,calibration_ratio_median,kappa,warmup_scale,regularizer_multiplier,effective_lambda_p2,effective_lambda_a1,train_task_loss,train_p2,train_a1,train_base_regularizer,train_weighted_regularizer,train_total_loss,train_weighted_reg_to_task_loss_ratio,val_wholecount_ba,val_wholecount_loss,val_objective_loss,last_progress_epoch,epochs_since_progress,early_stop_triggered,first_batch_task_hidden_grad_norm,first_batch_base_reg_hidden_grad_norm,first_batch_base_reg_to_task_hidden_grad_ratio,first_batch_effective_reg_to_task_hidden_grad_ratio,first_batch_task_reg_hidden_grad_cosine,train_p2_hidden_1,train_p2_hidden_2
1,0.05,0.013499599178175326,3.703813671804014,0.1,0.37038136718040143,0.0037038136718040146,0.03703813671804015,2.8994943180511004,0.0013111168977511139,0.08353815195687667,0.008366926860147622,0.003098953708849219,2.9025932827422625,0.001068791095590829,0.07142857142857142,2.486032009124756,2.4921727180480957,1,0,False,0.29440757176243026,0.0038366632883397706,0.013031809152774555,0.004826739290838709,0.20811545570253967,0.00014362560397594294,0.0024786081242017615
2,0.05,0.013499599178175326,3.703813671804014,0.2,0.7407627343608029,0.007407627343608029,0.0740762734360803,2.4905479746308057,0.0011684111252959286,0.07554728726306593,0.007566413006996944,0.005604916489434632,2.496152849903205,0.0022504752153049753,0.08333333333333333,2.4851958751678467,2.4864962100982666,2,0,False,,,,,,0.00014535197822846755,0.0021914702592892073
3,0.05,0.013499599178175326,3.703813671804014,0.3,1.1111441015412042,0.011111441015412043,0.11111441015412044,2.4862332179911575,0.001092614773532661,0.07055434644889093,0.007066360938486205,0.007851745136620769,2.4940849056342382,0.0031580887423605705,0.08333333333333333,2.4851527214050293,2.4864964485168457,2,1,False,,,,,,0.00014842833708807434,0.0020368011991321886
4,0.05,0.013499599178175326,3.703813671804014,0.4,1.4815254687216057,0.014815254687216058,0.1481525468721606,2.4851574540753782,0.0010065436127784752,0.06616404768008989,0.006626470415194145,0.009817284552729889,2.494974705930831,0.003950367223867706,0.08333333333333333,2.484985828399658,2.485360622406006,4,0,False,,,,,,0.00015099033433423024,0.001862096903795976
5,0.05,0.013499599178175326,3.703813671804014,0.5,1.851906835902007,0.01851906835902007,0.18519068359020072,2.484032547617533,0.0008978842430637441,0.061197221516383085,0.006128700983048563,0.011349782855818993,2.495382312653192,0.004569095870625654,0.09027777777777778,2.484311103820801,2.4847099781036377,5,0,False,0.0026759189018246213,0.0027376338154876194,1.023063073257159,1.8946174989238487,0.15802281328938297,0.00015299936927107231,0.0016427691156291459
6,0.05,0.013499599178175326,3.703813671804014,0.6,2.2222882030824085,0.022222882030824086,0.22222882030824087,2.484900390835104,0.0007714519746883703,0.05521467135715813,0.005529181833784521,0.01228743494711111,2.4971878036164172,0.0049448400396370235,0.08333333333333333,2.4849467277526855,2.485133647918701,5,1,False,,,,,,0.0001548792020104771,0.0013880247461389935
7,0.05,0.013499599178175326,3.703813671804014,0.7,2.5926695702628098,0.025926695702628098,0.259266957026281,2.4851410844445025,0.0006456286454069943,0.0481448352862656,0.004820939823472151,0.012499103548643203,2.4976401805056967,0.005029534792563737,0.08333333333333333,2.4849374294281006,2.485133647918701,5,2,False,,,,,,0.0001567663121100903,0.0011344909865934909
8,0.05,0.013499599178175326,3.703813671804014,0.8,2.9630509374432115,0.029630509374432117,0.2963050937443212,2.4830503595059996,0.0005290114346662417,0.03995925897857408,0.004001216012375387,0.011855806507772916,2.494906166539545,0.004774694344149998,0.07142857142857142,2.484720468521118,2.485603094100952,5,3,False,,,,,,0.00015924003368152206,0.0008987828262836357
9,0.05,0.013499599178175326,3.703813671804014,0.9,3.3334323046236127,0.033334323046236125,0.3333432304623613,2.482965822679451,0.00043041869384243046,0.031390569462936224,0.003143361101581005,0.010478181233100606,2.493444035262536,0.004220026364194274,0.10416666666666667,2.4838616847991943,2.4861605167388916,9,0,False,,,,,,0.00016243342560553272,0.0006984039795867098
10,0.05,0.013499599178175326,3.703813671804014,1.0,3.703813671804014,0.03703813671804014,0.37038136718040143,2.484718360096575,0.00034252221698282857,0.023177797269723705,0.002321204978679331,0.008597310517053801,2.4933157041027707,0.003460074451544538,0.10416666666666667,2.481532573699951,2.4855432510375977,9,1,False,0.004276405180521237,0.001834543389032725,0.4289919480476166,1.5889062422725997,-0.003184851856622356,0.0001667211541399863,0.0005183232719360782
11,0.05,0.013499599178175326,3.703813671804014,1.0,3.703813671804014,0.03703813671804014,0.37038136718040143,2.4843811795961837,0.0002791479847769825,0.016514227116438792,0.001654214171008263,0.006126900833491204,2.4905081197439904,0.0024661677860911358,0.09722222222222222,2.478731632232666,2.4834094047546387,11,0,False,,,,,,0.0001711403856524018,0.0003871555853792965
12,0.05,0.013499599178175326,3.703813671804014,1.0,3.703813671804014,0.03703813671804014,0.37038136718040143,2.481846911156239,0.00023344781685267092,0.011897896087877516,0.0011921241125468606,0.004415405530277351,2.48626230423709,0.0017790805349151488,0.09027777777777778,2.483832597732544,2.4854214191436768,11,1,False,,,,,,0.00017619819668175335,0.0002906974402295182
13,0.05,0.013499599178175326,3.703813671804014,1.0,3.703813671804014,0.03703813671804014,0.37038136718040143,2.480761534170522,0.00019832573611274835,0.008524802172790552,0.0008544634729896299,0.003164773378937975,2.4839263056723877,0.0012757265603105066,0.08333333333333333,2.4849674701690674,2.485360622406006,11,2,False,,,,,,0.00018230060256918228,0.00021435087113404766
14,0.05,0.013499599178175326,3.703813671804014,1.0,3.703813671804014,0.03703813671804014,0.37038136718040143,2.479124147592436,0.00017466551706190068,0.006342118460101536,0.0006359585046106164,0.0023554716711677933,2.481479646827186,0.0009501225154275851,0.08333333333333333,2.4849069118499756,2.4849066734313965,11,3,False,,,,,,0.00018916762273749833,0.00016016341225040127
15,0.05,0.013499599178175326,3.703813671804014,1.0,3.703813671804014,0.03703813671804014,0.37038136718040143,2.477162808025971,0.00015831561602825192,0.004776840096599263,0.00047926717806886403,0.0017751162785959787,2.4789379545825687,0.0007165924955940031,0.08333333333333333,2.4849870204925537,2.485360860824585,11,4,False,,,,,,0.0001968953389996621,0.00011973589613753982
16,0.05,0.013499599178175326,3.703813671804014,1.0,3.703813671804014,0.03703813671804014,0.37038136718040143,2.4755004449473397,0.00015029283093165113,0.0038333704178950875,0.0003848399794335908,0.0014253755347729499,2.4769258248826516,0.000575792881670547,0.08333333333333333,2.4849870204925537,2.485360860824585,11,5,False,,,,,,0.00020425849534665746,9.632716799437801e-05
17,0.05,0.013499599178175326,3.703813671804014,1.0,3.703813671804014,0.03703813671804014,0.37038136718040143,2.473867598581232,0.00014562439180973905,0.0031896765037678606,0.000320423898098168,0.0011867903628412205,2.4750543941524064,0.0004797307517677369,0.08333333333333333,2.484945774078369,2.485133647918701,11,6,False,,,,,,0.0002118348420606429,7.941393872233879e-05
