epoch,target_grad_ratio,calibration_ratio_median,kappa,warmup_scale,regularizer_multiplier,effective_lambda_p2,effective_lambda_a1,train_task_loss,train_p2,train_a1,train_base_regularizer,train_weighted_regularizer,train_total_loss,train_weighted_reg_to_task_loss_ratio,val_wholecount_ba,val_wholecount_loss,val_objective_loss,last_progress_epoch,epochs_since_progress,early_stop_triggered,first_batch_task_hidden_grad_norm,first_batch_base_reg_hidden_grad_norm,first_batch_base_reg_to_task_hidden_grad_ratio,first_batch_effective_reg_to_task_hidden_grad_ratio,first_batch_task_reg_hidden_grad_cosine,train_p2_hidden_1,train_p2_hidden_2
1,0.1,0.041747751478421864,2.3953385861197085,0.1,0.23953385861197085,0.0023953385861197087,0.023953385861197087,2.490393193371325,0.00010109855536691661,0.0015908598854958292,0.00016009697727223846,3.834864621862858e-05,2.490431608308408,1.5398631156196985e-05,0.08333333333333333,2.4849069118499756,2.4849066734313965,1,0,False,0.00414329845727665,0.0001354422962163177,0.032689485831861265,0.007830238677347081,0.22046149540601143,0.00016565717690726086,3.6539931976275075e-05
2,0.1,0.041747751478421864,2.3953385861197085,0.2,0.4790677172239417,0.004790677172239417,0.04790677172239417,2.484833372644631,0.00010161181586875104,0.0014668571423713547,0.0001477018303408972,7.075917745360113e-05,2.4849040828350284,2.8476427527328115e-05,0.08333333333333333,2.4849069118499756,2.4849066734313965,1,1,False,,,,,,0.00016891079825664135,3.4312834128934414e-05
3,0.1,0.041747751478421864,2.3953385861197085,0.3,0.7186015758359126,0.007186015758359126,0.07186015758359125,2.484743370246559,0.00010275940411093384,0.001404289502438908,0.00014145654761340637,0.00010165089909460159,2.4848450826490605,4.091001924456885e-05,0.08333333333333333,2.4849069118499756,2.4849066734313965,1,2,False,,,,,,0.00017186782925739154,3.365097674474552e-05
4,0.1,0.041747751478421864,2.3953385861197085,0.4,0.9581354344478834,0.009581354344478835,0.09581354344478835,2.484672617789185,0.00010437906105407928,0.0013262631791193366,0.0001336701135780753,0.00012807406838058588,2.4848006666219584,5.1545651311819014e-05,0.08333333333333333,2.4849069118499756,2.4849066734313965,1,3,False,,,,,,0.00017586853235948785,3.28895893166216e-05
5,0.1,0.041747751478421864,2.3953385861197085,0.5,1.1976692930598543,0.011976692930598543,0.11976692930598543,2.4844394550881574,0.00010685709423777085,0.001244445607906108,0.00012551313349311904,0.0001503232222935265,2.4845897929803846,6.0505890769711855e-05,0.08333333333333333,2.4849069118499756,2.4849066734313965,1,4,False,0.0026066048407043735,7.935111227929631e-05,0.030442325219442755,0.03645983812466818,-0.12853539269763412,0.00018258365259863268,3.113053871340538e-05
6,0.1,0.041747751478421864,2.3953385861197085,0.6,1.437203151671825,0.014372031516718252,0.1437203151671825,2.4831396228475127,0.00011033895776898435,0.0011321633646229406,0.00011431973067067384,0.00016430068040577608,2.483303911714669,6.616650908150147e-05,0.08333333333333333,2.4849069118499756,2.4849066734313965,1,5,False,,,,,,0.0001925677443538326,2.8110170968111545e-05
7,0.1,0.041747751478421864,2.3953385861197085,0.7,1.676737010283796,0.01676737010283796,0.1676737010283796,2.481551525720015,0.00011626387444729941,0.0010572435814112252,0.00010688699935027919,0.00017922137861028667,2.4817307413958027,7.222150205335192e-05,0.08333333333333333,2.4849069118499756,2.4849066734313965,1,6,False,,,,,,0.00020674554840100547,2.5782202636619583e-05
8,0.1,0.041747751478421864,2.3953385861197085,0.8,1.9162708688957668,0.01916270868895767,0.1916270868895767,2.4803195102284574,0.00012421598082902022,0.0009960236287116363,0.00010084452229474227,0.00019324542353953204,2.4805127515645116,7.791150403914397e-05,0.08333333333333333,2.4849069118499756,2.4849066734313965,1,7,False,,,,,,0.00022505681202169862,2.3375151161036917e-05
9,0.1,0.041747751478421864,2.3953385861197085,0.9,2.155804727507738,0.021558047275077378,0.2155804727507738,2.478658566171249,0.00013310033212882337,0.0009357553584943565,9.490654181611681e-05,0.00020459996480370508,2.478863193328122,8.254463426148603e-05,0.08333333333333333,2.4849069118499756,2.4849066734313965,1,8,False,,,,,,0.00024487217955861123,2.1328486734049448e-05
10,0.1,0.041747751478421864,2.3953385861197085,1.0,2.3953385861197085,0.023953385861197087,0.23953385861197085,2.4767306113612424,0.00014333111078120936,0.0009059968579595783,9.203299874091792e-05,0.00022045019120144258,2.4769510656543936,8.90085462626395e-05,0.08333333333333333,2.4849069118499756,2.4849066734313965,1,9,False,0.0018656025544649983,6.735044385573922e-05,0.036101174762302686,0.08647453691239462,-0.33085553659715233,0.0002672712381415409,1.939098469276153e-05
