label_idx,label,samples,mean_embedding_cosine_similarity,mean_embedding_cosine_distance,prediction_agreement
0,A,11,0.964680705023169,0.035319294976830846,0.45454545454545453
1,B,9,0.9790897148462001,0.020910285153799876,0.8888888888888888
2,C,12,0.9600241433107545,0.039975856689245526,0.5833333333333334
3,D,11,0.9640786629986838,0.035921337001316146,0.9090909090909091
4,E,12,0.9716788431947757,0.028321156805224373,0.5
5,G,12,0.976387409081834,0.023612590918165987,0.75
6,H,12,0.9675340317934192,0.032465968206580785,0.5
7,I,11,0.9654345800300199,0.03456541996998004,0.5454545454545454
8,J,12,0.9619814805711379,0.03801851942886209,0.5833333333333334
9,K,12,0.9697720863697642,0.03022791363023573,0.5833333333333334
10,L,6,0.9456287555930428,0.054371244406957196,0.6666666666666666
11,X,7,0.9590608191240932,0.04093918087590674,0.5714285714285714
