transition,count,fraction
reference_correct -> query_correct,55,0.4330708661417323
reference_wrong -> query_wrong,37,0.29133858267716534
reference_correct -> query_wrong,18,0.14173228346456693
reference_wrong -> query_correct,17,0.13385826771653545
