pi,si,user,label,valid,pad,source_trial,sample_id,y,cv_fold
0,24,user_0,J,72,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_24,8,3
0,25,user_0,B,128,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_25,1,4
0,26,user_0,X,106,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_26,11,2
0,27,user_0,E,122,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_27,4,3
0,31,user_0,G,124,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_31,5,3
0,35,user_0,C,85,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_35,2,2
0,37,user_0,I,59,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_37,7,2
0,38,user_0,D,110,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_38,3,1
0,39,user_0,H,128,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_39,6,0
0,42,user_0,A,120,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_42,0,0
0,44,user_0,K,129,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_44,9,0
0,72,user_0,C,78,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_72,2,0
0,74,user_0,G,121,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_74,5,4
0,76,user_0,J,72,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_76,8,1
0,78,user_0,D,110,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_78,3,4
0,81,user_0,E,121,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_81,4,2
0,82,user_0,H,129,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_82,6,1
0,83,user_0,B,132,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_83,1,3
0,84,user_0,L,81,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_84,10,1
0,85,user_0,A,130,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_85,0,1
0,86,user_0,K,119,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_86,9,2
0,90,user_0,I,68,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_90,7,4
1,27,user_1,J,86,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_27,8,0
1,28,user_1,B,112,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_28,1,2
1,29,user_1,X,88,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_29,11,4
1,30,user_1,E,125,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_30,4,2
1,34,user_1,G,99,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_34,5,4
1,38,user_1,C,79,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_38,2,2
1,40,user_1,I,52,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_40,7,3
1,41,user_1,D,96,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_41,3,4
1,42,user_1,H,118,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_42,6,2
1,45,user_1,A,106,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_45,0,4
1,47,user_1,K,100,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_47,9,1
1,71,user_1,G,108,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_71,5,1
1,73,user_1,H,87,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_73,6,1
1,76,user_1,E,109,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_76,4,1
1,78,user_1,D,81,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_78,3,1
1,80,user_1,J,77,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_80,8,1
1,81,user_1,I,49,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_81,7,4
1,82,user_1,B,102,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_82,1,0
1,84,user_1,X,74,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_84,11,1
1,86,user_1,K,88,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_86,9,4
1,89,user_1,C,67,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_89,2,4
1,91,user_1,L,61,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_91,10,1
1,114,user_1,E,107,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_114,4,0
1,115,user_1,J,81,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_115,8,3
1,117,user_1,D,86,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_117,3,0
