method,head,coef_fro_norm_mean,coef_fro_norm_std,coef_rms_mean,coef_rms_std,coef_norm_fraction_mean,coef_norm_fraction_std
l2_only_count,l2,3.228688057654523,0.06688278945961487,0.08238164874865934,0.0017065490286463907,1.0,0.0
l1_l2_timeshared_count,l2,2.849104769437657,0.02657504676900603,0.07269638446721012,0.0006780760882777447,0.48719040726519713,0.0032566218211747106
l1_l2_timeshared_count,l1_timeshared,2.9988603352811,0.012150660310087179,0.07651747532614976,0.00031003039372501037,0.5128095927348028,0.0032566218211747167
l1_fixed250_l2_whole_count,l2,2.3028919135206056,0.14511836087124005,0.0587594804261151,0.0037027701712876015,0.2882620921559634,0.027058435575488766
l1_fixed250_l2_whole_count,l1_large_bank,5.751239974008835,0.9819929914124916,0.03668646699119591,0.006264014999869449,0.7117379078440367,0.027058435575488822
l1_capacity_no_phase_l2_whole_count,l2,2.6411547410640686,0.09908230381008537,0.0673904317431208,0.0025281363216055376,0.28347921414130733,0.010974678368016555
l1_capacity_no_phase_l2_whole_count,l1_large_bank,6.685730375168881,0.4470774692529325,0.042647468690078405,0.0028518533207409365,0.7165207858586927,0.010974678368016572
