method,feature,train_ba_mean,train_ba_std,val_ba_mean,val_ba_std,test_ba_mean,test_ba_std,train_test_gap_mean,train_test_gap_std,feature_dim_mean,feature_dim_std,probe_C_mean,probe_C_std
l2_only_count,l1_fixed250,0.9494677530394764,0.026496748436298744,0.4037558120891454,0.029522378221103283,0.439242007992008,0.03140566367657368,0.5102257450474684,0.05134832873870711,2048.0,0.0,0.7000000000000001,0.5196152422706632
l2_only_count,l1_l2_fixed250,0.8975596142376655,0.029053788962936603,0.4197891614558282,0.021113772745537843,0.4506780256780257,0.004095292220214925,0.44688158855963994,0.028324772372821647,4096.0,0.0,0.04,0.051961524227066326
l2_only_count,l1_l2_whole,0.9023889250965746,0.052367960292600824,0.39746873496873497,0.04067824162230724,0.411489898989899,0.027269358794968192,0.4908990261066757,0.07107445919848866,256.0,0.0,3.6999999999999997,5.474486277268397
l2_only_count,l1_whole,0.8658068646054913,0.03209796279331315,0.3751603334936668,0.010307336985484493,0.3808920246420246,0.027240013866251685,0.4849148399634668,0.05253590027838577,128.0,0.0,7.0,5.196152422706632
l2_only_count,l1fixed250_l2whole,0.9117170216153226,0.05821406119847057,0.43571027737694407,0.05294142558800025,0.4256660006660007,0.03441474837487056,0.486051020949322,0.0876694950353895,2176.0,0.0,0.37000000000000005,0.5474486277268398
l2_only_count,l1whole_l2fixed250,0.8707917767191612,0.021116376476264513,0.40860990860990865,0.03214280821951057,0.4430271117771118,0.013137289634940952,0.42776466494204946,0.012395990267386048,2176.0,0.0,0.04,0.051961524227066326
l2_only_count,l2_fixed250,0.8643089155616481,0.017482665161254473,0.4062950937950938,0.028278516051658726,0.4451893014393014,0.024836446358113155,0.4191196141223466,0.018332480393958493,2048.0,0.0,0.04,0.051961524227066326
l2_only_count,l2_whole,0.8891279492419528,0.028757670533687486,0.39066859066859067,0.03416873840343197,0.39760609760609755,0.0034657688023266345,0.49152185163585527,0.030147314638932225,128.0,0.0,4.0,5.196152422706632
l1_l2_timeshared_count,l1_fixed250,0.9585366541093799,0.02091357914716077,0.4606060606060605,0.025124624564230084,0.5011261886261886,0.049111019619063036,0.45741046548319125,0.03190266876791057,2048.0,0.0,0.39999999999999997,0.5196152422706632
l1_l2_timeshared_count,l1_l2_fixed250,0.9805474512631064,0.013021487067405763,0.4580727914061247,0.02104567119619349,0.4844165094165094,0.03148720366998695,0.49613094184659695,0.033777775720457905,4096.0,0.0,0.7000000000000001,0.5196152422706631
l1_l2_timeshared_count,l1_l2_whole,0.8588590895512093,0.10441284462823766,0.4611171236171236,0.044856361851872265,0.48967791467791466,0.04228553904997537,0.36918117487329455,0.11780173324403458,256.0,0.0,0.37000000000000005,0.5474486277268398
l1_l2_timeshared_count,l1_whole,0.784300014758195,0.07562564065263852,0.4266594516594517,0.0016944496458024272,0.4315610315610316,0.03999318678094326,0.3527389831971633,0.11302332870480522,128.0,0.0,0.39999999999999997,0.5196152422706632
