method,bin_index,coef_fro_norm_mean,coef_fro_norm_std,coef_rms_mean,coef_rms_std,norm_fraction_mean,norm_fraction_std
l1_fixed250_l2_whole_count,0,1.588602091152912,0.2518767914611498,0.04053400549628088,0.006426766845096081,0.07388084371144572,0.0020272578048806385
l1_fixed250_l2_whole_count,1,1.6683643874018006,0.2798382861304748,0.04256918181422344,0.00714021886994398,0.07749792051063246,0.000267648821709047
l1_fixed250_l2_whole_count,2,1.6423883311614575,0.23659029263266676,0.04190638927965387,0.006036723906726956,0.07650853322194665,0.002095381371563035
l1_fixed250_l2_whole_count,3,1.723099942798435,0.28431112582779766,0.043965787871615085,0.00725434569244092,0.08006357044315249,0.0013016452759760893
l1_fixed250_l2_whole_count,4,1.7620342034356427,0.3245566341970906,0.04495921570571598,0.00828123069185422,0.08168544301193442,0.001648424933158146
l1_fixed250_l2_whole_count,5,1.7802150945703523,0.31908048508340914,0.04542311056351941,0.008141503909730122,0.0825876356708027,0.0014395374264200116
l1_fixed250_l2_whole_count,6,1.7873094954836901,0.306934450875265,0.045604127878815376,0.007831591553393212,0.08298109690247725,0.0005409385365674212
l1_fixed250_l2_whole_count,7,1.8774215368326204,0.41127138960189746,0.04790338330574723,0.0104938026076045,0.08666374148172329,0.005099529326394298
l1_fixed250_l2_whole_count,8,1.7353023399907883,0.2314482347987037,0.04427713835869879,0.005905521636715595,0.08095232221341475,0.0034700452636372034
l1_fixed250_l2_whole_count,9,1.5482137933622255,0.29284658011581965,0.03950347715079381,0.007472132231279503,0.07172605765188377,0.0018817359997589647
l1_fixed250_l2_whole_count,10,1.2250613410731015,0.2707997861187097,0.031258074887903824,0.006909596858808938,0.056557114835481925,0.0034837975240839757
l1_fixed250_l2_whole_count,11,0.9392566529918449,0.1480750702810943,0.023965620180670655,0.0037782121439108173,0.043754400713594536,0.002560371385991319
l1_fixed250_l2_whole_count,12,0.503714590946355,0.007236331726595613,0.01285253878972209,0.00018463875353825468,0.023883119499655603,0.004342691998185392
l1_fixed250_l2_whole_count,13,0.49921904739948814,0.005699482661390483,0.012737832666739952,0.0001454252533150691,0.023647174451104466,0.004097577237665805
l1_fixed250_l2_whole_count,14,0.5589322378932163,0.07411423810373856,0.014261445662815425,0.0018910631878051858,0.02612909874753862,0.002105331801408615
l1_fixed250_l2_whole_count,15,0.6841870021278468,0.1676654640083964,0.017457385873518052,0.004278071190703635,0.03148192693321141,0.0027725107965813904
l1_capacity_no_phase_l2_whole_count,0,1.665859296407847,0.11887157422585451,0.04250526311948982,0.003033069810153334,0.06228088760283625,0.0005034382406477534
l1_capacity_no_phase_l2_whole_count,1,1.6748614298128077,0.10838218935105251,0.042734957217808754,0.002765427719956118,0.06263603690820571,0.00014987359346489414
l1_capacity_no_phase_l2_whole_count,2,1.6850672237860873,0.11381734998140682,0.04299536333920986,0.002904108659689782,0.06300991695445134,0.00034881123621178546
l1_capacity_no_phase_l2_whole_count,3,1.6823144938195889,0.10912432340478297,0.04292512600777664,0.002784363654876776,0.06291457308799862,0.00020584490985499652
l1_capacity_no_phase_l2_whole_count,4,1.6751759247663909,0.10813164330161666,0.042742981719506246,0.002759034907683327,0.06264841881444651,0.00018681790034313307
l1_capacity_no_phase_l2_whole_count,5,1.6641229120635586,0.11606139227601772,0.04246095837323083,0.0029613665615962578,0.06222058485169705,0.000437861497272636
l1_capacity_no_phase_l2_whole_count,6,1.6621683517133092,0.11659150523322444,0.04241108675313096,0.0029748926683795243,0.06214589822544536,0.0003314476347360843
l1_capacity_no_phase_l2_whole_count,7,1.666880911622249,0.11845559058731318,0.0425313301610393,0.0030224557720723655,0.06232117206577728,0.0005744775073250402
l1_capacity_no_phase_l2_whole_count,8,1.6660622516648635,0.09620281526772544,0.04251044162803468,0.00245466467942873,0.062327269988130325,0.0006059251619561859
l1_capacity_no_phase_l2_whole_count,9,1.671206178508762,0.11671856326074193,0.04264169158680297,0.002978134619787256,0.06248671503230702,0.0005840838632513263
l1_capacity_no_phase_l2_whole_count,10,1.6688666686533946,0.11394335177595137,0.04258199778061691,0.002907323660765922,0.062401539611898184,9.06659064542602e-05
l1_capacity_no_phase_l2_whole_count,11,1.678462241913909,0.10523238816801848,0.04282683380434352,0.0026850589106889524,0.06277658275521474,0.00027345585005023027
l1_capacity_no_phase_l2_whole_count,12,1.6765103176280995,0.10053033840431154,0.042777029444793724,0.0025650836745821173,0.06271215489843991,0.0005368834992997185
l1_capacity_no_phase_l2_whole_count,13,1.6637530964729799,0.1212647678050704,0.04245152233681579,0.003094133384369829,0.062197054699130644,0.00038881274283089395
l1_capacity_no_phase_l2_whole_count,14,1.6619080160272464,0.1252327778207607,0.0424044441532071,0.0031953792159603936,0.06212097577890913,0.0005481147024555903
l1_capacity_no_phase_l2_whole_count,15,1.6790503079707932,0.10454730163862506,0.04284183861449369,0.002667578572911154,0.0628002187251119,0.00043126741495803553
