method,seed,mean_pairwise_cosine,std_pairwise_cosine,mean_adjacent_cosine,between_bin_weight_rms
l1_fixed250_l2_whole_count,11,0.11128388082497215,0.12307164100568575,0.2669638783686942,0.0378581979485206
l1_fixed250_l2_whole_count,23,0.11323130127788587,0.12222115291602174,0.24518351129194152,0.034942544229206035
l1_fixed250_l2_whole_count,37,0.09269665762825768,0.13022485725154778,0.22996339302715743,0.026972393805277484
l1_capacity_no_phase_l2_whole_count,11,0.9165243980187692,0.002769336192873337,0.9161119208494396,0.012287687979580068
l1_capacity_no_phase_l2_whole_count,23,0.9182686589491986,0.0025843913214705955,0.9181201415664638,0.01235965056767976
l1_capacity_no_phase_l2_whole_count,37,0.8946040084743554,0.0029915790879776645,0.8955620379307629,0.012382834966244429
