method,seed,feature,block_index,layer,aggregation,feature_dim,coef_fro_norm,coef_rms,coef_norm_fraction
l2_only_count,11,l1_fixed250,0,l1,fixed250,2048,11.840777554914746,0.07553089366495039,1.0
l2_only_count,11,l1_l2_fixed250,0,l1,fixed250,2048,0.9715836638654326,0.00619761515336999,0.3875377144059389
l2_only_count,11,l1_l2_fixed250,1,l2,fixed250,2048,1.535485010353242,0.00979467391421247,0.6124622855940611
l2_only_count,11,l1_l2_whole,0,l1,whole_count,128,17.821802151053806,0.454732516322057,0.4476974043141304
l2_only_count,11,l1_l2_whole,1,l2,whole_count,128,21.98589380455865,0.5609814725019441,0.5523025956858695
l2_only_count,11,l1_whole,0,l1,whole_count,128,15.800250920502846,0.40315158919971034,1.0
l2_only_count,11,l1fixed250_l2whole,0,l1,fixed250,2048,4.1205707301746175,0.026284624317644053,0.5978454723982282
l2_only_count,11,l1fixed250_l2whole,1,l2,whole_count,128,2.7717968136409237,0.07072383191763061,0.4021545276017719
l2_only_count,11,l1whole_l2fixed250,0,l1,whole_count,128,0.43670430611720024,0.011142736650659658,0.19574817503691808
l2_only_count,11,l1whole_l2fixed250,1,l2,fixed250,2048,1.7942452597463785,0.011445274374442952,0.8042518249630818
l2_only_count,11,l2_fixed250,0,l2,fixed250,2048,1.8552845337574468,0.011834636550476918,1.0
l2_only_count,11,l2_whole,0,l2,whole_count,128,13.072814982656075,0.33355964801373233,1.0
l2_only_count,23,l1_fixed250,0,l1,fixed250,2048,12.225914502706532,0.07798763586073892,1.0
l2_only_count,23,l1_l2_fixed250,0,l1,fixed250,2048,2.823688536574286,0.018011969029044676,0.4604704384635003
l2_only_count,23,l1_l2_fixed250,1,l2,fixed250,2048,3.3084934684125753,0.021104481288910792,0.5395295615364998
l2_only_count,23,l1_l2_whole,0,l1,whole_count,128,7.453538864835034,0.19018090621717904,0.4112107348581267
l2_only_count,23,l1_l2_whole,1,l2,whole_count,128,10.672298407887443,0.27230922377126593,0.5887892651418731
l2_only_count,23,l1_whole,0,l1,whole_count,128,38.02439451926966,0.9702121286509577,1.0
l2_only_count,23,l1fixed250_l2whole,0,l1,fixed250,2048,10.22512509178567,0.06522484122657267,0.6734402080240506
l2_only_count,23,l1fixed250_l2whole,1,l2,whole_count,128,4.958294267428623,0.12651344739340672,0.32655979197594937
l2_only_count,23,l1whole_l2fixed250,0,l1,whole_count,128,1.2204435265172338,0.03114024895677181,0.22791230909347493
l2_only_count,23,l1whole_l2fixed250,1,l2,fixed250,2048,4.134438495307601,0.02637308512089554,0.7720876909065251
l2_only_count,23,l2_fixed250,0,l2,fixed250,2048,4.317453172774895,0.02754051370223645,1.0
l2_only_count,23,l2_whole,0,l2,whole_count,128,12.861258401472117,0.32816167222593673,1.0
l2_only_count,37,l1_fixed250,0,l1,fixed250,2048,5.188342427068818,0.033095811346749604,1.0
l2_only_count,37,l1_l2_fixed250,0,l1,fixed250,2048,0.9636349810823105,0.006146911463406722,0.39025498072260156
l2_only_count,37,l1_l2_fixed250,1,l2,fixed250,2048,1.5056095607760165,0.009604102020200884,0.6097450192773984
l2_only_count,37,l1_l2_whole,0,l1,whole_count,128,2.4868718229865623,0.06345382314606342,0.3438140106549393
l2_only_count,37,l1_l2_whole,1,l2,whole_count,128,4.7463174768016065,0.12110474974393823,0.6561859893450607
l2_only_count,37,l1_whole,0,l1,whole_count,128,38.42523408207421,0.9804397577925351,1.0
l2_only_count,37,l1fixed250_l2whole,0,l1,fixed250,2048,1.5872498487111706,0.010124875582427507,0.5883386069136223
l2_only_count,37,l1fixed250_l2whole,1,l2,whole_count,128,1.110601065811943,0.02833756165656687,0.41166139308637767
l2_only_count,37,l1whole_l2fixed250,0,l1,whole_count,128,0.41582843512651607,0.010610077985416471,0.19023882239122736
l2_only_count,37,l1whole_l2fixed250,1,l2,fixed250,2048,1.7699947838133185,0.011290583509714715,0.8097611776087725
l2_only_count,37,l2_fixed250,0,l2,fixed250,2048,1.8265824316198485,0.011651549298439513,1.0
l2_only_count,37,l2_whole,0,l2,whole_count,128,26.260906612658577,0.6700606394155637,1.0
l1_l2_timeshared_count,11,l1_fixed250,0,l1,fixed250,2048,5.32855694692495,0.03399022287846018,1.0
l1_l2_timeshared_count,11,l1_l2_fixed250,0,l1,fixed250,2048,2.3508881690321015,0.014996032438735566,0.4162354359425943
l1_l2_timeshared_count,11,l1_l2_fixed250,1,l2,fixed250,2048,3.297088831552557,0.02103173248420042,0.5837645640574057
l1_l2_timeshared_count,11,l1_l2_whole,0,l1,whole_count,128,6.648379729214472,0.16963685367540055,0.3820031692760945
l1_l2_timeshared_count,11,l1_l2_whole,1,l2,whole_count,128,10.755611294769222,0.2744349952489594,0.6179968307239055
l1_l2_timeshared_count,11,l1_whole,0,l1,whole_count,128,16.36546371999471,0.41757328664601334,1.0
l1_l2_timeshared_count,11,l1fixed250_l2whole,0,l1,fixed250,2048,4.087184693527238,0.026071658811602536,0.5975306512561642
l1_l2_timeshared_count,11,l1fixed250_l2whole,1,l2,whole_count,128,2.75294088820638,0.07024271320989521,0.4024693487438358
l1_l2_timeshared_count,11,l1whole_l2fixed250,0,l1,whole_count,128,1.057324140032803,0.026978173289660373,0.20662962391256115
l1_l2_timeshared_count,11,l1whole_l2fixed250,1,l2,fixed250,2048,4.05967757546288,0.025896194219018762,0.793370376087439
l1_l2_timeshared_count,11,l2_fixed250,0,l2,fixed250,2048,4.234986116577541,0.02701446628485898,1.0
l1_l2_timeshared_count,11,l2_whole,0,l2,whole_count,128,5.741704457654442,0.14650256432413547,1.0
l1_l2_timeshared_count,23,l1_fixed250,0,l1,fixed250,2048,5.211207083224835,0.033241662234058014,1.0
l1_l2_timeshared_count,23,l1_l2_fixed250,0,l1,fixed250,2048,6.216417357992254,0.03965377748765971,0.5275550049866586
l1_l2_timeshared_count,23,l1_l2_fixed250,1,l2,fixed250,2048,5.567031380494195,0.03551142256320991,0.4724449950133415
l1_l2_timeshared_count,23,l1_l2_whole,0,l1,whole_count,128,0.9260663936812289,0.02362906387977478,0.3509452615665275
l1_l2_timeshared_count,23,l1_l2_whole,1,l2,whole_count,128,1.7127109174798099,0.04370070650749542,0.6490547384334725
l1_l2_timeshared_count,23,l1_whole,0,l1,whole_count,128,5.75949057524213,0.14695638633033317,1.0
l1_l2_timeshared_count,23,l1fixed250_l2whole,0,l1,fixed250,2048,1.6044217445175994,0.010234413037224359,0.586791995025099
l1_l2_timeshared_count,23,l1fixed250_l2whole,1,l2,whole_count,128,1.1298039404271532,0.02882753295242009,0.41320800497490084
l1_l2_timeshared_count,23,l1whole_l2fixed250,0,l1,whole_count,128,0.4413335829423402,0.011260855047531368,0.1974002275900679
l1_l2_timeshared_count,23,l1whole_l2fixed250,1,l2,fixed250,2048,1.7943962757832417,0.01144623768755048,0.8025997724099321
l1_l2_timeshared_count,23,l2_fixed250,0,l2,fixed250,2048,1.857550825723068,0.011849092953924677,1.0
