method,seed,bin_index,coef_fro_norm,coef_rms,norm_fraction
l1_fixed250_l2_whole_count,11,0,1.751094797766587,0.04468009110177332,0.07176656672894781
l1_fixed250_l2_whole_count,11,1,1.89834760802793,0.04843732285522287,0.0778015504700476
l1_fixed250_l2_whole_count,11,2,1.810053739977079,0.04618445906208526,0.07418292983265538
l1_fixed250_l2_whole_count,11,3,1.926201560005781,0.04914803087257413,0.07894311202675654
l1_fixed250_l2_whole_count,11,4,2.0293367432096696,0.05177957851192819,0.08316998656087342
l1_fixed250_l2_whole_count,11,5,2.055420960624821,0.052445130834917135,0.084239017621947
l1_fixed250_l2_whole_count,11,6,2.0363800789221904,0.05195929287216567,0.08345864941513562
l1_fixed250_l2_whole_count,11,7,2.2141630022381475,0.05649551627950364,0.09074487403626705
l1_fixed250_l2_whole_count,11,8,1.880582345370252,0.047984032973370463,0.07707346201383972
l1_fixed250_l2_whole_count,11,9,1.7813597706751578,0.045452317567452015,0.07300694115103108
l1_fixed250_l2_whole_count,11,10,1.4687532475383505,0.03747600015129866,0.0601951294026231
l1_fixed250_l2_whole_count,11,11,1.0942202666447804,0.02791959707804025,0.04484533440593157
l1_fixed250_l2_whole_count,11,12,0.4965008667852961,0.012668476879932708,0.020348505764835805
l1_fixed250_l2_whole_count,11,13,0.4968874802891284,0.012678341523808319,0.020364350665897975
l1_fixed250_l2_whole_count,11,14,0.6397521578831975,0.016323607798523924,0.02621949193571462
l1_fixed250_l2_whole_count,11,15,0.8208139699607404,0.020943493751583057,0.033640097967495695
l1_fixed250_l2_whole_count,23,0,1.716255255078128,0.04379114211782918,0.07580812520152252
l1_fixed250_l2_whole_count,23,1,1.749944023860145,0.044650728509272354,0.07729618031113152
l1_fixed250_l2_whole_count,23,2,1.7453474884153066,0.04453344552568412,0.07709314831256107
l1_fixed250_l2_whole_count,23,3,1.8449212812616926,0.04707412244471786,0.0814913883369132
