method,seed,coef_fro_norm,coef_norm_fraction,coef_rms,head
l2_only_count,11,3.2118942067567477,1.0,0.08195314494120172,l2
l2_only_count,23,3.171802654292954,1.0,0.0809301882064901,l2
l2_only_count,37,3.302367311913868,1.0,0.08426161309828621,l2
l1_l2_timeshared_count,11,2.8772035501667164,0.490816499784049,0.07341333941700746,l2
l1_l2_timeshared_count,11,2.98487229983555,0.5091835002159509,0.07616056335380016,l1_timeshared
l1_l2_timeshared_count,23,2.8243746954840474,0.4845147049504999,0.07206538381629726,l2
l1_l2_timeshared_count,23,3.0049111169508866,0.5154852950495,0.07667186415569105,l1_timeshared
l1_l2_timeshared_count,37,2.8457360626622057,0.48624001706104253,0.07261043016832563,l2
l1_l2_timeshared_count,37,3.006797589056863,0.5137599829389574,0.07671999846895809,l1_timeshared
l1_fixed250_l2_whole_count,11,2.4640817275851044,0.2738531739228927,0.06287232205311633,l2
l1_fixed250_l2_whole_count,11,6.53373886469659,0.7261468260771073,0.0416779331539013,l1_large_bank
l1_fixed250_l2_whole_count,23,2.261954559909422,0.27145725635766643,0.05771494263687258,l2
l1_fixed250_l2_whole_count,23,6.070681635783641,0.7285427436423336,0.03872414687123498,l1_large_bank
l1_fixed250_l2_whole_count,37,2.1826394530672903,0.31947584618733094,0.05569117658835641,l2
l1_fixed250_l2_whole_count,37,4.649299421546275,0.6805241538126691,0.02965732094845146,l1_large_bank
l1_capacity_no_phase_l2_whole_count,11,2.75215067934428,0.28558311718207097,0.07022255062132886,l2
l1_capacity_no_phase_l2_whole_count,11,6.884800925150152,0.7144168828179291,0.04391731574807144,l1_large_bank
l1_capacity_no_phase_l2_whole_count,23,2.6096823664490865,0.27160488953191636,0.06658739779728301,l2
l1_capacity_no_phase_l2_whole_count,23,6.998695343343292,0.7283951104680837,0.04464383452183279,l1_large_bank
l1_capacity_no_phase_l2_whole_count,37,2.5616311773988385,0.2932496357099347,0.06536134681075054,l2
l1_capacity_no_phase_l2_whole_count,37,6.173694857013199,0.7067503642900653,0.03938125580033097,l1_large_bank
