method,seed,feature,feature_dim,probe_C,train_ba,val_ba,test_ba,train_test_gap
l2_only_count,11,l1_fixed250,2048,1.0,0.9664280138873632,0.43777056277056275,0.45259254634254636,0.5138354675448169
l2_only_count,11,l1_l2_fixed250,4096,0.01,0.8715097834660254,0.41412337662337667,0.4468857531357531,0.42462403033027224
l2_only_count,11,l1_l2_whole,256,10.0,0.9580983116360923,0.36753246753246754,0.4058302808302809,0.5522680308058114
l2_only_count,11,l1_whole,128,1.0,0.8299393068772819,0.37245670995671,0.3915445665445665,0.4383947403327154
l2_only_count,11,l1fixed250_l2whole,2176,0.1,0.9259881851960993,0.4376022126022126,0.4435647685647685,0.48242341663133076
l2_only_count,11,l1whole_l2fixed250,2176,0.01,0.8570700359339253,0.3986772486772487,0.4290286102786103,0.428041425655315
l2_only_count,11,l2_fixed250,2048,0.01,0.8522985305575812,0.3986772486772487,0.41666597291597296,0.43563255764160824
l2_only_count,11,l2_whole,128,1.0,0.8927176091125794,0.3593614718614719,0.40118076368076366,0.4915368454318157
l2_only_count,23,l1_fixed250,2048,1.0,0.963040736719333,0.3887025012025012,0.40336677211677213,0.5596739646025608
l2_only_count,23,l1_l2_fixed250,4096,0.1,0.9288923801439465,0.44315776815776814,0.4501276501276501,0.4787647300162964
l2_only_count,23,l1_l2_whole,256,1.0,0.8948996793728529,0.4437830687830688,0.38749444999445,0.5074052293784028
l2_only_count,23,l1_whole,128,10.0,0.8756525075631534,0.386550024050024,0.4011960261960261,0.47445648136712726
l2_only_count,23,l1fixed250_l2whole,2176,1.0,0.9614684096753079,0.48768037518037516,0.3859903984903985,0.5754780111849094
l2_only_count,23,l1whole_l2fixed250,2176,0.1,0.8951079250486793,0.444546657046657,0.45508796758796755,0.44001995746071176
l2_only_count,23,l2_fixed250,2048,0.1,0.8843660321376688,0.4376022126022126,0.462032412032412,0.4223336201052568
l2_only_count,23,l2_whole,128,1.0,0.8587439715223136,0.42711640211640206,0.39737692862692864,0.461367042895385
l2_only_count,37,l1_fixed250,2048,0.1,0.9189345085117329,0.3847943722943723,0.46176670551670546,0.4571678029950274
l2_only_count,37,l1_l2_fixed250,4096,0.01,0.8922766791030249,0.4020863395863396,0.45502067377067373,0.43725600533235115
l2_only_count,37,l1_l2_whole,256,0.1,0.854168784280779,0.3810906685906686,0.4411449661449662,0.41302381813581285
l2_only_count,37,l1_whole,128,10.0,0.8918287793760387,0.36647426647426645,0.3499354811854812,0.5418932981905575
l2_only_count,37,l1fixed250_l2whole,2176,0.01,0.8476944699745607,0.38184824434824444,0.44744283494283493,0.4002516350317257
l2_only_count,37,l1whole_l2fixed250,2176,0.01,0.8601973691748791,0.38260582010582017,0.44496475746475744,0.41523261171012166
l2_only_count,37,l2_fixed250,2048,0.01,0.8562621839896941,0.38260582010582017,0.45686951936951936,0.39939266462017475
l2_only_count,37,l2_whole,128,10.0,0.9159222670909655,0.385527898027898,0.39426060051060047,0.5216616665803651
l1_l2_timeshared_count,11,l1_fixed250,2048,0.1,0.9482412532130885,0.487049062049062,0.4563415750915751,0.4918996781215134
l1_l2_timeshared_count,11,l1_l2_fixed250,4096,0.1,0.9662529189206017,0.46201298701298693,0.49484335109335104,0.4714095678272507
l1_l2_timeshared_count,11,l1_l2_whole,256,1.0,0.9400735168528346,0.4905844155844155,0.449496336996337,0.49057717985649757
l1_l2_timeshared_count,11,l1_whole,128,1.0,0.871203500635792,0.4285473785473785,0.3881549006549006,0.4830485999808914
l1_l2_timeshared_count,11,l1fixed250_l2whole,2176,0.1,0.9532994190370703,0.4905844155844156,0.4954136141636141,0.45788580487345615
l1_l2_timeshared_count,11,l1whole_l2fixed250,2176,0.1,0.9510813180139377,0.44580928330928327,0.4877254689754689,0.46335584903846877
l1_l2_timeshared_count,11,l2_fixed250,2048,0.1,0.9510813180139377,0.43949615199615194,0.48726759351759347,0.4638137244963442
l1_l2_timeshared_count,11,l2_whole,128,0.1,0.8853754585008239,0.46415945165945166,0.48240370740370736,0.4029717510971165
l1_l2_timeshared_count,23,l1_fixed250,2048,0.1,0.9447666027610504,0.43704906204906196,0.49339133089133086,0.45137527186971954
l1_l2_timeshared_count,23,l1_l2_fixed250,4096,1.0,0.9836562914689071,0.4353354978354978,0.4490384615384615,0.5346178299304456
l1_l2_timeshared_count,23,l1_l2_whole,256,0.01,0.7410819029710748,0.409493746993747,0.4857448107448108,0.255337092226264
l1_l2_timeshared_count,23,l1_whole,128,0.1,0.7334269760522326,0.42616041366041363,0.43961177711177707,0.29381519894045555
l1_l2_timeshared_count,23,l1fixed250_l2whole,2176,0.01,0.8680619663049728,0.43835978835978834,0.513009213009213,0.3550527532957598
l1_l2_timeshared_count,23,l1whole_l2fixed250,2176,0.01,0.8900064306397025,0.42956349206349204,0.527741008991009,0.3622654216486936
l1_l2_timeshared_count,23,l2_fixed250,2048,0.01,0.8873182585966917,0.4156746031746031,0.5054195804195803,0.3818986781771113
l1_l2_timeshared_count,23,l2_whole,128,0.01,0.7144026932695661,0.3780122655122655,0.4700452325452325,0.24435746072433356
l1_l2_timeshared_count,37,l1_fixed250,2048,1.0,0.9826021063540008,0.4577200577200577,0.5536456598956598,0.42895644645834097
l1_l2_timeshared_count,37,l1_l2_fixed250,4096,1.0,0.9917331433998101,0.47686988936988944,0.5093677156177155,0.48236542778209457
l1_l2_timeshared_count,37,l1_l2_whole,256,0.1,0.8954218488297184,0.4832732082732083,0.5337925962925962,0.3616292525371222
l1_l2_timeshared_count,37,l1_whole,128,0.1,0.74826956758656,0.4252705627705628,0.466916416916417,0.28135315067014305
l1_l2_timeshared_count,37,l1fixed250_l2whole,2176,1.0,0.984204670456565,0.4501803751803752,0.5562000499500499,0.4280046205065151
l1_l2_timeshared_count,37,l1whole_l2fixed250,2176,1.0,0.9777539497473814,0.44442640692640695,0.4824467199467199,0.4953072298006615
l1_l2_timeshared_count,37,l2_fixed250,2048,0.1,0.9572310416511751,0.4411435786435786,0.5301989676989677,0.42703207395220744
l1_l2_timeshared_count,37,l2_whole,128,1.0,0.9383599905655448,0.45459956709956706,0.4598859473859474,0.47847404317959735
l1_fixed250_l2_whole_count,11,l1_fixed250,2048,0.1,0.9755787906174498,0.5412518037518038,0.5270625208125208,0.448516269804929
l1_fixed250_l2_whole_count,11,l1_l2_fixed250,4096,0.01,0.9794924376625712,0.5612914862914863,0.5441239316239316,0.43536850603863964
l1_fixed250_l2_whole_count,11,l1_l2_whole,256,1.0,0.9885280151946819,0.45245911495911506,0.45055846930846927,0.5379695458862126
l1_fixed250_l2_whole_count,11,l1_whole,128,1.0,0.8284284380944453,0.45787638287638294,0.43906857031857033,0.389359867775875
l1_fixed250_l2_whole_count,11,l1fixed250_l2whole,2176,0.1,0.9889868740438,0.5738275613275613,0.5191260128760129,0.46986086116778714
l1_fixed250_l2_whole_count,11,l1whole_l2fixed250,2176,0.01,0.9741084507344667,0.5286796536796536,0.5700979575979576,0.40401049313650916
l1_fixed250_l2_whole_count,11,l2_fixed250,2048,0.1,0.9916750460868108,0.5293109668109668,0.535465922965923,0.4562091231208878
l1_fixed250_l2_whole_count,11,l2_whole,128,0.1,0.901422810920263,0.44194324194324186,0.48605630480630485,0.41536650611395814
l1_fixed250_l2_whole_count,23,l1_fixed250,2048,1.0,0.9949115971174795,0.543145743145743,0.503737234987235,0.49117436213024446
l1_fixed250_l2_whole_count,23,l1_l2_fixed250,4096,0.1,0.9933392700734544,0.5237012987012987,0.5894341769341769,0.40390509313927747
l1_fixed250_l2_whole_count,23,l1_l2_whole,256,0.1,0.9315481491273622,0.4594336219336219,0.5177419802419803,0.4138061688853819
l1_fixed250_l2_whole_count,23,l1_whole,128,1.0,0.8368229143556961,0.4411375661375661,0.49987998112998105,0.33694293322571506
l1_fixed250_l2_whole_count,23,l1fixed250_l2whole,2176,0.1,0.9885909319917828,0.5633838383838383,0.559800616050616,0.4287903159411668
l1_fixed250_l2_whole_count,23,l1whole_l2fixed250,2176,0.01,0.9720233848212915,0.5177729677729679,0.6028409090909091,0.3691824757303823
l1_fixed250_l2_whole_count,23,l2_fixed250,2048,0.1,0.9874145469997749,0.5156625781625782,0.5803703241203241,0.40704422287945086
l1_fixed250_l2_whole_count,23,l2_whole,128,0.1,0.9041046910668107,0.45744949494949494,0.4706210456210456,0.43348364544576506
l1_fixed250_l2_whole_count,37,l1_fixed250,2048,10.0,0.996545584045584,0.49832852332852334,0.4885094072594072,0.5080361767861767
l1_fixed250_l2_whole_count,37,l1_l2_fixed250,4096,0.01,0.9514825334353144,0.48486652236652233,0.5764110889110888,0.3750714445242256
l1_fixed250_l2_whole_count,37,l1_l2_whole,256,0.1,0.8810984177516138,0.4400493025493026,0.42694250194250194,0.45415591580911185
l1_fixed250_l2_whole_count,37,l1_whole,128,10.0,0.9022465381383636,0.43549783549783544,0.4082937895437895,0.49395274859457416
l1_fixed250_l2_whole_count,37,l1fixed250_l2whole,2176,0.01,0.8955458668828893,0.5010281385281384,0.562783744033744,0.3327621228491453
l1_fixed250_l2_whole_count,37,l1whole_l2fixed250,2176,0.01,0.9428915836145256,0.4689574314574314,0.5513250638250639,0.3915665197894618
l1_fixed250_l2_whole_count,37,l2_fixed250,2048,0.01,0.940203411571515,0.4451479076479077,0.5330100455100455,0.4071933660614695
l1_fixed250_l2_whole_count,37,l2_whole,128,0.1,0.8335668776243915,0.4372715247715248,0.3836524586524586,0.4499144189719329
