comparison,native_test_ba_delta_mean,native_test_ba_delta_std,lif_test_ba_delta_mean,lif_test_ba_delta_std,target_probe_test_ba_delta_mean,target_probe_test_ba_delta_std
phase_vs_capacity,0.05313112813112806,0.018270031411924858,-0.04660339660339663,0.08371715128246808,0.06399595774595777,0.023627758096073002
phase_vs_timeshared,0.017567848817848803,0.0748744463972681,-0.08926744551744552,0.08150823452059497,0.02569583194583197,0.02017710262774547
timeshared_vs_l2,0.08956090206090206,0.03196813035712555,0.05285640285640286,0.051221077004006306,0.09587495837495835,0.0392058089932061
