method,seed,aggregation,split,both_correct,both_wrong,l1_only_correct,l2_only_correct,oracle_union_accuracy,prediction_disagreement
l2_only_count,11,fixed250,test,0.3219178082191781,0.4452054794520548,0.136986301369863,0.0958904109589041,0.5547945205479452,0.4794520547945205
l2_only_count,11,fixed250,train,0.8588640275387264,0.03442340791738382,0.10671256454388985,0.0,0.9655765920826161,0.10671256454388985
l2_only_count,11,fixed250,val,0.3492063492063492,0.48412698412698413,0.10317460317460317,0.06349206349206349,0.5158730158730159,0.4126984126984127
l2_only_count,11,whole,test,0.3082191780821918,0.4863013698630137,0.10273972602739725,0.10273972602739725,0.5136986301369864,0.4041095890410959
l2_only_count,11,whole,train,0.8209982788296041,0.09294320137693632,0.012048192771084338,0.07401032702237521,0.9070567986230637,0.10671256454388985
l2_only_count,11,whole,val,0.30158730158730157,0.5476190476190477,0.0873015873015873,0.06349206349206349,0.4523809523809524,0.3492063492063492
l2_only_count,23,fixed250,test,0.2945205479452055,0.4246575342465753,0.10273972602739725,0.1780821917808219,0.5753424657534246,0.4931506849315068
l2_only_count,23,fixed250,train,0.8864027538726333,0.0378657487091222,0.0757314974182444,0.0,0.9621342512908778,0.08089500860585198
l2_only_count,23,fixed250,val,0.3253968253968254,0.46825396825396826,0.07936507936507936,0.12698412698412698,0.5317460317460317,0.4603174603174603
l2_only_count,23,whole,test,0.2671232876712329,0.4383561643835616,0.1506849315068493,0.14383561643835616,0.5616438356164384,0.541095890410959
l2_only_count,23,whole,train,0.8399311531841652,0.10154905335628227,0.039586919104991396,0.0189328743545611,0.8984509466437177,0.10154905335628227
l2_only_count,23,whole,val,0.2777777777777778,0.4365079365079365,0.12698412698412698,0.15873015873015872,0.5634920634920635,0.4603174603174603
l2_only_count,37,fixed250,test,0.3561643835616438,0.4246575342465753,0.1095890410958904,0.1095890410958904,0.5753424657534246,0.3835616438356164
l2_only_count,37,fixed250,train,0.8640275387263339,0.07917383820998279,0.05679862306368331,0.0,0.9208261617900172,0.06884681583476764
l2_only_count,37,fixed250,val,0.3253968253968254,0.5158730158730159,0.07936507936507936,0.07936507936507936,0.48412698412698413,0.2857142857142857
l2_only_count,37,whole,test,0.21232876712328766,0.4794520547945205,0.13013698630136986,0.1780821917808219,0.5205479452054794,0.5273972602739726
l2_only_count,37,whole,train,0.8795180722891566,0.07056798623063683,0.012048192771084338,0.0378657487091222,0.9294320137693631,0.06368330464716007
l2_only_count,37,whole,val,0.23015873015873015,0.46825396825396826,0.14285714285714285,0.15873015873015872,0.5317460317460317,0.5158730158730159
l1_l2_timeshared_count,11,fixed250,test,0.3835616438356164,0.4178082191780822,0.07534246575342465,0.1232876712328767,0.5821917808219178,0.3972602739726027
l1_l2_timeshared_count,11,fixed250,train,0.9380378657487092,0.039586919104991396,0.010327022375215147,0.012048192771084338,0.9604130808950087,0.027538726333907058
l1_l2_timeshared_count,11,fixed250,val,0.3968253968253968,0.4444444444444444,0.10317460317460317,0.05555555555555555,0.5555555555555556,0.3253968253968254
l1_l2_timeshared_count,11,whole,test,0.3082191780821918,0.4246575342465753,0.08904109589041095,0.1780821917808219,0.5753424657534246,0.4589041095890411
