method,seed,epoch,train_ba,val_ba,train_loss,val_loss
l2_only_count,11,1.0,0.0784800568908057,0.0535714285714285,7.398999216634517,3.63538670539856
l2_only_count,11,2.0,0.0907955660380758,0.0410714285714285,4.2791734611721335,3.241128921508789
l2_only_count,11,3.0,0.1241806047415107,0.0390873015873015,3.426741499909025,3.0037760734558105
l2_only_count,11,4.0,0.12406962547154,0.0801587301587301,2.99969495963722,2.822575092315674
l2_only_count,11,5.0,0.1518251701605397,0.0676587301587301,2.6887925988425487,2.74662184715271
l2_only_count,11,6.0,0.1539127617149275,0.0865079365079364,2.5418399028646763,2.657680034637451
l2_only_count,11,7.0,0.1788989383067274,0.0886904761904762,2.3778144677206488,2.5933175086975098
l2_only_count,11,8.0,0.1975095257040795,0.1039682539682539,2.2758807278336017,2.535890817642212
l2_only_count,11,9.0,0.2249485575174176,0.1053571428571428,2.161938833082399,2.526263475418091
l2_only_count,11,10.0,0.2332272836452929,0.1109126984126984,2.106075787503215,2.53735613822937
l2_only_count,11,11.0,0.2496244616617813,0.1311507936507936,2.0434210571282496,2.534162759780884
l2_only_count,11,12.0,0.2686397579668497,0.138095238095238,2.0061808215156067,2.524790048599243
l2_only_count,11,13.0,0.2933537713876241,0.1248015873015873,1.9624083423778649,2.4915621280670166
l2_only_count,11,14.0,0.3353560266697104,0.1303571428571428,1.92302057377853,2.461550235748291
l2_only_count,11,15.0,0.3515117206438006,0.1248015873015872,1.8680466614573836,2.424726724624634
l2_only_count,11,16.0,0.364498399775556,0.140079365079365,1.825372512697558,2.353947877883911
l2_only_count,11,17.0,0.3726916413677539,0.1484126984126984,1.7827208942882782,2.338498830795288
l2_only_count,11,18.0,0.3828382930354455,0.140079365079365,1.751721817326833,2.3811604976654053
l2_only_count,11,19.0,0.4053924337542152,0.1553571428571428,1.7182640846748156,2.327723264694214
l2_only_count,11,20.0,0.4026970924746618,0.1400793650793651,1.679834001651114,2.3154804706573486
l2_only_count,11,21.0,0.4245809291588622,0.1553571428571428,1.6514840647193527,2.3468289375305176
l2_only_count,11,22.0,0.4462405055976192,0.1553571428571428,1.620141553591533,2.341273546218872
l2_only_count,11,23.0,0.4575610699331207,0.1845238095238095,1.5747588409203876,2.3085532188415527
l2_only_count,11,24.0,0.4707062537487663,0.1873015873015873,1.5487430202365948,2.266079902648926
l2_only_count,11,25.0,0.4837470030270294,0.1928571428571428,1.5182344449776997,2.234140396118164
l2_only_count,11,26.0,0.5002220597126421,0.2081349206349206,1.4797489556921537,2.2277462482452397
l2_only_count,11,27.0,0.5255379750934869,0.2253968253968253,1.4575731559382454,2.212451696395874
l2_only_count,11,28.0,0.5283122218356366,0.2462301587301587,1.4213527365108365,2.1799471378326416
l2_only_count,11,29.0,0.5265676990251685,0.230952380952381,1.393395294831255,2.1983327865600586
l2_only_count,11,30.0,0.5320728588669004,0.2037698412698412,1.3743808199739702,2.2019927501678467
l2_only_count,11,31.0,0.5451040957012742,0.219047619047619,1.3410501237990728,2.197230339050293
l2_only_count,11,32.0,0.5638209410396525,0.2259920634920635,1.3229382128395435,2.1827492713928223
l2_only_count,11,33.0,0.5751742667573868,0.1696428571428571,1.2871746011527188,2.145448923110962
l2_only_count,11,34.0,0.5668535321984446,0.2266233766233766,1.2732402332473334,2.1820530891418457
l2_only_count,11,35.0,0.5820340422528478,0.2286075036075036,1.2610552622816444,2.187395572662353
l2_only_count,11,36.0,0.5856992302680635,0.2508297258297258,1.218586844339223,2.218317031860352
l2_only_count,11,37.0,0.5960457891195243,0.2488455988455988,1.1978463630052525,2.1926209926605225
l2_only_count,11,38.0,0.6009584376170785,0.2536075036075036,1.1763095404317991,2.183436870574951
l2_only_count,11,39.0,0.6006966828452885,0.2299963924963924,1.1562463888407986,2.163628101348877
l2_only_count,11,40.0,0.6157924124503596,0.2502344877344877,1.146847986621003,2.162166118621826
l2_only_count,11,41.0,0.6191812034900956,0.223051948051948,1.1298481638378202,2.1998002529144287
l2_only_count,11,42.0,0.6294588080141393,0.23757215007215,1.0921983589608986,2.2443525791168213
l2_only_count,11,43.0,0.6464211232848157,0.23757215007215,1.069915995950748,2.198148250579834
l2_only_count,11,44.0,0.6602992995126064,0.2341991341991341,1.0521810123514186,2.14373779296875
l2_only_count,11,45.0,0.6542860905952169,0.2778860028860029,1.0265609343983426,2.1710686683654785
l2_only_count,11,46.0,0.6670693769194762,0.2751082251082251,1.002613916864904,2.1580207347869877
l2_only_count,11,47.0,0.6892037582659861,0.2798701298701299,0.9773318919380436,2.186769723892212
l2_only_count,11,48.0,0.693378222625706,0.2715367965367965,0.9578226095838104,2.203876495361328
l2_only_count,11,49.0,0.699484026770726,0.2424963924963925,0.937382852456656,2.1869418621063232
l2_only_count,11,50.0,0.7123638780495335,0.2764971139971139,0.910325189465705,2.1937763690948486
l2_only_count,11,51.0,0.7159649201500252,0.2522186147186147,0.9075806245541204,2.227675676345825
l2_only_count,11,52.0,0.7213347621103191,0.2766594516594516,0.8984069136867425,2.221279621124268
l2_only_count,11,53.0,0.7382038062236735,0.2451479076479076,0.8639968017087336,2.306645631790161
l2_only_count,11,54.0,0.7260378993701512,0.2368145743145743,0.8413574952061533,2.3657357692718506
l2_only_count,11,55.0,0.7559470545513681,0.2778860028860029,0.8205899925527392,2.3820502758026123
l2_only_count,11,56.0,0.7600027445831019,0.2736832611832612,0.7978865152381989,2.405558824539185
l2_only_count,11,57.0,0.7564764415042182,0.2522186147186147,0.7654626188918359,2.4148106575012207
l2_only_count,11,58.0,0.7630921320474893,0.2522186147186148,0.7471963779651359,2.3911449909210205
l2_only_count,11,59.0,0.7750489710508969,0.2869408369408369,0.7286635538797165,2.35770583152771
l2_only_count,11,60.0,0.7836695090096701,0.2773809523809523,0.7136194161211562,2.4492175579071045
l2_only_count,11,61.0,0.7929869881536861,0.2634920634920635,0.6928903141448501,2.43280029296875
l2_only_count,11,62.0,0.7892303893603226,0.2634920634920635,0.6797041171799428,2.515188694000244
l2_only_count,11,63.0,0.7930599589374413,0.2968614718614718,0.6646990848900735,2.57639479637146
l2_only_count,11,64.0,0.7947913408569951,0.2780122655122655,0.6560961224536273,2.562040090560913
l2_only_count,11,65.0,0.8041543844155637,0.2893217893217892,0.6521918339696481,2.599475145339966
l2_only_count,11,66.0,0.8108459462604275,0.2988816738816738,0.6341275300913957,2.5507073402404785
l2_only_count,11,67.0,0.8130249446404063,0.2919372294372294,0.6193188435034169,2.539832830429077
l2_only_count,11,68.0,0.8247282521236791,0.3232864357864357,0.5995600860623608,2.6033146381378174
l2_only_count,11,69.0,0.8280866032069668,0.3051948051948052,0.5795003977987319,2.538534879684448
l2_only_count,11,70.0,0.8226859957780573,0.2817460317460317,0.5656876486570618,2.67776870727539
l2_only_count,11,71.0,0.8328028933853853,0.2718253968253968,0.551071770117328,2.780440092086792
l2_only_count,11,72.0,0.8337882611948392,0.2654761904761905,0.5466649258403483,2.777419328689575
l2_only_count,11,73.0,0.8335246071770676,0.3445526695526695,0.535908441073718,2.62805724143982
l2_only_count,11,74.0,0.840769538856148,0.318001443001443,0.5294514475919293,2.7877323627471924
l2_only_count,11,75.0,0.8391466381482479,0.2855880230880231,0.5257918232484446,2.7382326126098637
l2_only_count,11,76.0,0.8426836908637596,0.279076479076479,0.5313741512429899,2.7749593257904053
l2_only_count,11,77.0,0.8450945923312648,0.2763347763347763,0.5222117830061461,2.811361312866211
l2_only_count,11,78.0,0.8499426119159197,0.3008658008658009,0.5190633874957205,2.7076401710510254
l2_only_count,11,79.0,0.8438920578830759,0.2953102453102453,0.5181339859141746,2.7468864917755127
l2_only_count,11,80.0,0.8462721418824702,0.303481240981241,0.5027616232787475,2.5905582904815674
l2_only_count,11,81.0,0.8413654156748299,0.2834054834054834,0.5123772817101208,2.845388174057007
l2_only_count,11,82.0,0.8447664655690833,0.3237193362193362,0.5147925298308341,2.6954383850097656
l2_only_count,11,83.0,0.8470568094467837,0.2919372294372294,0.4767923631068966,2.842390298843384
l2_only_count,11,84.0,0.8607357187624857,0.2903499278499278,0.465115913169109,2.830983877182007
l2_only_count,11,85.0,0.8597356145042406,0.300998075998076,0.4436099131218127,2.721418857574463
l2_only_count,11,86.0,0.8647824694285466,0.3187590187590187,0.4321252819593104,2.6489388942718506
l2_only_count,11,87.0,0.8637270985466391,0.3104617604617604,0.4173343674040907,2.7035374641418457
l2_only_count,11,88.0,0.8708010467041576,0.3072150072150072,0.4041980721966945,2.8301470279693604
l2_only_count,11,89.0,0.8692892596531551,0.3320526695526695,0.3974838026009,2.811553955078125
l2_only_count,11,90.0,0.8752074286016113,0.3459415584415584,0.388711874333183,2.770458698272705
l2_only_count,11,91.0,0.8746904724394938,0.3243506493506493,0.3823039492723659,2.8078837394714355
l2_only_count,11,92.0,0.8795462080735312,0.3167748917748917,0.3750487779380942,2.8365650177001958
l2_only_count,11,93.0,0.8793450513080957,0.3187590187590187,0.3656240736042981,2.8425114154815674
l2_only_count,11,94.0,0.8867887333043581,0.3549062049062049,0.3679530970405998,2.851541519165039
l2_only_count,11,95.0,0.8901814893746947,0.3291125541125541,0.3530539761004062,2.9146900177001958
l2_only_count,11,96.0,0.8931699384230772,0.34498556998557,0.347358320799629,2.9639902114868164
l2_only_count,11,97.0,0.8879491742990111,0.3360569985569985,0.340908367949796,3.0647103786468506
l2_only_count,11,98.0,0.895167819499946,0.3737554112554112,0.3383985168962593,3.0367534160614014
l2_only_count,11,99.0,0.8993511066674174,0.3687950937950937,0.3325451828423958,2.932288646697998
l2_only_count,11,100.0,0.8962076383463685,0.3396284271284271,0.3311167411159935,2.996893405914306
l2_only_count,23,1.0,0.0599515633942659,0.0886904761904762,3.595148496496493,2.694020271301269
l2_only_count,23,2.0,0.1022947338506439,0.1198412698412698,2.825460618621511,2.4038937091827397
l2_only_count,23,3.0,0.1157018021286889,0.1128968253968254,2.5673577539276544,2.391113758087158
