method,aggregation,split,both_correct_mean,both_correct_std,l1_only_correct_mean,l1_only_correct_std,l2_only_correct_mean,l2_only_correct_std,both_wrong_mean,both_wrong_std,prediction_disagreement_mean,prediction_disagreement_std,oracle_union_accuracy_mean,oracle_union_accuracy_std
l2_only_count,fixed250,test,0.3242009132420091,0.030885272279608855,0.11643835616438354,0.018121584322360208,0.1278538812785388,0.04403493498170299,0.4315068493150685,0.011863361695677232,0.4520547945205479,0.05971094443206401,0.5684931506849314,0.011863361695677265
l2_only_count,fixed250,train,0.8697647733792312,0.01463838304322784,0.07974756167527251,0.025198154051632532,0.0,0.0,0.05048766494549627,0.024902506499381187,0.08548479632816981,0.019345628571528824,0.9495123350545037,0.024902506499381194
l2_only_count,fixed250,val,0.3333333333333333,0.013746434980705382,0.08730158730158728,0.013746434980705375,0.08994708994708994,0.03304231745184338,0.4894179894179895,0.024246432248443636,0.3862433862433862,0.09025778893773535,0.5105820105820106,0.024246432248443594
l2_only_count,whole,test,0.2625570776255708,0.04810800800389382,0.1278538812785388,0.024054004001946884,0.1415525114155251,0.037723085940315766,0.4680365296803653,0.025931088336987554,0.49086757990867586,0.07544617188063157,0.5319634703196346,0.02593108833698756
l2_only_count,whole,train,0.846815834767642,0.029861190314797694,0.021227768215720023,0.015899491062020675,0.04360298336201951,0.027983358343676875,0.08835341365461846,0.015992380797207516,0.09064830751577739,0.023494658897812125,0.9116465863453814,0.015992380797207495
l2_only_count,whole,val,0.2698412698412698,0.03636964837266538,0.11904761904761903,0.028615486313206262,0.12698412698412698,0.0549857399228215,0.4841269841269842,0.05723097262641255,0.4417989417989418,0.08486251286955261,0.5158730158730158,0.057230972626412545
l1_l2_timeshared_count,fixed250,test,0.4200913242009132,0.04185000634662867,0.091324200913242,0.014257986297713236,0.1004566210045662,0.02405400400194689,0.3881278538812785,0.030885272279608873,0.38127853881278534,0.014257986297713235,0.6118721461187214,0.030885272279608918
l1_l2_timeshared_count,fixed250,train,0.9271371199082042,0.03652505804336665,0.03155479059093517,0.024603306531717228,0.0051635111876075735,0.006205768116117021,0.03614457831325301,0.01746797171272327,0.04130808950086058,0.02384923659303101,0.963855421686747,0.017467971712723303
l1_l2_timeshared_count,fixed250,val,0.36772486772486773,0.027872099875271797,0.10317460317460318,0.0,0.07936507936507936,0.0209980262782904,0.44973544973544977,0.01652115872592169,0.373015873015873,0.04761904761904763,0.5502645502645502,0.016521158725921678
l1_l2_timeshared_count,whole,test,0.3242009132420091,0.022017467490851508,0.11643835616438354,0.04166275705683712,0.1506849315068493,0.02469555668126021,0.408675799086758,0.027681177289913553,0.4406392694063927,0.07029591012940936,0.591324200913242,0.02768117728991361
l1_l2_timeshared_count,whole,train,0.7550200803212852,0.07319191521613924,0.03557085484796328,0.02912459012391751,0.0981067125645439,0.07758642113311287,0.11130235226620767,0.08276545130029339,0.16580608146873207,0.041889671454439045,0.8886976477337923,0.08276545130029336
l1_l2_timeshared_count,whole,val,0.34920634920634924,0.00793650793650795,0.09523809523809523,0.0,0.09788359788359786,0.05102460720102092,0.4576719576719577,0.043710877359413494,0.3439153439153439,0.10804538548498485,0.5423280423280423,0.04371087735941352
l1_fixed250_l2_whole_count,fixed250,test,0.4315068493150685,0.04794520547945202,0.0867579908675799,0.037723085940315766,0.13013698630136986,0.0410958904109589,0.3515981735159817,0.02092500317331435,0.3904109589041096,0.08554791778627942,0.6484018264840182,0.020925003173314374
l1_fixed250_l2_whole_count,fixed250,train,0.9684452094090648,0.02292023448702026,0.020654044750430294,0.028438402137449754,0.005737234652897303,0.009937181913762921,0.0051635111876075735,0.0017211703958691911,0.028112449799196786,0.02537388914227881,0.9948364888123925,0.001721170395869262
l1_fixed250_l2_whole_count,fixed250,val,0.39153439153439157,0.0674992106993284,0.1455026455026455,0.04512889446886768,0.12433862433862435,0.03304231745184338,0.3386243386243386,0.019973106971615764,0.42328042328042326,0.12123216124221803,0.6613756613756614,0.019973106971615702
l1_fixed250_l2_whole_count,whole,test,0.3059360730593607,0.08171474962636201,0.16210045662100456,0.04128571077631306,0.14840182648401826,0.030885272279608862,0.3835616438356164,0.020547945205479458,0.5205479452054794,0.08554791778627946,0.6164383561643836,0.020547945205479423
l1_fixed250_l2_whole_count,whole,train,0.8072289156626505,0.0062057681161169775,0.05163511187607573,0.035815235880696746,0.07515777395295468,0.04132004034430485,0.065978198508319,0.000993718191376291,0.1572002294893861,0.012211013570735941,0.934021801491681,0.000993718191376277
l1_fixed250_l2_whole_count,whole,val,0.31216931216931215,0.024246432248443594,0.14814814814814814,0.01997310697161574,0.15079365079365079,0.023809523809523808,0.38888888888888884,0.020998026278290397,0.4920634920634921,0.04827589309760494,0.6111111111111112,0.02099802627829039
l1_capacity_no_phase_l2_whole_count,fixed250,test,0.3356164383561644,0.07534246575342468,0.14840182648401826,0.04185000634662867,0.11187214611872147,0.014257986297713236,0.4041095890410959,0.029855472216032006,0.45662100456621,0.11987932048242074,0.5958904109589042,0.029855472216031995
l1_capacity_no_phase_l2_whole_count,fixed250,train,0.9282845668387837,0.040008728334162115,0.03098106712564544,0.02535442317152536,0.004016064257028113,0.005532788732640824,0.036718301778542746,0.01626786790448402,0.040160642570281124,0.02668276753696726,0.9632816982214573,0.016267867904484045
l1_capacity_no_phase_l2_whole_count,fixed250,val,0.3862433862433862,0.045128894468867684,0.12698412698412698,0.0549857399228215,0.06084656084656084,0.03004713410476335,0.4259259259259259,0.009164289987136916,0.335978835978836,0.08486251286955258,0.5740740740740741,0.009164289987136932
l1_capacity_no_phase_l2_whole_count,whole,test,0.31963470319634707,0.048593143045188934,0.15296803652968036,0.015817815594236322,0.11643835616438354,0.00684931506849315,0.4109589041095891,0.0273972602739726,0.4680365296803653,0.04128571077631308,0.589041095890411,0.0273972602739726
l1_capacity_no_phase_l2_whole_count,whole,train,0.8014916810097533,0.09013303371980962,0.024670109007458405,0.008663034349134539,0.07630522088353414,0.05366998263997407,0.09753298909925416,0.04561372165301425,0.1348250143430866,0.05714527640746226,0.9024670109007459,0.04561372165301428
l1_capacity_no_phase_l2_whole_count,whole,val,0.31216931216931215,0.0437108773594135,0.14285714285714285,0.02749286996141075,0.0925925925925926,0.01652115872592169,0.4523809523809524,0.020998026278290408,0.38359788359788355,0.10235736572567782,0.5476190476190476,0.02099802627829038
