comparison,seed,native_test_ba_delta,lif_test_ba_delta,target_probe_test_ba_delta
phase_vs_capacity,11,0.07399198024198012,-0.1234314296814297,0.05552919302919307
phase_vs_capacity,23,0.04542332667332666,-0.05899933399933402,0.09069055944055948
phase_vs_capacity,37,0.03997807747807741,0.04262057387057383,0.04576812076812076
phase_vs_timeshared,11,0.09553779553779546,-0.1471486846486846,0.023712398712398775
phase_vs_timeshared,23,0.010935592185592258,-0.12459901209901211,0.04679140304140306
phase_vs_timeshared,37,-0.0537698412698413,0.003945360195360181,0.0065836940836940805
timeshared_vs_l2,11,0.05851578976578975,0.07555291930291935,0.051848845598845617
timeshared_vs_l2,23,0.0877886002886003,0.08880772005772003,0.12701881451881447
timeshared_vs_l2,37,0.12237831612831612,-0.005791430791430796,0.10875721500721497
