method,seed,native_test_ba,native_val_ba,lif_test_ba,lif_penalty,accumulator_equivalence_error,l1_score_rms,l2_score_rms,l1_score_rms_fraction,best_epoch,parameter_count
l2_only_count,11,0.37871503496503495,0.3737554112554112,0.3017711455211454,0.07694388944388952,1.52587890625e-05,0.0,9.047957420349121,0.0,98,21760
l2_only_count,23,0.39406218781218777,0.4278799903799904,0.28017329892329895,0.11388888888888882,1.33514404296875e-05,0.0,8.182674407958984,0.0,80,21760
l2_only_count,37,0.36166888666888664,0.38566017316017315,0.2878323065823066,0.07383658008658006,1.52587890625e-05,0.0,12.171529769897461,0.0,95,21760
l1_l2_timeshared_count,11,0.4372308247308247,0.4756433381433382,0.3773240648240648,0.05990675990675992,2.288818359375e-05,4.088564872741699,7.3749589920043945,0.35665864362312794,86,23296
l1_l2_timeshared_count,23,0.4818507881007881,0.42623857623857614,0.368981018981019,0.11286976911976909,1.1444091796875e-05,3.7502033710479736,8.849642753601074,0.2976388230417719,74,23296
l1_l2_timeshared_count,37,0.48404720279720276,0.4762265512265513,0.2820408757908758,0.20200632700632698,1.1444091796875e-05,4.151820659637451,11.07918930053711,0.2725899773221518,81,23296
l1_fixed250_l2_whole_count,11,0.5327686202686202,0.6285894660894661,0.23017538017538017,0.30259324009323996,1.52587890625e-05,10.779244422912598,7.616802215576172,0.5859543974171023,97,46336
l1_fixed250_l2_whole_count,23,0.49278638028638033,0.6038179413179413,0.24438200688200687,0.24840437340437346,1.1444091796875e-05,14.337103843688965,7.050046443939209,0.6703606441659762,72,46336
l1_fixed250_l2_whole_count,37,0.43027736152736146,0.5382094757094757,0.28598623598623596,0.1442911255411255,7.62939453125e-06,7.2283759117126465,4.9966230392456055,0.5912782439254158,37,46336
l1_capacity_no_phase_l2_whole_count,11,0.45877664002664004,0.47088143338143335,0.35360680985680987,0.10516983016983017,9.5367431640625e-06,6.651932239532471,7.5380730628967285,0.46877588117558494,77,46336
l1_capacity_no_phase_l2_whole_count,23,0.4473630536130537,0.45933742183742193,0.3033813408813409,0.14398171273171279,9.5367431640625e-06,10.5477876663208,8.72667121887207,0.5472417010069154,81,46336
l1_capacity_no_phase_l2_whole_count,37,0.39029928404928405,0.4890632515632516,0.24336566211566213,0.14693362193362192,7.62939453125e-06,7.594653606414795,6.6960954666137695,0.5314384548776699,62,46336
