method,seed,fixed250_fusion_gain_over_best_single,l1whole_l2fixed250_gain_over_l2fixed250,reverse_mixed_gain_over_best_component,whole_fusion_gain_over_best_single
l2_only_count,11,-0.005706793206793237,0.012362637362637319,-0.009027777777777857,0.004649517149517224
l2_only_count,23,-0.011904761904761918,-0.006944444444444475,-0.01737637362637362,-0.013701576201576138
l2_only_count,37,-0.006746031746031722,-0.011904761904761918,-0.014323870573870523,0.04688436563436571
l1_l2_timeshared_count,11,0.007575757575757569,0.00045787545787545625,0.013009906759906764,-0.03290737040737035
l1_l2_timeshared_count,23,-0.05638111888111885,0.022321428571428603,0.019617882117882124,0.01569957819957829
l1_l2_timeshared_count,37,-0.04427794427794429,-0.04775224775224779,0.0025543900543900655,0.06687617937617923
l1_fixed250_l2_whole_count,11,0.008658008658008587,0.03463203463203457,-0.007936507936507908,-0.035497835497835584
l1_fixed250_l2_whole_count,23,0.009063852813852802,0.022470584970585072,0.056063381063381046,0.017861999111999205
l1_fixed250_l2_whole_count,37,0.04340104340104334,0.01831501831501836,0.07427433677433676,0.018648712398712464
l1_capacity_no_phase_l2_whole_count,11,0.011256105006105022,0.09725621600621598,0.025732600732600752,0.007891414141414144
l1_capacity_no_phase_l2_whole_count,23,-0.027354589854589884,-0.03995310245310241,-0.019171800421800445,-0.0018245643245643484
l1_capacity_no_phase_l2_whole_count,37,-0.014184426684426599,-0.021561771561771526,0.010914779664779717,-0.01852869352869352
