reset_case,phase,delay_steps,layer,state,corr_mean_mean,corr_mean_std,corr_mean_count,cosine_mean_mean,cosine_mean_std,cosine_mean_count,normalized_l2_mean_mean,normalized_l2_mean_std,normalized_l2_mean_count
intact,0.25,0,L1,spike50,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,0,L1,syn_current,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,0,L1,pre_reset,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,0,L2,spike50,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,0,L2,syn_current,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,0,L2,pre_reset,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,1,L1,spike50,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,1,L1,syn_current,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,1,L1,pre_reset,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,1,L2,spike50,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,1,L2,syn_current,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,1,L2,pre_reset,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,2,L1,spike50,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,2,L1,syn_current,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,2,L1,pre_reset,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,2,L2,spike50,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,2,L2,syn_current,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,2,L2,pre_reset,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,4,L1,spike50,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,4,L1,syn_current,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,4,L1,pre_reset,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,4,L2,spike50,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,4,L2,syn_current,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,4,L2,pre_reset,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,8,L1,spike50,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,8,L1,syn_current,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,8,L1,pre_reset,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,8,L2,spike50,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,8,L2,syn_current,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,8,L2,pre_reset,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,16,L1,spike50,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,16,L1,syn_current,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,16,L1,pre_reset,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,16,L2,spike50,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,16,L2,syn_current,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,16,L2,pre_reset,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,32,L1,spike50,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,32,L1,syn_current,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,32,L1,pre_reset,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
intact,0.25,32,L2,spike50,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6
