topology,tau_mem_ms,output_whole_count_ba_mean,output_whole_count_ba_std,output_whole_count_ba_count,hidden_whole_count_linear_ba_mean,hidden_whole_count_linear_ba_std,hidden_whole_count_linear_ba_count,uend_linear_ba_mean,uend_linear_ba_std,uend_linear_ba_count,uend_minus_hidden_count_ba_mean,uend_minus_hidden_count_ba_std,uend_minus_hidden_count_ba_count,uend_minus_output_count_ba_mean,uend_minus_output_count_ba_std,uend_minus_output_count_ba_count,state_events_per_neuron_second_mean,state_events_per_neuron_second_std,state_events_per_neuron_second_count,output_events_per_neuron_second_mean,output_events_per_neuron_second_std,output_events_per_neuron_second_count,state_tail_event_fraction_mean,state_tail_event_fraction_std,state_tail_event_fraction_count,output_tail_event_fraction_mean,output_tail_event_fraction_std,output_tail_event_fraction_count
dense,250,0.49798964923964917,0.04748012784710363,5,0.5021002608502607,0.024832926355569447,5,0.5444946719946719,0.014334073198434188,5,0.04239441114441112,0.03530654427072916,5,0.04650502275502278,0.05933363560638398,5,37.31818359584024,9.473720996777336,5,180.47138607077403,46.09089934712394,5,0.23227576760396565,0.06539659925116388,5,0.2244211009716334,0.06499960449259697,5
dense,500,0.4666393328893329,0.0391823316123585,5,0.48389957264957256,0.02444667867214838,5,0.5285175935175934,0.042687927836862774,5,0.04461802086802088,0.054834589397342176,5,0.06187826062826057,0.06923695774886188,5,31.24139298739499,13.11161937476469,5,143.4367169837429,76.65746475546636,5,0.2718816120738852,0.13910191826802668,5,0.23923271070808574,0.13210029162579615,5
diagonal,250,0.46157106782106777,0.029477912475031415,5,0.4970758408258408,0.0244407768947994,5,0.22120074370074366,0.0187851338196148,5,-0.2758750971250971,0.025292434694775493,5,-0.2403703241203241,0.02724055269522108,5,72.50589216049403,6.067580621049176,5,423.82458521176693,43.42046602586186,5,0.008220933043487267,0.005017470385429951,5,0.010186478573420685,0.007617825280514759,5
diagonal,500,0.4726903651903652,0.04681192045840902,5,0.5216385003885003,0.032234816231754226,5,0.24876151626151627,0.04225392312893479,5,-0.2728769841269841,0.028815498626008757,5,-0.22392884892884896,0.06507392020136728,5,71.02422844873715,12.371805107248184,5,400.41970745766,72.47596213654272,5,0.013511488199782595,0.008892116122802487,5,0.022638656229278305,0.01621479810521869,5
ff,250,0.4720598845598845,0.027412074643867954,5,0.5160524198024199,0.022841540063914156,5,0.17818334443334438,0.02992003520378638,5,-0.3378690753690754,0.045604401955017075,5,-0.2938765401265401,0.0351815834620122,5,57.27697517708557,3.4308780196827944,5,388.5139594927226,28.79323255606498,5,2.3992697880539583e-06,4.242327888057058e-06,5,0.00044948931222088003,0.000304686934228335,5
ff,500,0.4531529581529582,0.021038279339120627,5,0.5148996836496835,0.016929887661607856,5,0.23060883560883552,0.017028012158952364,5,-0.284290848040848,0.026899769371901337,5,-0.22254412254412254,0.018851182483964966,5,52.783206176757815,5.127865052193031,5,354.62930335475977,57.16429296092234,5,2.4404668580893785e-06,3.716117617610926e-06,5,0.00028680286255393557,0.00018895043842803136,5
