effect,tau_mem_ms,readout,mean,std,count
dense_minus_diagonal,250,hidden_whole_count_linear,0.00502442002442004,0.014208246607514758,5
dense_minus_diagonal,250,output_whole_count,0.03641858141858138,0.06507444393839958,5
dense_minus_diagonal,250,uend_linear,0.32329392829392833,0.028224553251836752,5
dense_minus_diagonal,500,hidden_whole_count_linear,-0.037738927738927744,0.03553452675919011,5
dense_minus_diagonal,500,output_whole_count,-0.006051032301032322,0.05633451099761244,5
dense_minus_diagonal,500,uend_linear,0.2797560772560772,0.05341788014487699,5
dense_minus_ff,250,hidden_whole_count_linear,-0.013952158952158978,0.039393815904925036,5
dense_minus_ff,250,output_whole_count,0.025929764679764666,0.0706796132831191,5
dense_minus_ff,250,uend_linear,0.36631132756132756,0.027934428700769093,5
dense_minus_ff,500,hidden_whole_count_linear,-0.031000111000111,0.017978745656767704,5
dense_minus_ff,500,output_whole_count,0.013486374736374717,0.04514309396790082,5
dense_minus_ff,500,uend_linear,0.2979087579087579,0.03587453600218602,5
diagonal_minus_ff,250,hidden_whole_count_linear,-0.018976578976579016,0.030608355835010034,5
diagonal_minus_ff,250,output_whole_count,-0.01048881673881672,0.025018392374521966,5
diagonal_minus_ff,250,uend_linear,0.043017399267399295,0.0385919748067335,5
diagonal_minus_ff,500,hidden_whole_count_linear,0.006738816738816744,0.039846044230493594,5
diagonal_minus_ff,500,output_whole_count,0.01953740703740704,0.030075200886417974,5
diagonal_minus_ff,500,uend_linear,0.01815268065268071,0.033918140158735066,5
