effect,tau_mem_ms,seed,readout,delta_ba
diagonal_minus_ff,250,11,output_whole_count,0.018722943722943752
diagonal_minus_ff,250,11,hidden_whole_count_linear,0.02736291486291481
diagonal_minus_ff,250,11,uend_linear,0.008358308358308392
dense_minus_diagonal,250,11,output_whole_count,0.06539085914085918
dense_minus_diagonal,250,11,hidden_whole_count_linear,0.021951659451659444
dense_minus_diagonal,250,11,uend_linear,0.32578740703740705
dense_minus_ff,250,11,output_whole_count,0.08411380286380293
dense_minus_ff,250,11,hidden_whole_count_linear,0.049314574314574255
dense_minus_ff,250,11,uend_linear,0.3341457153957154
diagonal_minus_ff,250,23,output_whole_count,-0.03720238095238099
diagonal_minus_ff,250,23,hidden_whole_count_linear,-0.005643661893661944
diagonal_minus_ff,250,23,uend_linear,0.056236818736818794
dense_minus_diagonal,250,23,output_whole_count,-0.03125138750138756
dense_minus_diagonal,250,23,hidden_whole_count_linear,-0.011111111111111072
dense_minus_diagonal,250,23,uend_linear,0.3116057553557554
dense_minus_ff,250,23,output_whole_count,-0.06845376845376855
dense_minus_ff,250,23,hidden_whole_count_linear,-0.016754773004773016
dense_minus_ff,250,23,uend_linear,0.36784257409257415
diagonal_minus_ff,250,37,output_whole_count,-0.028957153957153925
diagonal_minus_ff,250,37,hidden_whole_count_linear,-0.0511030636030636
diagonal_minus_ff,250,37,uend_linear,0.025933094683094682
dense_minus_diagonal,250,37,output_whole_count,0.05241286491286484
dense_minus_diagonal,250,37,hidden_whole_count_linear,-0.00841450216450218
dense_minus_diagonal,250,37,uend_linear,0.36718420468420476
dense_minus_ff,250,37,output_whole_count,0.023455710955710918
dense_minus_ff,250,37,hidden_whole_count_linear,-0.05951756576756578
dense_minus_ff,250,37,uend_linear,0.39311729936729944
diagonal_minus_ff,250,53,output_whole_count,0.012795537795537826
diagonal_minus_ff,250,53,hidden_whole_count_linear,-0.03508089133089137
diagonal_minus_ff,250,53,uend_linear,0.02016386391386396
dense_minus_diagonal,250,53,output_whole_count,-0.02641386391386391
dense_minus_diagonal,250,53,hidden_whole_count_linear,0.011469780219780235
dense_minus_diagonal,250,53,uend_linear,0.32199952824952827
dense_minus_ff,250,53,output_whole_count,-0.013618326118326085
dense_minus_ff,250,53,hidden_whole_count_linear,-0.023611111111111138
dense_minus_ff,250,53,uend_linear,0.3421633921633922
diagonal_minus_ff,250,71,output_whole_count,-0.017803030303030265
diagonal_minus_ff,250,71,hidden_whole_count_linear,-0.030418192918192977
diagonal_minus_ff,250,71,uend_linear,0.10439491064491066
dense_minus_diagonal,250,71,output_whole_count,0.12195443445443438
dense_minus_diagonal,250,71,hidden_whole_count_linear,0.011226273726273772
dense_minus_diagonal,250,71,uend_linear,0.28989274614274607
dense_minus_ff,250,71,output_whole_count,0.10415140415140411
dense_minus_ff,250,71,hidden_whole_count_linear,-0.019191919191919204
dense_minus_ff,250,71,uend_linear,0.39428765678765676
diagonal_minus_ff,500,11,output_whole_count,0.059595959595959536
diagonal_minus_ff,500,11,hidden_whole_count_linear,0.02110389610389607
diagonal_minus_ff,500,11,uend_linear,-0.0031184093684092917
dense_minus_diagonal,500,11,output_whole_count,-0.04322691197691192
dense_minus_diagonal,500,11,hidden_whole_count_linear,-0.06867507492507491
dense_minus_diagonal,500,11,uend_linear,0.30447677322677313
dense_minus_ff,500,11,output_whole_count,0.016369047619047616
dense_minus_ff,500,11,hidden_whole_count_linear,-0.04757117882117884
dense_minus_ff,500,11,uend_linear,0.30135836385836384
diagonal_minus_ff,500,23,output_whole_count,-0.003805916305916257
diagonal_minus_ff,500,23,hidden_whole_count_linear,-0.0008949383949384826
diagonal_minus_ff,500,23,uend_linear,0.05400432900432911
dense_minus_diagonal,500,23,output_whole_count,-0.004946442446442434
dense_minus_diagonal,500,23,hidden_whole_count_linear,-0.02817044067044061
dense_minus_diagonal,500,23,uend_linear,0.18794746919746919
dense_minus_ff,500,23,output_whole_count,-0.008752358752358691
dense_minus_ff,500,23,hidden_whole_count_linear,-0.029065379065379093
dense_minus_ff,500,23,uend_linear,0.2419517982017983
diagonal_minus_ff,500,37,output_whole_count,-0.012513181263181239
diagonal_minus_ff,500,37,hidden_whole_count_linear,-0.0007735320235320309
diagonal_minus_ff,500,37,uend_linear,0.046101814851814915
dense_minus_diagonal,500,37,output_whole_count,0.018802031302031286
dense_minus_diagonal,500,37,hidden_whole_count_linear,-0.007972582972582964
dense_minus_diagonal,500,37,uend_linear,0.2781260406260407
dense_minus_ff,500,37,output_whole_count,0.006288850038850047
dense_minus_ff,500,37,hidden_whole_count_linear,-0.008746114996114995
dense_minus_ff,500,37,uend_linear,0.3242278554778556
diagonal_minus_ff,500,53,output_whole_count,0.014484126984126988
diagonal_minus_ff,500,53,hidden_whole_count_linear,-0.04777722277722268
diagonal_minus_ff,500,53,uend_linear,-0.02738580863580864
dense_minus_diagonal,500,53,output_whole_count,0.07246364746364742
dense_minus_diagonal,500,53,hidden_whole_count_linear,-0.0026896714396714705
dense_minus_diagonal,500,53,uend_linear,0.3163745976245975
dense_minus_ff,500,53,output_whole_count,0.0869477744477744
dense_minus_ff,500,53,hidden_whole_count_linear,-0.050466894216894154
dense_minus_ff,500,53,uend_linear,0.2889887889887889
diagonal_minus_ff,500,71,output_whole_count,0.03992604617604617
diagonal_minus_ff,500,71,hidden_whole_count_linear,0.06203588078588085
diagonal_minus_ff,500,71,uend_linear,0.021161477411477447
dense_minus_diagonal,500,71,output_whole_count,-0.07334748584748596
dense_minus_diagonal,500,71,hidden_whole_count_linear,-0.08118686868686875
dense_minus_diagonal,500,71,uend_linear,0.31185550560550557
dense_minus_ff,500,71,output_whole_count,-0.03342143967143979
dense_minus_ff,500,71,hidden_whole_count_linear,-0.019150987900987904
dense_minus_ff,500,71,uend_linear,0.333016983016983
