label,train,val,test
A,50,12,10
B,53,12,10
C,58,14,12
D,58,11,11
E,55,13,12
G,53,13,10
H,60,13,12
I,56,13,11
J,58,12,11
K,57,14,12
L,36,9,7
X,46,9,8
