metric,A_raw_reference,B_raw_to_reconstruction
CNN_test_balanced_accuracy,0.13005050505050506,0.12247474747474747
CNN_test_accuracy,0.14285714285714285,0.1349206349206349
CNN_test_macro_f1,0.07114035087719299,0.0538124582077062
kNN_selected_k,3.0,3.0
kNN_test_balanced_accuracy,0.20493326118326116,0.0755050505050505
kNN_test_accuracy,0.20634920634920634,0.07936507936507936
kNN_test_macro_f1,0.18564575856242524,0.0666016016016016
prototype_test_balanced_accuracy,0.24235209235209235,0.09280303030303032
prototype_test_accuracy,0.2222222222222222,0.09523809523809523
prototype_test_macro_f1,0.18943163519250472,0.052032701597918986
linear_probe_test_balanced_accuracy,0.20594336219336215,0.08282828282828282
linear_probe_test_accuracy,0.20634920634920634,0.0873015873015873
linear_probe_test_macro_f1,0.21177266552008556,0.05618113770287684
retrieval_macro_mAP,0.123941570412145,0.10277776367112484
retrieval_micro_mAP,0.12417233857002365,0.1041686489422194
SameLabel_macro_at_1,0.15569083694083696,0.07140151515151516
SameLabel_micro_at_1,0.15079365079365079,0.07142857142857142
D_intra_macro,0.06424172132177774,0.041266059076163535
D_inter_centroids,0.027686821296811104,0.008180753327906132
D_inter_over_D_intra,0.4309788207215172,0.198244114191009
NMI_arithmetic,0.30722717590694754,0.25691250031461355
ARI,0.05203685727971766,0.021576188065711665
silhouette_macro,-0.31636742320726857,-0.34983687498619515
silhouette_micro,-0.33618800492278955,-0.36766762062639213
