,A Raw,B Frozen→Recon,C Recon,D Raw,D Recon
CNN-S,0.2423520923520923,0.0928030303030303,0.1382034632034632,0.09375,0.0965909090909091
CNN-M,0.2699314574314574,0.235551948051948,0.2236562049062049,0.2502886002886003,0.1118686868686868
CNN-L,0.5103986291486291,0.3218795093795094,0.3608104858104858,0.4943482443482443,0.3189333814333814
