,A Raw,B Frozen→Recon,C Recon,D Raw,D Recon
CNN-S,0.2059433621933621,0.0828282828282828,0.1484848484848484,0.1351641414141414,0.117550505050505
CNN-M,0.3231150793650793,0.1379148629148629,0.2179383116883116,0.3628246753246753,0.1549603174603174
CNN-L,0.4842352092352092,0.3644781144781145,0.3977873977873978,0.5128367003367004,0.3651695526695526
