,A Raw,B Frozen→Recon,C Recon,D Raw,D Recon
CNN-S,0.0642416178523727,0.0412660590761635,0.0709163828652534,0.0419385438347677,0.036367558574198
CNN-M,0.0508700502078013,0.03757888155594,0.0325691204333081,0.0572132538681191,0.0493505557315258
CNN-L,0.093585176827063,0.0537173634768755,0.0751755068848297,0.056383099068382,0.0757470675822993
