,A Raw,B Frozen→Recon,C Recon,D Raw,D Recon
CNN-S,0.4309791089472916,0.198244114191009,0.1795391145344476,0.144975751454323,0.2260031928443215
CNN-M,0.4010651485812566,0.3430785682050976,0.2825164546955629,0.4068629177725654,0.2359587778487216
CNN-L,0.7346557932107367,0.9790455339827616,0.382128336344587,1.185250333437712,0.4519290431572121
