,A Raw,B Frozen→Recon,C Recon,D Raw,D Recon
CNN-S,0.0214970214970215,0.0133819951338199,0.0170097198399085,0.1317720678014795,0.1787094547964113
CNN-M,0.2442278108851457,0.1935052286034053,0.240148314946702,0.2513010122505007,0.3038168240809567
CNN-L,0.5240478835301491,0.1448383657685983,0.5862259643799892,0.5126148615477434,0.6551393641187887
