,A Raw,B Frozen→Recon,C Recon,D Raw,D Recon
CNN-S,-0.3163678620332191,-0.3498368749861951,-0.3279674131322477,-0.3176045458448662,-0.3565634576131575
CNN-M,-0.1917933342062678,-0.259324749772303,-0.2391255431990842,-0.2135027882921976,-0.2460147523359876
CNN-L,-0.0189217806751757,-0.0290087784030002,-0.1097141799485151,0.0731418224071004,-0.1067659543511628
