Metric,Probe,Condition,Value
D_intra_macro,CNN-S,D Raw,0.0419385438347677
D_intra_macro,CNN-S,D Recon,0.036367558574198
D_intra_macro,CNN-M,A Raw,0.0508700502078013
D_intra_macro,CNN-M,B Frozen→Recon,0.03757888155594
D_intra_macro,CNN-M,C Recon,0.0325691204333081
D_intra_macro,CNN-M,D Raw,0.0572132538681191
D_intra_macro,CNN-M,D Recon,0.0493505557315258
D_intra_macro,CNN-L,A Raw,0.093585176827063
D_intra_macro,CNN-L,B Frozen→Recon,0.0537173634768755
D_intra_macro,CNN-L,C Recon,0.0751755068848297
D_intra_macro,CNN-L,D Raw,0.056383099068382
D_intra_macro,CNN-L,D Recon,0.0757470675822993
D_inter_centroids,CNN-S,A Raw,0.027686795219779
D_inter_centroids,CNN-S,B Frozen→Recon,0.0081807533279061
D_inter_centroids,CNN-S,C Recon,0.012732264585793
D_inter_centroids,CNN-S,D Raw,0.0060800719074904
D_inter_centroids,CNN-S,D Recon,0.0082191843539476
D_inter_centroids,CNN-M,A Raw,0.0204022042453289
D_inter_centroids,CNN-M,B Frozen→Recon,0.0128925088793039
D_inter_centroids,CNN-M,C Recon,0.0092013124376535
D_inter_centroids,CNN-M,D Raw,0.0232779514044523
D_inter_centroids,CNN-M,D Recon,0.011644696816802
D_inter_centroids,CNN-L,A Raw,0.0687528923153877
D_inter_centroids,CNN-L,B Frozen→Recon,0.0525917448103427
D_inter_centroids,CNN-L,C Recon,0.0287266913801431
D_inter_centroids,CNN-L,D Raw,0.0668280869722366
D_inter_centroids,CNN-L,D Recon,0.0342322997748851
D_inter_over_D_intra,CNN-S,A Raw,0.4309791089472916
D_inter_over_D_intra,CNN-S,B Frozen→Recon,0.198244114191009
D_inter_over_D_intra,CNN-S,C Recon,0.1795391145344476
D_inter_over_D_intra,CNN-S,D Raw,0.144975751454323
D_inter_over_D_intra,CNN-S,D Recon,0.2260031928443215
D_inter_over_D_intra,CNN-M,A Raw,0.4010651485812566
D_inter_over_D_intra,CNN-M,B Frozen→Recon,0.3430785682050976
D_inter_over_D_intra,CNN-M,C Recon,0.2825164546955629
D_inter_over_D_intra,CNN-M,D Raw,0.4068629177725654
D_inter_over_D_intra,CNN-M,D Recon,0.2359587778487216
D_inter_over_D_intra,CNN-L,A Raw,0.7346557932107367
D_inter_over_D_intra,CNN-L,B Frozen→Recon,0.9790455339827616
D_inter_over_D_intra,CNN-L,C Recon,0.382128336344587
D_inter_over_D_intra,CNN-L,D Raw,1.185250333437712
D_inter_over_D_intra,CNN-L,D Recon,0.4519290431572121
silhouette_macro,CNN-S,A Raw,-0.3163678620332191
silhouette_macro,CNN-S,B Frozen→Recon,-0.3498368749861951
silhouette_macro,CNN-S,C Recon,-0.3279674131322477
silhouette_macro,CNN-S,D Raw,-0.3176045458448662
silhouette_macro,CNN-S,D Recon,-0.3565634576131575
silhouette_macro,CNN-M,A Raw,-0.1917933342062678
silhouette_macro,CNN-M,B Frozen→Recon,-0.259324749772303
silhouette_macro,CNN-M,C Recon,-0.2391255431990842
silhouette_macro,CNN-M,D Raw,-0.2135027882921976
silhouette_macro,CNN-M,D Recon,-0.2460147523359876
silhouette_macro,CNN-L,A Raw,-0.0189217806751757
silhouette_macro,CNN-L,B Frozen→Recon,-0.0290087784030002
silhouette_macro,CNN-L,C Recon,-0.1097141799485151
silhouette_macro,CNN-L,D Raw,0.0731418224071004
silhouette_macro,CNN-L,D Recon,-0.1067659543511628
