,A Raw,B Frozen→Recon,C Recon,D Raw,D Recon
CNN-S,0.2049332611832611,0.0755050505050505,0.1309974747474747,0.2294823232323232,0.1150252525252524
CNN-M,0.3628607503607504,0.1829906204906205,0.1984217171717172,0.2878246753246753,0.26133658008658
CNN-L,0.513771645021645,0.3432239057239057,0.3595478595478596,0.5131673881673883,0.3605098605098605
