,direction,B_minus_A,C_minus_A,D_raw_minus_A,D_recon_minus_B,D_recon_minus_C
CNN_test_balanced_accuracy,higher,-0.2032828282828283,0.10031866281866286,0.12851731601731609,0.3264189514189515,0.022817460317460347
CNN_test_macro_f1,higher,-0.21430483823772012,0.13042844297652423,0.1804075549942602,0.3647021164698511,0.019968835255606776
kNN_test_balanced_accuracy,higher,-0.24870731120731115,-0.00844757094757087,-0.03908128908128905,0.2601310726310726,0.019871332371332318
prototype_test_balanced_accuracy,higher,-0.2366822991822991,0.006523569023569098,0.03300865800865804,0.2675865800865801,0.02438071188071189
linear_probe_test_balanced_accuracy,higher,-0.20039682539682535,0.0394420394420395,-0.037788600288600316,0.22468734968734982,-0.015151515151515027
retrieval_macro_mAP,higher,-0.14645668418658747,-0.06673725678748416,0.041878537296323626,0.21045622373477502,0.1307367963356717
retrieval_micro_mAP,higher,-0.1486764343901696,-0.06612202946730583,0.04440234143250127,0.2134728078672169,0.13091840294435314
SameLabel_macro_at_1,higher,-0.20637926887926888,0.020743145743145786,0.035263347763347774,0.28129509379509376,0.054172679172679095
SameLabel_micro_at_1,higher,-0.20472440944881887,0.015748031496062964,0.03149606299212604,0.2755905511811023,0.055118110236220486
D_intra_macro,lower,-0.0106681573176622,0.008286004110822795,-0.0038176003874093034,0.006184812017775397,-0.012769349410709598
D_inter_centroids,context,-0.029654327780008406,0.0115624293684959,0.0008242353796958923,0.045796100050211,0.0045793429017066956
D_inter_over_D_intra,higher,-0.2983545953340644,0.013456256037989833,0.09412306993270003,0.6634297859277308,0.3516189345556766
NMI_arithmetic,higher,-0.03288879073019568,-0.019460722619072057,0.1294746609733498,0.1126568286944204,0.09922876058329677
ARI,higher,-0.026740973555961722,-0.01491173200975221,0.14641706851203778,0.1819962859945104,0.17016704444830089
silhouette_macro,higher,-0.0917567278272202,-0.011556789200636804,0.02640732757137379,0.1644915864259764,0.084291647799393
silhouette_micro,higher,-0.0830996603722632,-0.0147888526670103,0.0371622641553294,0.164035561170307,0.09572475346505409
