,A Raw,B Frozen→Recon,C Recon,D Raw,D Recon
CNN-S,0.027686795219779,0.0081807533279061,0.012732264585793,0.0060800719074904,0.0082191843539476
CNN-M,0.0204022042453289,0.0128925088793039,0.0092013124376535,0.0232779514044523,0.011644696816802
CNN-L,0.0687528923153877,0.0525917448103427,0.0287266913801431,0.0668280869722366,0.0342322997748851
