epoch,train_ba,val_ba,train_total_loss,val_loss
1,0.09325627700849975,0.058531746031746025,2.542048931121826,5.594939231872559
2,0.11578613787289482,0.10099206349206348,2.471850633621216,3.6602728366851807
3,0.12568162169184183,0.11428571428571428,2.4423885345458984,4.14254903793335
4,0.13586568698597004,0.09623015873015872,2.41852445602417,5.242600917816162
5,0.15580097511188115,0.10456349206349207,2.3931705474853517,4.990245819091797
6,0.1640809917495097,0.10595238095238095,2.375949192047119,5.0331950187683105
7,0.17775386353489533,0.1115079365079365,2.3488176822662354,5.709784030914307
8,0.19307874718182708,0.11210317460317461,2.3196454524993895,5.897984504699707
9,0.21309356202299226,0.12738095238095237,2.2920440196990968,6.15125036239624
10,0.2305680061090716,0.12738095238095237,2.248843717575073,6.359813213348389
11,0.257386821174742,0.12182539682539684,2.2232993602752686,6.82317590713501
12,0.2716218123947961,0.11845238095238096,2.181516647338867,7.085434436798096
13,0.27387559314700455,0.12182539682539682,2.1531208515167237,7.7424116134643555
14,0.3042554937902699,0.1623015873015873,2.1252918243408203,7.278067111968994
15,0.32211775614938765,0.16428571428571428,2.082406759262085,7.6317548751831055
16,0.32339387200883685,0.16924603174603173,2.062484073638916,7.982420921325684
17,0.34795760399737613,0.17896825396825397,2.0239776372909546,7.331105709075928
18,0.3649395759911405,0.1888227513227513,1.9961535930633545,8.019484519958496
19,0.3878254312035326,0.21785714285714286,1.971239948272705,7.53904914855957
20,0.40547276011843464,0.19067460317460316,1.9238719940185547,7.772791385650635
21,0.40941091301492083,0.27175925925925926,1.8887741565704346,7.878927230834961
22,0.4182984948825696,0.21997354497354496,1.8608550310134888,8.323044776916504
23,0.44301251168214245,0.2046957671957672,1.828989577293396,8.783073425292969
24,0.4667483036434277,0.21104497354497356,1.7918525218963623,8.358636856079102
25,0.467576192988705,0.2255291005291005,1.7615734100341798,9.048584938049316
26,0.4811987816656315,0.2326719576719577,1.7340115785598755,9.4981050491333
27,0.49457364587193453,0.22632275132275134,1.7193296432495118,9.84681510925293
28,0.5001913698313606,0.23802910052910053,1.6711437702178955,10.286419868469238
29,0.5153167772932028,0.25814093314093317,1.6367592334747314,9.785588264465332
30,0.5481006474058325,0.24841871091871093,1.6065088510513306,9.789339065551758
31,0.5550479692690333,0.23717532467532468,1.5973824262619019,10.393444061279297
32,0.5605371680281652,0.23360389610389612,1.5606569290161132,10.646240234375
33,0.5810839199224939,0.2336038961038961,1.5098078012466432,10.708704948425293
34,0.6063652240395822,0.26002886002886,1.5010461330413818,10.869522094726562
35,0.6082937132452605,0.2667388167388168,1.4532389640808105,9.830196380615234
36,0.6639650677248911,0.2669372294372294,1.3882359504699706,9.652017593383789
37,0.656310116963207,0.2667388167388167,1.352811861038208,10.098246574401855
38,0.6720656818102458,0.299013949013949,1.3093738555908203,9.76758098602295
39,0.6858532332024075,0.2892917267917268,1.2961978435516357,10.406192779541016
40,0.689180488077338,0.26766474266474266,1.2605712175369264,10.388854026794434
41,0.69077615566977,0.2795695045695046,1.257507824897766,9.881546974182129
42,0.7082563975827286,0.2766293891293891,1.2329752445220947,10.769912719726562
43,0.7196940063014123,0.32623256373256376,1.2097709417343139,9.283707618713379
44,0.7272741174212957,0.3040103415103415,1.1966872453689574,10.243247985839844
45,0.7316674487203798,0.3059944684944685,1.1618424654006958,10.477981567382812
46,0.735175945531457,0.29071669071669065,1.14182288646698,9.814844131469727
47,0.743467643249069,0.2970658970658971,1.119165015220642,10.846026420593262
48,0.7415463469527728,0.29964526214526216,1.1062827348709106,10.072757720947266
49,0.7417588193142014,0.30738335738335737,1.12263925075531,10.08469009399414
50,0.7505230847924899,0.29177489177489174,1.1049884557724,10.528666496276855
51,0.7502487601467229,0.3102934102934103,1.0909882068634034,10.653993606567383
52,0.7600826210571207,0.30797859547859546,1.092130970954895,10.418249130249023
53,0.7621398563600105,0.3056637806637807,1.0552180528640747,11.02469253540039
54,0.7729677695481297,0.31955266955266953,1.0415109395980835,10.811588287353516
55,0.7716941504294788,0.31326960076960075,1.021697735786438,10.924979209899902
56,0.7750030957868875,0.3209415584415584,1.0282554745674133,10.774590492248535
57,0.7857366969352607,0.3149230399230399,1.00868479013443,11.228102684020996
58,0.7856737801381596,0.3504389129389129,0.9923726916313171,11.039896011352539
59,0.7905745551554718,0.31955266955266953,0.9937213659286499,11.412039756774902
60,0.7889103311688284,0.33575637325637325,0.9938872814178467,11.619295120239258
61,0.7899645162837344,0.3221981721981722,0.9854381203651428,11.483878135681152
62,0.7947722085914268,0.32682780182780186,0.9653311848640442,11.556840896606445
63,0.7948967852726073,0.34643458393458393,0.9621670722961426,10.975276947021484
64,0.7997395288528647,0.3540103415103415,0.9454016566276551,10.912528991699219
65,0.8062453791637464,0.3762325637325638,0.9416217923164367,11.065201759338379
66,0.8012827387294079,0.3972282347282347,0.9309708476066589,11.28001880645752
67,0.8030752363552388,0.3867484367484368,0.9173788547515869,11.50838851928711
68,0.8131411531428537,0.3407166907166907,0.9083311796188355,11.452136993408203
69,0.8136759155727775,0.3451779701779702,0.9084384322166443,11.099640846252441
70,0.8152725298025323,0.33082611832611836,0.8961080193519593,11.440497398376465
71,0.8107961012694999,0.33251563251563254,0.8730876922607422,12.001978874206543
72,0.8147906406807061,0.3143278018278018,0.8916841387748718,12.440919876098633
73,0.8211344731010753,0.32980399230399227,0.8687373042106629,12.35624885559082
74,0.817681242913661,0.30956589706589704,0.8677260279655457,12.63979721069336
75,0.8249165086154004,0.3375060125060125,0.8824094414710999,12.66451644897461
76,0.8270289591162158,0.33949013949013945,0.8439654469490051,12.055770874023438
